#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,DEFENSIVE CLIPS,,,,,,,0:04.0,N/A,N/A,0:00.00,0:04.00,,,,,,,,,,
2,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 1 CLK: 10:46,,No Contest,,,Make 2 Pts,0:09.1,0:12.4,0:21.5,50:08.45,50:29.93,Ripon Redhawks,WWW@RIP,11/7/2025,1,10:46,Seth Bunders,,,,3 Seth Bunders > Hand Off > From Stationary > Top > Dribble Jumper > Short to < 17' > Make 2 Pts
3,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 2 CLK: 08:21,,No Contest,,,Make 3 Pts,0:07.9,0:10.5,0:18.5,1:53:28.98,1:53:47.45,Ripon Redhawks,WWW@RIP,11/7/2025,2,8:21,Seth Bunders,,,,3 Seth Bunders > P&R Ball Handler > High P&R > Takes Early Jump Shot > Dribble Jumper > Long/3pt > Make 3 Pts
4,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 2 CLK: 02:13,,No Contest,,,Make 2 Pts,0:07.4,0:11.3,0:18.7,2:07:45.13,2:08:03.78,Ripon Redhawks,WWW@RIP,11/7/2025,2,2:13,Seth Bunders,,,,3 Seth Bunders > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
5,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 2 CLK: 07:47,,No Contest - Should be a non-play (under on ball screen),,,Make 2 Pts,0:09.1,0:06.7,0:15.7,1:55:04.45,1:55:20.18,Ripon Redhawks,WWW@RIP,11/7/2025,2,7:47,Seth Bunders,,,,3 Seth Bunders > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
6,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 1 CLK: 18:48,,+TRANS DEF. GETTING THE BALL STOPPED. GOOD GAP (RHD) V. 12,,,Miss 2 Pts,0:37.5,N/A,N/A,37:21.65,37:59.13,Ripon Redhawks,WWW@RIP,11/7/2025,1,18:48,Kolby Williams,,,,3 Seth Bunders > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Kolby Williams > P&R Roll Man > Pick and Pops > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
7,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 1 CLK: 17:04,,-TRANS. DEF. = SPRINT AHEAD OF THE BALL.,,,Miss 2 Pts,0:15.9,N/A,N/A,39:53.25,40:09.13,Ripon Redhawks,WWW@RIP,11/7/2025,1,17:04,Kolby Williams,,,,12 Kolby Williams > Transition > Right Wing > To Basket > Miss 2 Pts
8,Michael Asman,WWW@RIP - 11/06/2025 QTR: 1 CLK: 05:00,,TRANS. DEF. = DON'T LEAVE THE BASKET,,,Make 2 Pts,0:10.5,0:03.2,0:13.7,1:02:50.53,1:03:04.25,Ripon Redhawks,WWW@RIP,11/7/2025,1,5:00,Michael Asman,,,,35 Michael Asman > Transition > First Middle > To Basket > Make 2 Pts
9,Kolby Williams,WWW@RIP - 11/06/2025 QTR: 1 CLK: 16:13,,-DEF. LACK OF BALL PRESSURE/INTENSITY/ACTIVITY,,,Make 2 Pts,0:25.6,N/A,N/A,40:34.45,41:00.05,Ripon Redhawks,WWW@RIP,11/7/2025,1,16:13,Kolby Williams,,,,12 Kolby Williams > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Make 2 Pts
10,Seth Bunders,WWW@RIP - 11/06/2025 QTR: 1 CLK: 15:30,,-DEF. HANDOFF = THROUGH,,,Make 2 Pts,0:09.9,0:07.6,0:17.5,41:24.85,41:42.38,Ripon Redhawks,WWW@RIP,11/7/2025,1,15:30,Seth Bunders,,,,3 Seth Bunders > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
