#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,Peyton McKenna,Team Def,,Bottom man = tag | Top man = First Pass,,,Make 3 Pts,0:15.9,0:02.9,0:18.8,17:44.18,18:02.98,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,18:56,Peyton McKenna,,,,4 Michael McNabb > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Peyton McKenna > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
2,Michael McNabb,Team Def/Posts,,Good POST D...ACTIVE,,,Turnover,0:12.3,0:06.6,0:18.9,20:39.64,20:58.51,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,16:30,Michael McNabb,,,,4 Michael McNabb > No Play Type > Turnover
3,Jacob Naber,TEAM DEF,,-TRANS. DEF,,,Make 2 Pts,0:09.0,N/A,N/A,25:56.78,26:05.78,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,14:03,Jacob Naber,,,,41 Jacob Naber > Transition > Leak Outs > To Basket > Make 2 Pts
4,Dennis Estepp,TEAM DEF,,+TRANS. DEF | +EXECUTING SCOUT,,,Miss 3 Pts,0:17.5,0:02.0,0:19.5,21:55.91,22:15.44,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,15:34,Dennis Estepp,,,,33 Dennis Estepp > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
5,Jacob Naber,TEAM DEF,,+TRANS. DEF | -BALL SCREEN DEF & TAG,,,Make 2 Pts,0:27.2,0:01.3,0:28.5,25:06.38,25:34.85,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,14:34,Jacob Naber,,,,44 Lamar Smith > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 41 Jacob Naber > P&R Roll Man > Slips the Pick > To Basket > Make 2 Pts
6,Collin Madson,TEAM OFF,,SURVEY THE FLOOR (OPPOSITE SIDE),,,Make 2 Pts,0:07.9,0:11.9,0:19.8,25:32.98,25:59.45,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,14:10,Collin Madson,,,,32 Luke Bara > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Collin Madson > Spot-Up > Drives Left > To Basket > Make 2 Pts
7,Jake Quast,TEAM OFF,,SURVEY -SCREENING & GETTING PUSHED OIUT |THE FLOOR (OPPOSITE SIDE),,,Miss 3 Pts,0:12.0,0:09.8,0:21.9,26:03.85,26:38.71,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,13:31,Jake Quast,,,,12 Jake Quast > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
8,Greg Smith,TEAM DEF,,+DEFENDING BACKCUT | -NEED TO BE ON THE FLOOR FIRST,,,Turnover,0:09.6,0:16.4,0:26.0,27:34.51,28:02.91,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,12:42,Greg Smith,,,,4 Michael McNabb > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 42 Greg Smith > Cut > Flash > Turnover
9,Kelton Mcewen,TEAM OFF,,"-TWINS ENTRY NEEDS TO BE FLATTER | -G = RIP & USE RESCREEN ",,,Turnover,0:13.5,0:08.1,0:21.5,28:17.38,28:38.91,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,12:23,Kelton Mcewen,,,,2 Kelton Mcewen > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover
10,Michael McNabb,TEAM DEF,,+WALLUPS,,,Miss 2 Pts,0:09.1,N/A,0:09.1,28:48.31,28:57.45,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,12:06,Michael McNabb,,,,4 Michael McNabb > Transition > Ballhandler > To Basket > Miss 2 Pts
11,Dennis Estepp,TEAM DEF,,-TURN & SPRINT | +WALLUP,,,Miss 2 Pts,0:12.5,N/A,N/A,32:06.72,32:19.18,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,10:42,Dennis Estepp,,,,33 Dennis Estepp > Transition > Left Wing > To Basket > Miss 2 Pts
12,Evan Bland,TEAM DEF,,-BALL SCREEN DEF,,,No Violation,0:12.2,0:04.8,0:17.0,33:06.38,33:23.38,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,,Evan Bland,,,,15 Evan Bland > Non Possession > No Violation
13,Dennis Estepp,TEAM DEF,,-HUGGING SCREENER | +WINNING BUMPS | -STAY DOWN!! | +VEERING OUTSIDE THE ELBOW,,,Turnover,0:20.9,N/A,N/A,33:32.52,33:53.45,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,9:39,Dennis Estepp,,,,42 Greg Smith > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 33 Dennis Estepp > Spot-Up > Drives Left > Turnover
14,Cai Joseph,TEAM DEF,,-WRAP TIGHT W/ ACTIVE HANDS TO DEFLECT,,,Make 2 Pts,0:08.0,0:05.2,0:13.2,34:36.92,34:50.12,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,9:21,Cai Joseph,,,,44 Lamar Smith > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Cai Joseph > P&R Roll Man > Rolls to Basket > Make 2 Pts
15,Lamar Smith,TEAM DEF,,+BASELINE CUTOFFS X2 | -FACE CUT | +WALL UP,,,Make 2 Pts,0:18.8,0:06.1,0:24.9,35:15.32,35:40.25,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,8:30,Lamar Smith,,,,44 Lamar Smith > Cut > Flash > Make 2 Pts
16,Lamar Smith,TEAM DEF,,-TAKE A BETTER ANGLE TO GET THROUGH | -POST DEFENDER BE ACTIVE | BOTTOM HELP,,,1 Pts,0:10.2,0:02.4,0:12.6,36:14.92,36:28.58,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,8:03,Lamar Smith,,,,44 Lamar Smith > Hand Off > From Dribble > Top > To Basket > Make 2 Pts Foul > 1 Pts
17,Brock Marino,TEAM OFF,,-SKIP IT TOO SOON = LET IT CLEAR,,,Make 2 Pts,0:17.8,0:16.7,0:34.5,37:02.18,37:36.72,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,7:31,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Jumper > Make 2 Pts
18,Isaac Verges,TEAM OFF,,-DON'T DRIBBLE THERE | -MUST CIRLCE CUT IN FRONT IF YOUR MAN DOUBLES,,,Non Shooting Foul,0:09.0,0:05.8,0:14.9,40:41.25,41:00.05,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,,Isaac Verges,,,,0 Isaac Verges > Non Possession > Non Shooting Foul
19,Peyton McKenna,TEAM DEF,,+BACKSIDE TAGS = NEVER STOP MOVING | CHECK & SWARM!!,,,Miss 3 Pts,0:25.7,N/A,0:25.7,41:43.39,42:09.12,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,6:27,Peyton McKenna,,,,12 Peyton McKenna > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
20,Lamar Smith,TEAM DEF,,-WE FORCE 44 BACK TO HIS L = NEED THAT GAP DEFENDER,,,Miss 2 Pts,0:13.7,0:08.3,0:21.9,42:53.19,43:15.12,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,5:20,Lamar Smith,,,,44 Lamar Smith > Hand Off > From Dribble > Left > To Basket > Miss 2 Pts
21,Dennis Estepp,TEAM DEF,,-??? | NOT COMMUNICATING/SPRINTING BACK,,,Make 2 Pts,0:08.3,0:01.5,0:09.9,44:35.39,44:45.26,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,4:23,Dennis Estepp,,,,33 Dennis Estepp > Transition > Ballhandler > To Basket > Make 2 Pts
22,Peyton McKenna,TEAM DEF,,Bottom man = tag | Top man = First Pass,,,Miss 3 Pts,0:11.1,0:05.1,0:16.1,47:55.92,48:12.06,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,2:49,Peyton McKenna,,,,33 Dennis Estepp > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Peyton McKenna > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
23,Lamar Smith,TEAM DEF,,-WRAP IT WITH ACTIVE HANDS | STILL NEED THE LOW TAG,,,No Violation,0:13.2,0:05.2,0:18.4,59:34.20,59:52.60,Carroll (WI) Pioneers,CAR@WWW,12/13/2025,1,,Lamar Smith,,,,44 Lamar Smith > Non Possession > No Violation
24,Isaac Verges,DEF TO OFF,,+EFFORT PLAY TO END THE HALF,,,Make 2 Pts,0:11.4,N/A,N/A,1:00:09.86,1:00:21.26,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,0:04,Isaac Verges,,,,0 Isaac Verges > Transition > First Middle > To Basket > Make 2 Pts
