#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,"Team ",Team Def.,,HAVE TO KEEP BACK TO BASELINE,,,Make 3 Pts,0:13.8,0:22.0,0:35.8,7:46.17,8:21.97,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,19:19,Dominic Trelenberg,,,,1 Dominic Trelenberg > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
2,Vinnie Adjahoungbeta,Team  Def.,,"TALK A SWITCH ON BALL, GREAT TAG, TOP HAS 2 (X OUT), WALKING UNDER BASKET",,,Miss 3 Pts,0:13.1,0:04.0,0:17.1,9:20.90,9:37.97,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,18:04,Vinnie Adjahoungbeta,,,,0 Sebastian Blachut > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Vinnie Adjahoungbeta > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
3,Sebastian Blachut,"TEAM DEF  ",,"BALL SCREEN/REJECT, GOOD DROP TO BAIL US OUT",,,Turnover,0:09.2,0:03.4,0:12.7,11:03.37,11:16.04,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,17:03,Sebastian Blachut,,,,0 Sebastian Blachut > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Turnover
4,Dominic Trelenberg,Team Def.,,"GOOD SWITCH UP, CONFUSION BACKSIDE ALLOWS CUT, GOOD BALL STOP",,,No Violation,0:24.7,N/A,N/A,11:58.37,12:23.11,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,,Dominic Trelenberg,,,,1 Dominic Trelenberg > Non Possession > No Violation
5,Talen Pearson,Team Def.,,"+PICKUP POINT, +SWITCH, +HTH BUT TALK OUT OF IT",,,Make 3 Pts,0:22.6,0:06.0,0:28.7,16:42.78,17:11.44,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,14:22,Talen Pearson,,,,0 Sebastian Blachut > Post-Up > Right Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 21 Talen Pearson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
6,Dominic Trelenberg,Team Def.,,"+GOOD BALL STOP, -GAP (GOOD GAP HERE = NO X OUT REQUIRED)",,,Miss 3 Pts,0:18.2,0:05.5,0:23.7,17:23.78,17:47.51,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,13:49,Dominic Trelenberg,,,,0 Sebastian Blachut > ISO > Right > Drives Left > Defense Commits > Ball Delivered > 1 Dominic Trelenberg > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
7,Sebastian Blachut,TEAM DEF.,,"+BALL PRESSURE TO START, -CANNOT GET BEAT BASELINE",,,Make 2 Pts,0:13.2,0:02.0,0:15.2,18:03.71,18:18.91,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,13:14,Sebastian Blachut,,,,0 Sebastian Blachut > Off Screen > To Shooter's Right > Straight > To Basket > Make 2 Pts
8,EJ Marshall,TEAM DEF.,,"+OOD INITIAL SWITCHES, -NEED BETTER AWARENESS & COMMUNICATION",,,Make 3 Pts,0:21.9,N/A,N/A,19:40.31,20:02.24,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,12:37,EJ Marshall,,,,4 EJ Marshall > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
9,EJ Marshall,TEAM DEF.,,-HH OR SWITCH?? (LOOSE SWITCH) GETS US IN ROTATION,,,Miss 3 Pts,0:15.1,0:08.1,0:23.3,24:35.25,24:58.51,Elmhurst University Bluejays,EC@WWW,12/2/2025,1,10:06,EJ Marshall,,,,4 EJ Marshall > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
10,Dominic Trelenberg,TEAM DEF.,,-LOOSE SWITCH,,,Miss 3 Pts,0:12.0,0:07.8,0:19.8,1:32:07.85,1:32:27.65,Elmhurst University Bluejays,EC@WWW,12/2/2025,2,6:20,Dominic Trelenberg,,,,0 Sebastian Blachut > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 1 Dominic Trelenberg > P&R Roll Man > Slips the Pick > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
