opponent,game_date,event_order,period,time_remaining,team,player,event_type,raw_text,shot_type,uww_score,opp_score,uww_lineup,opp_lineup,video_description
St. Thomas (TX) Celts,2025-11-14,442,H2,00:19 (H2),UW-Whitewater,Luke Bara,made_shot,Luke Bara Makes 3PT Pull Up Jump Shot,3,73.0,81.0,"Collin Madson, JR Lukenbill, Kelton McEwen, Luke Bara, Richie Warren","Angel Johnson, Charles Gitonga, Corey Thompson, Nathan Kongolo, Nicholas Buffalo",32 Luke Bara > Transition > Ballhandler > Dribble Jumper > Long/3pt > Make 3 Pts
Aurora Spartans,2025-11-19,416,H2,04:53 (H2),Aurora Spartans,Juan Madrigal,made_shot,Juan Madrigal Makes 3PT Jump Shot,3,70.0,62.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",11 Mekhi Doby > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 2 Juan Madrigal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
Aurora Spartans,2025-11-19,417,H2,04:53 (H2),Aurora Spartans,Mekhi Doby,assist,Mekhi Doby Assists,,70.0,62.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",
Aurora Spartans,2025-11-19,418,H2,04:32 (H2),UW-Whitewater,Brock Marino,missed_shot,Brock Marino Misses 3PT Jump Shot,3,70.0,62.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",21 Brock Marino > Spot-Up > Drives Right > Dribble Jumper > Long/3pt > Miss 3 Pts
Aurora Spartans,2025-11-19,420,H2,04:24 (H2),Aurora Spartans,Cullen Rauls,made_shot,Cullen Rauls Makes 2PT Layup,2,70.0,64.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",0 Cullen Rauls > Transition > Ballhandler > To Basket > Make 2 Pts
Aurora Spartans,2025-11-19,421,H2,04:06 (H2),Aurora Spartans,Devon Richardson,foul,Devon Richardson Commits Personal Foul,,70.0,64.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",21 Brock Marino > No Play Type > Foul
Aurora Spartans,2025-11-19,422,H2,04:05 (H2),UW-Whitewater,Brock Marino,free_throw_missed,Brock Marino Misses Free Throw (1 of 1),,70.0,64.0,"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara","Cullen Rauls, Devon Richardson, Juan Madrigal, Mekhi Doby, Zerrick Johnson",21 Brock Marino > Non Possession > Free Throw
Aurora Spartans,2025-11-19,428,H2,03:49 (H2),Aurora Spartans,Larry Carthan,turnover,Larry Carthan Turnover (Bad Pass),,70.0,64.0,"Brock Marino, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara","Cullen Rauls, Juan Madrigal, Larry Carthan, Mekhi Doby, Zerrick Johnson",5 Larry Carthan > No Play Type > Turnover
Aurora Spartans,2025-11-19,429,H2,03:49 (H2),UW-Whitewater,Isaac Verges,steal,Isaac Verges Steals,,70.0,64.0,"Brock Marino, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara","Cullen Rauls, Juan Madrigal, Larry Carthan, Mekhi Doby, Zerrick Johnson",
Aurora Spartans,2025-11-19,430,H2,03:43 (H2),UW-Whitewater,Isaac Verges,made_shot,Isaac Verges Makes 2PT Driving Layup,2,72.0,64.0,"Brock Marino, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara","Cullen Rauls, Juan Madrigal, Larry Carthan, Mekhi Doby, Zerrick Johnson",0 Isaac Verges > Transition > Ballhandler > To Basket > Make 2 Pts
