opponent,period,time_remaining_seconds,team,player,result,coach_note,play_call,clip_side,game_date,points,play_series,play_title,play_actions,play_location,play_situation
St. Thomas (TX) Celts,H1,1162.0,UW-Whitewater,Isaac Verges,Turnover,,Twins,Offense,2025-11-14,0,Twins,Twins-: M2M,,,Half court
St. Thomas (TX) Celts,H1,1156.0,UW-Whitewater,Nathan Kongolo,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,1149.0,UW-Whitewater,Isaac Verges,Turnover,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,1145.0,UW-Whitewater,Angel Johnson,Make 2 Pts,,Transition (unspecified),Offense,2025-11-14,2,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,1114.0,UW-Whitewater,Isaac Verges,Miss 2 Pts,,Flow,Offense,2025-11-14,0,Flow,Flow: R + J,,,Half court
St. Thomas (TX) Celts,H1,1084.0,UW-Whitewater,Collin Madson,Make 2 Pts,,5 Out Flare,Offense,2025-11-14,2,5 Out,5 Out Flair: M2M,Flare,,Half court
St. Thomas (TX) Celts,H1,1039.0,UW-Whitewater,Jr Lukenbill,Make 3 Pts,,Flow,Offense,2025-11-14,3,Flow,Flow: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,1015.0,UW-Whitewater,Angel Johnson,Make 2 Pts,,BLOB,Offense,2025-11-14,2,BLOB,UWW:M2M: BLOB,,,BLOB
St. Thomas (TX) Celts,H1,,UW-Whitewater,Isaac Verges,No Violation,,Flow,Offense,2025-11-14,,Flow,Flow: R+J,,,Half court
St. Thomas (TX) Celts,H1,997.0,UW-Whitewater,Luke Bara,Miss 3 Pts,,SLOB,Offense,2025-11-14,0,SLOB,Slob: M2M,,,SLOB
St. Thomas (TX) Celts,H1,962.0,UW-Whitewater,Brock Marino,Make 3 Pts,,Flow,Offense,2025-11-14,3,Flow,Flow: M2M: Deny,,,Half court
St. Thomas (TX) Celts,H1,,UW-Whitewater,Luke Bara,Non Shooting Foul,,5 Out,Offense,2025-11-14,,5 Out,5 Out: M2M: Drop+Press,,,Half court
St. Thomas (TX) Celts,H1,904.0,UW-Whitewater,Brock Marino,Miss 2 Pts,,SLOB,Offense,2025-11-14,0,SLOB,Slob: M2M: Drop,,,SLOB
St. Thomas (TX) Celts,H1,879.0,UW-Whitewater,Isaac Verges,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,866.0,UW-Whitewater,Corey Thompson,Turnover,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,840.0,UW-Whitewater,Jr Lukenbill,Make 3 Pts,,5 Out,Offense,2025-11-14,3,5 Out,5 Out- M2M: Drop+Press,,,Half court
St. Thomas (TX) Celts,H1,,UW-Whitewater,Luke Bara,Non Shooting Foul,,Transition (unspecified),Offense,2025-11-14,,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,809.0,UW-Whitewater,Jr Lukenbill,Miss 3 Pts,,BLOB Line Reject,Offense,2025-11-14,0,BLOB,Blob-Line- reject: M2M,Reject,,BLOB
St. Thomas (TX) Celts,H1,768.0,UW-Whitewater,Darius Chestnut,Miss 3 Pts,,Twins Ball Screen,Offense,2025-11-14,0,Twins,Twins: Press: Hedge BS,Ball Screen,,Half court
St. Thomas (TX) Celts,H1,759.0,UW-Whitewater,Collin Madson,Make 3 Pts,,BLOB Line,Offense,2025-11-14,3,BLOB,Blob: L : M2M,,,BLOB
St. Thomas (TX) Celts,H1,735.0,UW-Whitewater,Jake Quast,Make 2 Pts,,Transition (unspecified),Offense,2025-11-14,2,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,701.0,UW-Whitewater,Richie Warren,0 Pts,,5 Out Flare,Offense,2025-11-14,2,5 Out,5 Out-flairs- M2M,Flare,,Half court
St. Thomas (TX) Celts,H1,685.0,UW-Whitewater,Darius Chestnut,Turnover,,BLOB Line Curl,Offense,2025-11-14,0,BLOB,Blob-Line-Curl- M2M,Curl,,BLOB
St. Thomas (TX) Celts,H1,660.0,UW-Whitewater,Richie Warren,Turnover,,5 Out,Offense,2025-11-14,0,5 Out,5 Out- M2M- Press,,,Half court
St. Thomas (TX) Celts,H1,625.0,UW-Whitewater,Collin Madson,Make 3 Pts,,5 Out,Offense,2025-11-14,3,5 Out,5 Out- M2M: Press,,,Half court
St. Thomas (TX) Celts,H1,586.0,UW-Whitewater,Joey Berezowitz,Turnover,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,546.0,UW-Whitewater,Collin Madson,Foul,,Twins,Offense,2025-11-14,2,Twins,Twins Swirl: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,512.0,UW-Whitewater,Joey Berezowitz,Turnover,,Flow,Offense,2025-11-14,0,Flow,FLow- M2M Press,,,Half court
St. Thomas (TX) Celts,H1,470.0,UW-Whitewater,Jake Quast,Make 2 Pts,,Flow,Offense,2025-11-14,2,Flow,Tran: Flow: M2M: Drop,,,Transition
St. Thomas (TX) Celts,H1,455.0,UW-Whitewater,Richie Warren,Make 2 Pts,,Transition (unspecified),Offense,2025-11-14,2,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,449.0,UW-Whitewater,Angel Johnson,0 Pts,,ATO (unspecified),Offense,2025-11-14,2,ATO,UWW M2M: ATO,,,ATO
St. Thomas (TX) Celts,H1,422.0,UW-Whitewater,Jr Lukenbill,Miss 2 Pts,,5 Out,Offense,2025-11-14,0,5 Out,5 Out- M2M,,,Half court
St. Thomas (TX) Celts,H1,410.0,UW-Whitewater,Tamarcus Butler,Miss 3 Pts,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,398.0,UW-Whitewater,Brock Marino,Foul,,Flow,Offense,2025-11-14,0,Flow,Flow: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,354.0,UW-Whitewater,Charles Gitonga,Miss 2 Pts,,BLOB,Offense,2025-11-14,0,BLOB,UWW M2M-BLOB,,,BLOB
St. Thomas (TX) Celts,H1,336.0,UW-Whitewater,Brock Marino,Make 3 Pts,,Flow,Offense,2025-11-14,3,Flow,Flow: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,307.0,UW-Whitewater,Brock Marino,Make 3 Pts,,Flow,Offense,2025-11-14,3,Flow,Flow: M2M PRESS,,,Half court
St. Thomas (TX) Celts,H1,268.0,UW-Whitewater,Isaac Verges,Foul,,Flow,Offense,2025-11-14,1,Flow,Flow: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,238.0,UW-Whitewater,Angel Johnson,Turnover,,BLOB,Offense,2025-11-14,0,BLOB,UWW M2M: Blob,,,BLOB
St. Thomas (TX) Celts,H1,234.0,UW-Whitewater,Isaac Verges,Miss 2 Pts,,Transition (unspecified),Offense,2025-11-14,0,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,223.0,UW-Whitewater,Angel Johnson,Make 3 Pts,,Transition (unspecified),Offense,2025-11-14,3,Transition,Tran,,,Transition
St. Thomas (TX) Celts,H1,203.0,UW-Whitewater,Luke Bara,Miss 3 Pts,,Flow,Offense,2025-11-14,0,Flow,Flow: M2M Press,,,Half court
St. Thomas (TX) Celts,H1,156.0,UW-Whitewater,Jake Quast,Miss 2 Pts,,5 Out Ball Screen,Offense,2025-11-14,0,5 Out,5 Out- BS : M2M Press,Ball Screen,,Half court
St. Thomas (TX) Celts,H1,105.0,UW-Whitewater,Collin Madson,Miss 3 Pts,,Panther,Offense,2025-11-14,0,Panther,Panther: M2M,,,Half court
St. Thomas (TX) Celts,H1,90.0,UW-Whitewater,Brock Marino,Turnover,,BLOB Line Curl,Offense,2025-11-14,0,BLOB,Blob- Line- Curl : M2m,Curl,,BLOB
St. Thomas (TX) Celts,H1,46.0,UW-Whitewater,Jake Quast,Turnover,,5 Out Down Screen,Offense,2025-11-14,0,5 Out,5 OUT- DS: M2M PRES,Down Screen,,Half court
St. Thomas (TX) Celts,H1,41.0,UW-Whitewater,Corey Thompson,Make 2 Pts,,Transition (unspecified),Offense,2025-11-14,2,Transition,TRAN,,,Transition
St. Thomas (TX) Celts,H1,25.0,UW-Whitewater,Isaac Verges,Foul,,5 Out,Offense,2025-11-14,2,5 Out,5 OUT : M2M PRESS,,,Half court
St. Thomas (TX) Celts,H1,5.0,UW-Whitewater,Corey Thompson,Miss 3 Pts,,ATO (unspecified),Offense,2025-11-14,0,ATO,UWW M2M: ATO,,,ATO
St. Thomas (TX) Celts,H2,1188.0,UW-Whitewater,Collin Madson,Foul,,Snap,Offense,2025-11-14,2,Snap,SNAP: M2M SWITCH,,,Half court
St. Thomas (TX) Celts,H2,,UW-Whitewater,Collin Madson,Non Shooting Foul,,Transition (unspecified),Offense,2025-11-14,,Transition,TRAN,,,Transition
St. Thomas (TX) Celts,H2,1148.0,UW-Whitewater,Luke Bara,Miss 3 Pts,,BLOB Line Curl,Offense,2025-11-14,0,BLOB,BLOB-LINE- CURL: M2M,Curl,,BLOB
St. Thomas (TX) Celts,H2,1109.0,UW-Whitewater,Isaac Verges,Miss 2 Pts,,5 Out,Offense,2025-11-14,0,5 Out,5 OUT: M2M-SWITCH,,,Half court
St. Thomas (TX) Celts,H2,1088.0,UW-Whitewater,Luke Bara,Turnover,,Twins,Offense,2025-11-14,0,Twins,TWINS: M2M PRESS,,,Half court
St. Thomas (TX) Celts,H2,,UW-Whitewater,Collin Madson,Non Shooting Foul,,Twins,Offense,2025-11-14,,Twins,TWINS: M2M PRESS,,,Half court
St. Thomas (TX) Celts,H2,1042.0,UW-Whitewater,Luke Bara,Make 3 Pts,,BLOB Line Ricky,Offense,2025-11-14,3,BLOB,BLOB-LINE-RICKY: M2M,Ricky,,BLOB
St. Thomas (TX) Celts,H2,1012.0,UW-Whitewater,Nathan Kongolo,Miss 2 Pts,,BLOB,Offense,2025-11-14,0,BLOB,UWW M2M-BLOB,,,BLOB
St. Thomas (TX) Celts,H2,987.0,UW-Whitewater,Richie Warren,Miss 2 Pts,,5 Out,Offense,2025-11-14,0,5 Out,5 OUT- M2M PRESS,,,Half court
St. Thomas (TX) Celts,H2,944.0,UW-Whitewater,Jr Lukenbill,Miss 2 Pts,,5 Out,Offense,2025-11-14,0,5 Out,5 OUT: M2M PRESS- SWITCH,,,Half court
St. Thomas (TX) Celts,H2,917.0,UW-Whitewater,Corey Thompson,Make 2 Pts,,Transition (unspecified),Offense,2025-11-14,2,Transition,TRAN,,,Transition
St. Thomas (TX) Celts,H2,889.0,UW-Whitewater,Luke Bara,Turnover,,5 Out Flare,Offense,2025-11-14,0,5 Out,5 OUT FLAIR; M2M SWITCH,Flare,,Half court
