team,player,side,cell_hy,cell_hx,frames
UW-Whitewater,TEAM,defense,30,40,49
UW-Whitewater,TEAM,defense,25,35,88
UW-Whitewater,TEAM,defense,20,30,166
UW-Whitewater,TEAM,defense,20,25,101
UW-Oshkosh Titans,TEAM,offense,25,35,48
UW-Oshkosh Titans,TEAM,offense,25,30,77
UW-Oshkosh Titans,TEAM,offense,30,25,71
UW-Oshkosh Titans,TEAM,offense,30,30,85
UW-Oshkosh Titans,TEAM,offense,20,20,75
UW-Whitewater,TEAM,defense,10,35,35
UW-Whitewater,TEAM,defense,15,40,37
UW-Whitewater,TEAM,defense,20,35,84
UW-Whitewater,TEAM,defense,15,35,45
UW-Whitewater,TEAM,defense,45,40,18
UW-Whitewater,TEAM,defense,25,30,160
UW-Oshkosh Titans,TEAM,offense,45,30,204
UW-Oshkosh Titans,TEAM,offense,35,30,86
UW-Oshkosh Titans,TEAM,offense,35,40,44
UW-Oshkosh Titans,TEAM,offense,15,40,51
UW-Oshkosh Titans,TEAM,offense,25,45,12
UW-Oshkosh Titans,TEAM,offense,30,40,52
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,30,15,8
UW-Oshkosh Titans,TEAM,offense,30,15,36
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,40,25,2
UW-Oshkosh Titans,TEAM,offense,40,25,78
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,45,30,5
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,45,0,3
UW-Oshkosh Titans,TEAM,offense,45,0,3
UW-Oshkosh Titans,Brandon Beck,offense,30,20,1
UW-Oshkosh Titans,TEAM,offense,30,20,42
UW-Oshkosh Titans,Brandon Beck,offense,40,25,6
UW-Oshkosh Titans,TEAM,offense,40,35,79
UW-Oshkosh Titans,TEAM,offense,40,30,72
UW-Oshkosh Titans,TEAM,offense,45,25,368
UW-Oshkosh Titans,TEAM,offense,0,0,3
UW-Oshkosh Titans,TEAM,offense,5,5,4
UW-Oshkosh Titans,TEAM,offense,20,25,78
UW-Oshkosh Titans,TEAM,offense,20,30,102
UW-Oshkosh Titans,TEAM,offense,20,35,73
UW-Oshkosh Titans,TEAM,offense,15,35,67
UW-Oshkosh Titans,Brandon Beck,offense,40,20,2
UW-Oshkosh Titans,TEAM,offense,40,20,25
UW-Oshkosh Titans,Brandon Beck,offense,35,25,7
UW-Oshkosh Titans,TEAM,offense,35,25,80
UW-Oshkosh Titans,Brandon Beck,offense,35,30,20
UW-Whitewater,TEAM,defense,10,10,38
UW-Whitewater,TEAM,defense,30,25,111
UW-Whitewater,TEAM,defense,20,20,124
UW-Whitewater,TEAM,defense,20,0,4
UW-Whitewater,TEAM,defense,25,25,157
UW-Whitewater,TEAM,defense,25,20,109
UW-Whitewater,TEAM,defense,15,10,165
UW-Whitewater,TEAM,defense,20,15,66
UW-Whitewater,TEAM,defense,25,5,51
UW-Whitewater,TEAM,defense,15,5,196
UW-Whitewater,TEAM,defense,10,15,40
UW-Whitewater,TEAM,defense,30,35,50
UW-Whitewater,TEAM,defense,15,15,168
UW-Whitewater,TEAM,defense,30,15,93
UW-Whitewater,TEAM,defense,40,20,110
UW-Whitewater,TEAM,defense,40,25,63
UW-Whitewater,TEAM,defense,35,25,118
UW-Whitewater,TEAM,defense,40,15,34
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,40,35,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,25,11
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,15,25,5
UW-Oshkosh Titans,TEAM,offense,15,25,56
UW-Whitewater,TEAM,defense,25,45,22
UW-Whitewater,TEAM,defense,30,45,17
UW-Oshkosh Titans,TEAM,defense,5,40,51
UW-Oshkosh Titans,TEAM,defense,5,35,96
UW-Whitewater,TEAM,offense,15,40,58
UW-Whitewater,TEAM,offense,15,35,56
UW-Whitewater,TEAM,offense,20,30,235
UW-Whitewater,TEAM,offense,20,25,156
UW-Whitewater,TEAM,offense,25,30,176
UW-Whitewater,TEAM,offense,10,25,141
UW-Whitewater,TEAM,offense,10,15,151
UW-Whitewater,TEAM,offense,0,5,20
UW-Whitewater,TEAM,offense,0,10,23
UW-Oshkosh Titans,TEAM,defense,10,25,83
UW-Oshkosh Titans,TEAM,defense,15,10,97
UW-Oshkosh Titans,TEAM,defense,15,15,81
UW-Oshkosh Titans,TEAM,defense,15,5,71
UW-Oshkosh Titans,TEAM,defense,5,10,37
UW-Oshkosh Titans,TEAM,defense,30,30,49
UW-Oshkosh Titans,TEAM,defense,20,25,110
UW-Oshkosh Titans,TEAM,defense,25,25,141
UW-Oshkosh Titans,TEAM,defense,15,20,67
UW-Oshkosh Titans,TEAM,defense,10,20,61
UW-Oshkosh Titans,TEAM,defense,35,15,52
UW-Oshkosh Titans,TEAM,defense,30,15,75
UW-Oshkosh Titans,TEAM,defense,25,15,49
UW-Oshkosh Titans,TEAM,defense,20,20,113
UW-Oshkosh Titans,TEAM,defense,25,20,75
UW-Oshkosh Titans,TEAM,defense,15,25,57
UW-Oshkosh Titans,TEAM,defense,10,30,61
UW-Oshkosh Titans,TEAM,defense,5,30,78
UW-Oshkosh Titans,TEAM,defense,0,30,212
UW-Oshkosh Titans,TEAM,defense,0,25,120
UW-Oshkosh Titans,TEAM,defense,45,20,44
UW-Oshkosh Titans,TEAM,defense,40,15,20
UW-Oshkosh Titans,TEAM,defense,30,25,56
UW-Oshkosh Titans,TEAM,defense,30,20,55
UW-Whitewater,TEAM,offense,45,25,54
UW-Whitewater,TEAM,offense,15,15,210
UW-Whitewater,TEAM,offense,5,15,118
UW-Whitewater,TEAM,offense,15,20,140
UW-Whitewater,TEAM,offense,20,15,101
UW-Whitewater,TEAM,offense,0,15,39
UW-Whitewater,TEAM,offense,15,10,204
UW-Whitewater,TEAM,offense,30,0,19
UW-Whitewater,TEAM,offense,25,5,53
UW-Whitewater,TEAM,offense,30,5,56
UW-Whitewater,TEAM,offense,35,5,53
UW-Whitewater,TEAM,offense,35,0,17
UW-Whitewater,TEAM,offense,10,10,110
UW-Whitewater,TEAM,offense,5,10,141
UW-Whitewater,TEAM,offense,25,15,128
UW-Whitewater,TEAM,offense,25,20,226
UW-Whitewater,TEAM,offense,30,15,155
UW-Whitewater,TEAM,offense,40,20,62
UW-Whitewater,TEAM,offense,0,25,25
UW-Whitewater,TEAM,offense,45,20,74
UW-Oshkosh Titans,TEAM,defense,5,5,25
UW-Oshkosh Titans,TEAM,defense,15,0,26
UW-Whitewater,TEAM,offense,20,10,86
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,15,15,4
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,45,20,11
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,25,10,2
UW-Oshkosh Titans,TEAM,defense,25,10,26
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,30,15,6
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,35,20,12
UW-Oshkosh Titans,TEAM,defense,35,20,62
UW-Whitewater,TEAM,offense,35,20,89
UW-Whitewater,TEAM,offense,30,20,86
UW-Whitewater,TEAM,offense,15,30,109
UW-Oshkosh Titans,Brandon Beck,defense,15,5,12
UW-Oshkosh Titans,Brandon Beck,defense,10,5,13
UW-Oshkosh Titans,TEAM,defense,10,5,49
UW-Oshkosh Titans,Brandon Beck,defense,5,5,7
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,45,15,3
UW-Oshkosh Titans,TEAM,defense,45,15,29
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,40,15,2
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,15,10,3
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,5,15,1
UW-Oshkosh Titans,TEAM,defense,5,15,42
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,20,5
UW-Oshkosh Titans,TEAM,defense,0,20,85
UW-Oshkosh Titans,Michael Metcalf-Grassman,defense,0,30,5
UW-Whitewater,TEAM,offense,10,20,127
UW-Whitewater,TEAM,offense,20,20,182
UW-Whitewater,TEAM,defense,10,30,32
UW-Whitewater,TEAM,defense,15,20,76
UW-Whitewater,TEAM,defense,30,30,81
UW-Whitewater,TEAM,defense,35,20,88
UW-Whitewater,TEAM,defense,30,20,103
UW-Whitewater,TEAM,defense,35,15,44
UW-Whitewater,TEAM,defense,25,15,59
UW-Whitewater,TEAM,defense,30,10,59
UW-Oshkosh Titans,TEAM,offense,45,10,79
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,0,40,3
UW-Oshkosh Titans,TEAM,offense,0,40,34
UW-Oshkosh Titans,Michael Metcalf-Grassman,offense,20,30,13
UW-Oshkosh Titans,Brandon Beck,offense,35,40,9
UW-Oshkosh Titans,Brandon Beck,offense,45,45,2
UW-Oshkosh Titans,TEAM,offense,45,45,7
UW-Oshkosh Titans,Brandon Beck,offense,40,40,7
UW-Oshkosh Titans,TEAM,offense,40,40,76
UW-Oshkosh Titans,Brandon Beck,offense,40,35,9
