clip_key,offense_team,defense_team,screen_type,hx,hy,zone,screener,coverage,coverage_source,points
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,18.2,15.1,Left elbow,unnamed offense,unclear,tracking estimate,
2026-01-03|5|24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,39.1,7.8,Mid-court,unnamed offense,rj,coach tag,1.0
2026-01-03|7|32 Luke Bara > Transition > Ballhandler > Turnover,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,78.0,11.5,Backcourt,unnamed offense,rj,coach tag,0.0
2026-01-03|10|10 Nate Nazos > Transition > Left Wing > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,48.5,29.5,Backcourt,Brandon Beck,separated (under / behind),tracking estimate,0.0
2026-01-03|11|21 Brock Marino > Non Possession > Non Shooting Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,27.9,21.1,Top of key,unnamed offense,rj,coach tag,
2026-01-03|12|21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,24.2,7.8,Left wing,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|16|15 Collin Madson > Non Possession > Non Shooting Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,34.2,19.4,Top of key,unnamed offense,separated (under / behind),tracking estimate,
2026-01-03|17|24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,9.4,32.0,Right baseline,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|18|0 Brandon Beck > Spot-Up > Drives Left > To Basket > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,19.2,30.8,Right elbow,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|20|4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,24.9,48.0,Right wing,unnamed offense,separated (under / behind),tracking estimate,
2026-01-03|24|32 Luke Bara > Non Possession > No Violation,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,17.7,11.0,Left wing,unnamed offense,rj,coach tag,
2026-01-03|27|15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,26.9,27.9,Top of key,unnamed offense,rj,coach tag,0.0
2026-01-03|29|32 Luke Bara > No Play Type > Turnover,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,25.1,39.8,Right wing,unnamed offense,rj,coach tag,0.0
2026-01-03|43|13 Logan Rindfleisch > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,41.3,38.1,Mid-court,unnamed offense,Over,coach tag,0.0
2026-01-03|45|11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,78.9,9.1,Backcourt,Jake Quast,double madz,coach tag,0.0
2026-01-03|48|15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,17.6,47.6,Right wing,Jake Quast,rj,coach tag,3.0
2026-01-03|50|15 Collin Madson > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,61.4,24.3,Backcourt,Jake Quast,rj,coach tag,0.0
2026-01-03|53|24 Richie Warren > Spot-Up > Drives Right > To Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,33.4,24.9,Top of key,unnamed offense,rj,coach tag,2.0
2026-01-03|54|20 Vitorio Dante > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,27.2,53.6,Right wing,unnamed offense,separated (under / behind),tracking estimate,
2026-01-03|56|24 Richie Warren > Post-Up > Right Block > Left Shoulder > Dribble Move > To Jumper > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,29.8,24.3,Top of key,unnamed offense,unclear,tracking estimate,2.0
2026-01-03|57|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,34.7,41.0,Right wing,unnamed offense,stayed attached (lock / trail),tracking estimate,0.0
2026-01-03|58|2 Joey LaChapell > Hand Off > From Dribble > Top > To Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,-8.1,38.4,Right baseline,unnamed offense,stayed attached (lock / trail),tracking estimate,2.0
2026-01-03|59|24 Richie Warren > ISO > Top > Drives Right > To Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,46.3,2.3,Mid-court,unnamed offense,rj,coach tag,2.0
2026-01-03|66|32 Luke Bara > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 24 Richie Warren > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,13.4,17.4,Left elbow,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|67|32 Luke Bara > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,73.0,33.3,Backcourt,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|69|32 Luke Bara > ISO > Right > Drives Left > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,32.7,20.6,Top of key,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|73|11 Jr Lukenbill > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,12.9,14.0,Left wing,unnamed offense,rj,coach tag,0.0
2026-01-03|74|21 Brock Marino > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,27.8,16.7,Left wing,unnamed offense,separated (under / behind),tracking estimate,1.0
2026-01-03|77|32 Luke Bara > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,56.0,7.8,Backcourt,unnamed offense,rj,coach tag,2.0
2026-01-03|80|21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 12 Jake Quast > Cut > Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Ball screen,24.0,45.9,Right wing,unnamed offense,unclear,tracking estimate,2.0
2026-01-03|81|11 Jay Dalton > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,41.1,14.2,Mid-court,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|82|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,29.6,16.5,Left wing,unnamed offense,Top Lock,coach tag,0.0
2026-01-03|85|2 Joey LaChapell > Spot-Up > Drives Right > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,41.0,33.1,Mid-court,Brandon Beck,unclear,tracking estimate,0.0
2026-01-03|87|32 Luke Bara > Non Possession > Non Shooting Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,45.4,35.7,Mid-court,unnamed offense,unclear,tracking estimate,
2026-01-03|88|21 Brock Marino > Cut > Basket > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,7.8,16.8,Left baseline,unnamed offense,unclear,tracking estimate,2.0
2026-01-03|90|21 Brock Marino > No Play Type > Turnover,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,19.6,19.6,Left elbow,unnamed offense,rj,coach tag,0.0
2026-01-03|94|11 Jr Lukenbill > Non Possession > No Violation,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,11.1,41.6,Right baseline,unnamed offense,rj,coach tag,
2026-01-03|95|24 Richie Warren > Cut > Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,15.6,27.3,Paint / post,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|96|23 Oskar Kangas > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 5 Matt Imig > Cut > Basket > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,25.2,27.1,Top of key,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|97|15 Collin Madson > ISO > Right > Drives Right > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,29.2,29.5,Top of key,unnamed offense,rj,coach tag,0.0
2026-01-03|100|32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Pick and Pops > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,32.9,21.7,Top of key,unnamed offense,separated (under / behind),tracking estimate,3.0
2026-01-03|101|4 Michael Metcalf-Grassman > Cut > Basket > Make 2 Pts Foul > 1 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,24.4,37.7,Right wing,unnamed offense,separated (under / behind),tracking estimate,3.0
2026-01-03|102|15 Collin Madson > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,22.6,38.8,Right wing,unnamed offense,rj,coach tag,2.0
2026-01-03|111|24 Richie Warren > Non Possession > No Violation,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,73.9,31.6,Backcourt,unnamed offense,rj,coach tag,
2026-01-03|112|15 Collin Madson > ISO > Right > Drives Right > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,26.2,11.3,Left wing,unnamed offense,rj,coach tag,2.0
2026-01-03|114|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > P&R Roll Man > Rolls to Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,26.2,33.5,Right wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|115|32 Luke Bara > ISO > Right > Drives Left > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,71.7,15.1,Backcourt,unnamed offense,rj,coach tag,2.0
2026-01-03|117|21 Brock Marino > Non Possession > Non Shooting Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,31.1,24.1,Top of key,unnamed offense,rj,coach tag,
2026-01-03|118|12 Jake Quast > No Play Type > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,14.5,17.0,Left elbow,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|120|24 Richie Warren > Non Possession > Out of Bound 5 Sec Violation,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,17.2,14.4,Left elbow,unnamed offense,rj,coach tag,
2026-01-03|121|13 Logan Rindfleisch > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,29.8,7.5,Left wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|122|32 Luke Bara > No Play Type > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,31.3,30.4,Top of key,unnamed offense,stayed attached (lock / trail),tracking estimate,2.0
2026-01-03|123|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,50.6,31.6,Backcourt,unnamed offense,unclear,tracking estimate,3.0
2026-01-03|125|21 Brock Marino > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,32.4,27.1,Top of key,Jake Quast,separated (under / behind),tracking estimate,2.0
2026-01-03|126|0 Brandon Beck > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,25.9,48.4,Right wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|127|11 Jr Lukenbill > Transition > Left Wing > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,13.8,18.3,Left elbow,Jake Quast,rj,coach tag,0.0
2026-01-03|128|21 Carter Thomas > Transition > Ballhandler > To Basket > Foul,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,20.2,25.9,Right elbow,Michael Metcalf-Grassman,unclear,tracking estimate,1.0
2026-01-03|129|0 Collin Madson > Transition > Right Wing > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,22.8,19.9,Top of key,unnamed offense,rj,coach tag,0.0
2026-01-03|131|0 Collin Madson > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts,UW-Whitewater,UW-Oshkosh Titans,Ball screen,33.9,37.0,Right wing,unnamed offense,unclear,tracking estimate,0.0
2026-01-03|132|20 Vitorio Dante > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,33.4,23.4,Top of key,unnamed offense,separated (under / behind),tracking estimate,0.0
2026-01-03|135|21 Brock Marino > ISO > Top > Drives Left > To Basket > Foul,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,37.5,40.2,Right wing,unnamed offense,rj,coach tag,1.0
