offense_team,shooter,zone,attempts,makes,points,fg_pct,pts_per_shot
UW-Oshkosh Titans,Brandon Beck,Above-break 3,5,4,11.0,80.0,2.2
UW-Oshkosh Titans,Brandon Beck,Mid-range,1,0,0.0,0.0,0.0
UW-Oshkosh Titans,Brandon Beck,Paint,1,0,0.0,0.0,0.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,Above-break 3,6,3,8.0,50.0,1.33
UW-Oshkosh Titans,Michael Metcalf-Grassman,Corner 3,2,1,2.0,50.0,1.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,Paint,1,1,2.0,100.0,2.0
UW-Oshkosh Titans,TEAM,Above-break 3,12,7,19.0,58.0,1.58
UW-Oshkosh Titans,TEAM,Corner 3,2,1,2.0,50.0,1.0
UW-Oshkosh Titans,TEAM,Mid-range,1,0,0.0,0.0,0.0
UW-Oshkosh Titans,TEAM,Paint,2,1,2.0,50.0,1.0
UW-Oshkosh Titans,Vitorio Dante,Above-break 3,1,0,0.0,0.0,0.0
UW-Whitewater,Collin Madson,Above-break 3,5,1,3.0,20.0,0.6
UW-Whitewater,Collin Madson,Mid-range,1,0,0.0,0.0,0.0
UW-Whitewater,Darius Chestnut,Above-break 3,1,1,3.0,100.0,3.0
UW-Whitewater,Jake Quast,Above-break 3,4,2,4.0,50.0,1.0
UW-Whitewater,Jake Quast,Mid-range,2,0,0.0,0.0,0.0
UW-Whitewater,Jr Lukenbill,Above-break 3,1,0,0.0,0.0,0.0
UW-Whitewater,TEAM,Above-break 3,11,4,10.0,36.0,0.91
UW-Whitewater,TEAM,Mid-range,3,0,0.0,0.0,0.0
