clip_key,game_date,offense_team,defense_team,shooter,hx,hy,zone,floor_zone,made,value,points,zone_agrees_with_result
2026-01-03|4|0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Brandon Beck,50.0,44.9,Above-break 3,Backcourt,True,3,3.0,True
2026-01-03|30|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Brandon Beck,38.7,19.0,Above-break 3,Top of key,True,3,3.0,True
2026-01-03|35|12 Jake Quast > Cut > Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Jake Quast,15.2,18.6,Mid-range,Left elbow,False,2,0.0,True
2026-01-03|37|10 Darius Chestnut > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Darius Chestnut,45.7,13.0,Above-break 3,Mid-court,True,3,3.0,True
2026-01-03|38|4 Michael Metcalf-Grassman > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Michael Metcalf-Grassman,34.8,29.5,Above-break 3,Top of key,False,3,0.0,True
2026-01-03|44|12 Jake Quast > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Jake Quast,30.9,19.6,Above-break 3,Top of key,False,3,0.0,True
2026-01-03|45|11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Jr Lukenbill,40.8,45.5,Above-break 3,Mid-court,False,3,0.0,True
2026-01-03|46|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > Drives Right > To Basket > Miss 2 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Brandon Beck,50.4,24.7,Above-break 3,Backcourt,False,2,0.0,False
2026-01-03|48|15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Collin Madson,30.7,4.2,Above-break 3,Left wing,True,3,3.0,True
2026-01-03|49|4 Michael Metcalf-Grassman > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Michael Metcalf-Grassman,43.9,44.4,Above-break 3,Mid-court,True,3,3.0,True
