lineup,possessions,both_corners_pct,paint_crowded_pct,spacing_ft,ppp
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Richie Warren",15,0.0,6.0,13.1,0.8
,12,0.0,12.0,11.7,0.0
"Collin Madson, Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz",8,0.0,0.0,15.0,0.62
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen",6,0.0,5.0,14.2,1.0
"Brock Marino, Collin Madson, Jake Quast, Luke Bara, Richie Warren",5,0.0,0.0,12.5,1.6
"Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren",5,0.0,20.0,12.1,0.6
"Brock Marino, Collin Madson, Darius Chestnut, Luke Bara, Richie Warren",3,0.0,4.0,12.3,0.0
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Richie Warren",2,0.0,17.0,10.5,1.5
"Brock Marino, Collin Madson, JR Lukenbill, Jake Quast, Luke Bara",2,0.0,0.0,12.5,1.0
"Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren, Tyshawn Teague-Johnson",2,0.0,0.0,9.9,2.0
"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",2,0.0,0.0,14.0,1.5
"Collin Madson, JR Lukenbill, Jake Quast, Luke Bara, Richie Warren",2,0.0,6.0,12.5,1.0
"Collin Madson, JR Lukenbill, Joey Berezowitz, Luke Bara, Richie Warren",2,0.0,0.0,9.4,1.0
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Tyshawn Teague-Johnson",2,0.0,0.0,10.1,1.5
"Collin Madson, Darius Chestnut, Joey Berezowitz, Luke Bara, Richie Warren",2,0.0,0.0,15.2,0.0
"Brock Marino, Collin Madson, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,0.0,43.0,7.5,0.0
"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",1,0.0,11.0,9.8,0.0
"Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,0.0,0.0,11.1,2.0
