clip_key,defense_team,offense_team,zone,press,points
2026-01-03|5|24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,1.0
2026-01-03|7|32 Luke Bara > Transition > Ballhandler > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|16|15 Collin Madson > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|19|15 Collin Madson > Transition > Ballhandler > To Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|24|32 Luke Bara > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|27|15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|29|32 Luke Bara > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|31|24 Richie Warren > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|32|10 Darius Chestnut > No Play Type > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|34|15 Collin Madson > Transition > Left Wing > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|44|12 Jake Quast > Transition > Right Wing > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|50|15 Collin Madson > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|59|24 Richie Warren > ISO > Top > Drives Right > To Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|61|24 Richie Warren > Spot-Up > Drives Right > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|63|32 Luke Bara > Transition > Ballhandler > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|67|32 Luke Bara > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|69|32 Luke Bara > ISO > Right > Drives Left > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|73|11 Jr Lukenbill > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|77|32 Luke Bara > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|79|40 Tyshawn Teague-Johnson > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|83|32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Collin Madson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|86|32 Luke Bara > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|87|32 Luke Bara > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|90|21 Brock Marino > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|94|11 Jr Lukenbill > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|97|15 Collin Madson > ISO > Right > Drives Right > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|102|15 Collin Madson > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|104|24 Richie Warren > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|106|32 Luke Bara > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|107|24 Richie Warren > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|109|11 Jr Lukenbill > No Play Type > Turnover,UW-Oshkosh Titans,UW-Whitewater,False,True,0.0
2026-01-03|111|24 Richie Warren > Non Possession > No Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|112|15 Collin Madson > ISO > Right > Drives Right > To Basket > Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|115|32 Luke Bara > ISO > Right > Drives Left > To Basket > Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
2026-01-03|117|21 Brock Marino > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|120|24 Richie Warren > Non Possession > Out of Bound 5 Sec Violation,UW-Oshkosh Titans,UW-Whitewater,False,True,
2026-01-03|122|32 Luke Bara > No Play Type > Foul,UW-Oshkosh Titans,UW-Whitewater,False,True,2.0
