opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,season,meeting_date
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Austin Ambrose,2,0,0,0,0,2,3,0,0,0,0,0,1,0,0,,,66.7,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Brock Marino,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Carter Capstran,12,4,9,1,1,3,4,1,1,1,0,0,0,3,2,44.4,100.0,75.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Collin Madson,12,4,4,0,0,4,4,1,1,0,0,0,1,4,2,100.0,,100.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Darius Chestnut,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0.0,0.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Isaac Verges,2,1,1,0,0,0,0,0,2,1,0,0,1,1,2,100.0,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,JT Hoytink,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0.0,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Jake Quast,0,0,1,0,1,0,0,1,1,0,1,0,1,1,2,0.0,0.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Jameer Barker,11,3,11,0,5,5,5,0,2,3,1,0,3,1,2,27.3,0.0,100.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Joey Berezowitz,2,1,4,0,1,0,0,1,1,2,3,1,1,2,2,25.0,0.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Kelton McEwen,3,1,3,1,2,0,0,1,0,0,0,0,0,0,1,33.3,50.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Luke Bara,15,5,12,2,5,3,4,2,0,0,0,0,2,0,2,41.7,40.0,75.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Richie Warren,8,4,5,0,1,0,0,0,5,0,2,0,1,2,5,80.0,0.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Stevens Point Pointers,Tristian Lynch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Blake Kortz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Cal Krohn,9,3,3,0,0,3,4,1,3,2,0,0,1,5,4,100.0,,75.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Carter Combs,4,2,4,0,0,0,0,0,3,1,2,1,1,1,3,50.0,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Darrius Bolden,6,2,5,1,2,1,2,0,5,4,2,0,4,2,5,40.0,50.0,50.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Grant Manz,2,1,2,0,0,0,0,1,1,0,0,0,0,1,2,50.0,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,James Jacobs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Josiah Butler,20,7,12,2,5,4,4,0,1,0,1,0,1,2,1,58.3,40.0,100.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Logan Baumgartner,9,4,7,1,4,0,0,2,0,3,0,4,1,2,2,57.1,25.0,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Malik Abdul-Wahid,16,6,11,0,1,4,5,0,4,1,3,3,4,1,4,54.5,0.0,80.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Seth Miron,20,7,8,4,5,2,2,4,2,0,0,0,1,3,6,87.5,80.0,100.0,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Shane Tarjan,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-08,UW-Whitewater,Tyshawn Teague-Johnson,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,2024-25,"Wed, Jan 8"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Austin Schaumburg,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Blake Kortz,2,1,2,0,1,0,0,1,0,0,0,0,0,0,1,50.0,0.0,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Cal Krohn,6,3,4,0,0,0,0,0,2,2,1,1,0,1,2,75.0,,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Carter Combs,5,1,1,1,1,2,2,0,1,1,1,0,0,2,1,100.0,100.0,100.0,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Darrius Bolden,0,0,0,0,0,0,0,0,3,4,0,0,1,1,3,,,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Dylan Taylor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Ethan Hoelzel,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,100.0,,,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Grant Manz,2,0,0,0,0,2,2,0,0,1,0,0,1,2,0,,,100.0,2024-25,"Wed, Jan 29"
UW-Stevens Point Pointers,2025-01-29,UW-Stevens Point Pointers,Jack Hutchinson,0,0,2,0,1,0,0,0,1,1,0,0,0,0,1,0.0,0.0,,2024-25,"Wed, Jan 29"
