scouted_opponent,side,lineup,top_calls,tagged_possessions,ppp,grouping
Aurora Spartans,Opponent,"Adam Awender, Alex Ross, Bryden Gryzmala, Gevon Grant, Jeffery Hillmer",SLOB Ball Screen (1x),1,0.0,5G
Aurora Spartans,Opponent,"Alex Ross, Bryden Gryzmala, Devon Richardson, Juan Madrigal, Robert Hutson","BLOB (2x), 5 Out Twirl (1x), Ball Screen (1x)",4,0.5,4G-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Gevon Grant, Isaiah Thompson, Juan Madrigal","Screen the Screener (1x), Reject (1x)",2,0.0,3G-1W-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Gevon Grant, Jeffery Hillmer, Juan Madrigal",Reject (1x),1,0.0,4G-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal","SLOB Box Down Screen (1x), BLOB Curl (1x)",2,2.0,3G-1W-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Isaiah Thompson, Jeffery Hillmer, Zerrick Johnson","Reject (1x), Horns Zoom (1x)",2,0.0,3G-1W-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Isaiah Thompson, Juan Madrigal, Robert Hutson",Ball Screen (1x),1,3.0,3G-1W-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Devon Richardson, Jeffery Hillmer, Juan Madrigal, Robert Hutson","Reject (2x), Ball Screen (1x)",3,2.0,4G-1B
Aurora Spartans,Opponent,"Bryden Gryzmala, Gevon Grant, Isaiah Thompson, Juan Madrigal, Larry Carthan",Reject (1x),1,0.0,3G-2W
Aurora Spartans,Opponent,"Bryden Gryzmala, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal, Larry Carthan","2-3 DHO (1x), Reject (1x)",2,1.0,3G-2W
Aurora Spartans,Opponent,"Bryden Gryzmala, Jeffery Hillmer, Juan Madrigal, Larry Carthan, Robert Hutson","Reject (2x), BLOB Box Lob (1x), Ball Screen (1x)",4,0.75,4G-1W
