team,jersey_number,name,position,height,class_year,photo_url,source
UW-Whitewater Warhawks,0,ISAAC VERGES,G,6-0,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Isaac Verges/1762762335006,FastScout roster page
UW-Whitewater Warhawks,1,AGAPE KEYES JR.,G,6-2,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Agape Keyes Jr./1762762333194,FastScout roster page
UW-Whitewater Warhawks,2,KELTON MCEWEN,G,6-1,SO,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Kelton McEwen/1762762336560,FastScout roster page
UW-Whitewater Warhawks,3,ZAY HOWARD,G,5-10,SO,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Zay Howard/1762762332182,FastScout roster page
UW-Whitewater Warhawks,5,ISAIAH ROBINSON,G,6-0,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Isaiah Robinson/1762762335328,FastScout roster page
UW-Whitewater Warhawks,10,DARIUS CHESTNUT,G,6-2,JR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Darius Chestnut/1762762336975,FastScout roster page
UW-Whitewater Warhawks,11,JR LUKENBILL,F,6-5,SO,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/JR Lukenbill/1762762334430,FastScout roster page
UW-Whitewater Warhawks,12,JAKE QUAST,G,6-3,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Jake Quast/1762762332703,FastScout roster page
UW-Whitewater Warhawks,14,MIKEY WILDES,G,6-3,FR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Mikey Wildes/1762762333422,FastScout roster page
UW-Whitewater Warhawks,15,COLLIN MADSON,G,6-3,JR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Collin Madson/1762762334151,FastScout roster page
UW-Whitewater Warhawks,20,AUSTIN AMBROSE,F,6-9,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Austin Ambrose/1762762333644,FastScout roster page
UW-Whitewater Warhawks,21,BROCK MARINO,F,6-7,JR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Brock Marino/1762762333885,FastScout roster page
UW-Whitewater Warhawks,22,JOEY BEREZOWITZ,G,5-10,SR,https://stats-assets.fastmodelsports.com/images/personnel/UW-Whitewater/2025-2026/Joey Berezowitz/1762762335845,FastScout roster page
