lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Deng Makeer, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",2,194.4,-4.0,30,9,20,2,6,10,11,8,7,15,2,5,1,3,5,45.0,33.3,90.9
"Brock Massey, Damyen Jackson, Deng Makeer, Jack Haynes, Patrick Coen",1,155.6,0.0,15,6,10,0,2,3,4,2,2,4,3,3,2,1,5,60.0,0.0,75.0
"Brock Massey, Damyen Jackson, Jack Haynes, Kyle Kober, Nolan Berendes",3,148.7,-2.0,23,7,10,2,4,7,8,3,7,10,2,0,2,6,7,70.0,50.0,87.5
"Brock Massey, Damyen Jackson, Deng Makeer, Jack Haynes, Patrick Quarnstrom",2,144.0,-10.0,23,5,7,2,3,11,13,2,7,9,3,3,1,1,3,71.4,66.7,84.6
"Gavin Sarvis, Jack Haynes, Johnny Semany, Kyle Kober, Nolan Berendes",5,132.8,0.0,13,4,16,2,10,3,6,4,9,13,1,1,2,4,1,25.0,20.0,50.0
"Dylan Kurt, Gavin Sarvis, Jack Haynes, Kyle Kober, Nolan Berendes",4,126.0,11.0,40,13,23,7,15,7,7,3,9,12,10,6,0,3,8,56.5,46.7,100.0
"Brock Massey, Emmett Loew, Juvon Crawford, Kyle Kober, Patrick Quarnstrom",1,107.7,36.0,34,12,17,3,7,7,9,2,7,9,6,2,1,4,5,70.6,42.9,77.8
"Dylan Kurt, Emmett Loew, Gavin Sarvis, Jack Haynes, Kyle Kober",1,107.1,-1.0,18,5,16,0,6,8,9,3,5,8,1,4,1,2,5,31.2,0.0,88.9
"Connor Mosele, Damyen Jackson, Deng Makeer, Emmett Loew, Jack Haynes",1,104.3,-8.0,27,10,22,4,9,3,5,8,7,15,3,2,3,2,6,45.5,44.4,60.0
"Damyen Jackson, Gavin Sarvis, Jack Haynes, Johnny Semany, Nolan Berendes",5,99.7,-5.0,48,18,37,5,14,7,10,6,17,23,6,3,1,7,9,48.6,35.7,70.0
"Brock Massey, Damyen Jackson, Deng Makeer, Dylan Kurt, Gavin Sarvis",2,93.4,-1.0,7,2,12,1,8,2,3,4,8,12,0,0,0,1,5,16.7,12.5,66.7
"Brock Massey, Connor Mosele, Deng Makeer, Dylan Kurt, Kyle Kober",2,90.0,1.0,8,3,8,1,4,1,2,1,3,4,2,5,1,2,3,37.5,25.0,50.0
"Brock Massey, Damyen Jackson, Deng Makeer, Gavin Sarvis, Jack Haynes",2,78.9,2.0,19,7,11,1,2,4,5,0,7,7,4,3,0,2,6,63.6,50.0,80.0
"Damyen Jackson, Deng Makeer, Gavin Sarvis, Jack Haynes, Johnny Semany",1,74.2,2.0,7,2,4,1,2,2,2,0,4,4,1,1,0,2,6,50.0,50.0,100.0
"Emmett Loew, Jack Haynes, Kyle Kober, Lukas Balling, Nolan Berendes",1,73.1,5.0,11,4,6,1,1,2,3,0,3,3,1,1,0,1,2,66.7,100.0,66.7
"Brock Massey, Gavin Sarvis, Johnny Semany, Nolan Berendes, Patrick Coen",2,71.8,-4.0,12,5,8,0,2,2,2,0,5,5,0,2,1,2,3,62.5,0.0,100.0
"Brock Massey, Connor Mosele, Jack Haynes, Johnny Semany, Kyle Kober",1,71.0,2.0,8,3,4,0,0,2,4,2,1,3,2,2,0,1,2,75.0,,50.0
