opponent,player,jersey,position,height,hand,class_year,status,games_on_film,photo_url,is_sample
UW-Stevens Point Pointers,Zach Orr,0,G,5-11,,FR,,1 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Zach Orr/1762762286892,False
UW-Stevens Point Pointers,Drew Daoust,1,G,6-1,,FR,,8 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Drew Daoust/1762762285991,False
UW-Stevens Point Pointers,Seth Miron,2,G/F,6-5,,JR,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Seth Miron/1762762284759,False
UW-Stevens Point Pointers,James Jacobs,3,G,6-3,,JR,,5 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/James Jacobs/1762762288755,False
UW-Stevens Point Pointers,Josiah Butler,4,G,6-2,,JR,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Josiah Butler/1762762282561,False
UW-Stevens Point Pointers,Carter Combs,5,G,6-0,,SO,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Carter Combs/1762762287269,False
UW-Stevens Point Pointers,Shane Tarjan,10,G,6-2,,SR,,8 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Shane Tarjan/1762762285170,False
UW-Stevens Point Pointers,Cal Krohn,12,F,6-8,,JR,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Cal Krohn/1762762286535,False
UW-Stevens Point Pointers,Isaiah Moore,13,G/F,6-4,,FR,,10 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Isaiah Moore/1762762284498,False
UW-Stevens Point Pointers,Logan Baumgartner,15,G/F,6-4,,JR,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Logan Baumgartner/1762762287616,False
UW-Stevens Point Pointers,Nick Fox,21,F,6-5,,FR,,1 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Nick Fox/1762762288472,False
UW-Stevens Point Pointers,Tyler Orr,22,G,5-11,,SO,,9 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Tyler Orr/1762762288165,False
UW-Stevens Point Pointers,Max Raimer,23,G,6-4,,FR,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Max Raimer/1762762285728,False
UW-Stevens Point Pointers,Grant Manz,24,F,6-6,,SO,,13 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Grant Manz/1762762283878,False
UW-Stevens Point Pointers,Dylan Taylor,25,G,6-0,,SO,,2 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Dylan Taylor/1762762285466,False
UW-Stevens Point Pointers,Austin Schaumburg,31,G/F,6-3,,JR,,3 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Austin Schaumburg/1762762283373,False
UW-Stevens Point Pointers,Emmitt Huhn,44,F,6-8,,FR,,1 of 13,https://stats-assets.fastmodelsports.com/images/personnel/UW-Stevens Point/2025-2026/Emmitt Huhn/1762762286244,False
