opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,MIN,started
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Amory Peterson,2,1,3,0,1,0,0,1,1,0,2,0,2,5,2,33.3,0.0,,16.0,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Blue Smaller,3,1,1,0,0,1,2,0,1,0,0,0,2,2,1,100.0,,50.0,19.3,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Brady Ingersoll,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,8.9,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Cole Johnson,0,0,1,0,0,0,0,1,1,2,1,0,2,1,2,0.0,,,18.1,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Cooper Mensink,2,1,6,0,5,0,0,1,1,0,0,0,0,1,2,16.7,0.0,,5.1,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Eli Rogers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Elliot Whitney,2,1,9,0,4,0,0,2,5,4,1,0,5,2,7,11.1,0.0,,25.1,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Jack Brockmann,13,6,10,1,1,0,0,2,6,1,0,1,3,4,8,60.0,100.0,,33.8,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Max Briggs,24,3,10,2,7,16,17,1,4,4,1,1,2,2,5,30.0,28.6,94.1,33.8,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Rysley Borman,8,3,7,2,6,0,0,0,1,1,0,0,1,1,1,42.9,33.3,,18.3,False
Bethany Lutheran Vikings,2025-11-21,Bethany Lutheran Vikings,Will Walter,13,5,10,3,6,0,0,2,2,0,1,0,0,2,4,50.0,50.0,,20.4,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Cal Krohn,12,5,11,0,1,2,2,2,2,2,1,1,3,4,4,45.5,0.0,100.0,33.8,True
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Carter Combs,11,4,9,3,6,0,0,2,6,4,2,0,1,5,8,44.4,50.0,,32.8,True
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Drew Daoust,0,0,2,0,2,0,0,0,0,1,1,0,1,1,0,0.0,0.0,,8.9,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Grant Manz,2,1,1,0,0,0,0,1,2,0,0,0,2,1,3,100.0,,,5.4,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Josh Bocher,8,2,2,0,0,4,5,1,2,1,1,0,0,2,3,100.0,,80.0,16.2,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Josiah Butler,15,3,7,1,4,8,8,0,2,2,1,0,2,4,2,42.9,25.0,100.0,17.9,True
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Logan Baumgartner,4,2,5,0,3,0,2,0,4,2,0,0,1,3,4,40.0,0.0,0.0,20.6,True
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Max Raimer,11,5,13,1,5,0,4,1,0,0,3,0,0,1,1,38.5,20.0,0.0,26.5,False
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Seth Miron,15,6,12,2,5,1,2,3,4,1,1,2,1,0,7,50.0,40.0,50.0,36.2,True
Bethany Lutheran Vikings,2025-11-21,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.4,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,AC Strok,5,1,1,1,1,2,2,0,3,0,0,0,1,2,3,100.0,100.0,100.0,14.0,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Hunter Hardyman,8,2,6,2,5,2,2,0,5,1,1,0,4,4,5,33.3,40.0,100.0,23.6,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Isaiah Hubanks,3,1,3,0,2,1,1,0,2,2,0,0,0,2,2,33.3,0.0,100.0,21.8,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Jonah Anderson,6,1,1,0,0,4,8,1,0,1,0,0,2,4,1,100.0,,50.0,9.4,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Kaleb Walter,6,2,2,0,0,2,2,0,3,1,1,0,2,2,3,100.0,,100.0,15.3,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Logan Steffensmeier,1,0,0,0,0,1,2,0,2,0,0,0,1,4,2,,,50.0,15.4,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Matt Kirk,22,8,12,1,3,5,8,2,7,5,1,0,6,2,9,66.7,33.3,62.5,34.6,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Payton Bowser,7,2,9,1,7,2,2,0,0,1,0,0,1,2,0,22.2,14.3,100.0,24.9,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Trent Tousana,17,5,11,4,8,3,7,0,2,3,0,0,1,2,2,45.5,50.0,42.9,30.7,False
Edgewood Eagles,2025-11-15,Edgewood Eagles,Zane Willadsen,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,,,,8.1,False
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Cal Krohn,15,4,8,0,1,7,13,0,5,1,0,0,0,1,5,50.0,0.0,53.8,35.6,True
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Carter Combs,7,1,3,1,2,4,4,1,4,2,0,0,1,5,5,33.3,50.0,100.0,25.9,True
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Grant Manz,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,2.3,False
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Isaiah Moore,11,5,10,1,4,0,2,1,6,2,3,0,2,4,7,50.0,25.0,0.0,30.5,False
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Josiah Butler,26,6,11,1,3,13,15,1,1,2,2,0,1,3,2,54.5,33.3,86.7,36.5,True
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Logan Baumgartner,8,2,6,2,6,2,2,1,2,2,1,0,3,4,3,33.3,33.3,100.0,18.5,True
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Max Raimer,8,2,4,0,2,4,5,1,3,0,2,0,0,5,4,50.0,0.0,80.0,18.8,False
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Seth Miron,11,4,8,1,2,2,2,4,3,2,1,0,1,4,7,50.0,50.0,100.0,25.5,True
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Shane Tarjan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1,False
Edgewood Eagles,2025-11-15,UW-Stevens Point Pointers,Tyler Orr,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0,,3.0,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Andrew Messenger,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,33.3,0.0,,3.3,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Asher Fleming,8,3,6,0,1,2,2,0,6,1,0,1,2,4,6,50.0,0.0,100.0,32.7,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Chris Bryant,14,4,10,0,0,6,9,3,3,1,0,2,2,4,6,40.0,,66.7,28.9,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,DJ Jones,3,1,4,1,4,0,0,0,1,0,0,0,2,0,1,25.0,25.0,,17.6,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Gavin Davis,3,1,5,1,3,0,0,1,0,1,0,0,1,3,1,20.0,33.3,,19.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Jamar Ingram,8,4,5,0,0,0,0,0,4,1,0,0,2,1,4,80.0,,,17.6,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Jared Cox,2,0,0,0,0,2,2,1,0,0,0,0,0,0,1,,,100.0,4.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Matthew Alexander,11,4,9,2,4,1,2,0,8,2,1,0,1,2,8,44.4,50.0,50.0,26.1,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Myles Amason,2,0,1,0,0,2,2,0,1,0,0,1,0,2,1,0.0,,100.0,14.9,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Noah Lamey,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,2.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Trevion Howell,2,1,3,0,2,0,0,1,2,1,0,0,0,1,3,33.3,0.0,,10.4,False
Hardin-Simmons Cowboys,2025-12-20,Hardin-Simmons Cowboys,Tyler Williams,6,1,3,0,0,4,6,0,0,0,0,1,2,4,0,33.3,,66.7,21.5,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Cal Krohn,14,7,12,0,0,0,2,0,1,1,1,0,1,5,1,58.3,,0.0,28.0,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Carter Combs,4,2,4,0,0,0,1,1,4,3,4,0,1,1,5,50.0,,0.0,36.9,True
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Grant Manz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,,,,5.1,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Isaiah Moore,2,1,2,0,0,0,0,1,7,1,1,0,0,3,8,50.0,,,19.1,False
Hardin-Simmons Cowboys,2025-12-20,UW-Stevens Point Pointers,Josh Bocher,4,1,3,0,0,2,6,0,1,0,0,0,0,2,1,33.3,,33.3,16.3,False
