opponent,game_date,lineup,stint_minutes,margin_change
Augustana (IL) Vikings,2025-11-30,"Brandon Beck, Carter Thomas, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.52,-2.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",1.0,2.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",1.07,0.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",1.77,4.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.83,0.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jay Dalton, Jonah Rindfleisch, Oskar Kangas",1.18,-2.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jay Dalton, Jonah Rindfleisch, Oskar Kangas",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",1.22,4.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jonah Rindfleisch, Matt Imig, Oskar Kangas",1.5,1.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.2,0.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.42,-2.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.37,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.45,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jay Dalton, Jonah Rindfleisch, Oskar Kangas",0.38,-1.0
Augustana (IL) Vikings,2025-11-30,"Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos, Tristan Johanknecht",0.97,3.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jonah Rindfleisch, Matt Imig, Oskar Kangas",1.9,-4.0
Augustana (IL) Vikings,2025-11-30,"Aiden Hawkinson, Carter Thomas, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",2.27,5.0
Augustana (IL) Vikings,2025-11-30,"AJ Ohrmundt, Brandon Beck, Joey LaChapell, Logan Rindfleisch, Nate Nazos",0.0,0.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.13,0.0
Augustana (IL) Vikings,2025-11-30,"Carter Thomas, Jay Dalton, Jonah Rindfleisch, Matt Imig, Oskar Kangas",0.52,3.0
Augustana (IL) Vikings,2025-11-30,"Brandon Beck, Joey LaChapell, Nate Nazos, Oskar Kangas, Tristan Johanknecht",0.98,-2.0
