opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
St. Thomas (TX) Celts,2025-11-14,#10,Angel Johnson,G,"6'2""",,SR,Starter,"PG, looking to create most touches",Anticipate drive after closeout,True
St. Thomas (TX) Celts,2025-11-14,#1,Corey Thompson,G,"6'2""",,JR,Starter,LH Shooter/Driver (Main shooting threat),Anticipate LHD & finish attempts,True
St. Thomas (TX) Celts,2025-11-14,#0,Nathan Kongolo,G/F,"6'4""",,SO,Starter,RH Driver/slasher,Anticipate RHD,True
St. Thomas (TX) Celts,2025-11-14,#12,Nicholas Buffalo,F,"6'6""",,JR,Starter,Scores from dump offs on drives & O-Boards,Box out!!!,True
St. Thomas (TX) Celts,2025-11-14,#25,Charles Gitonga,F,"6'8""",,JR,Starter,Driver/slasher,Anticipate RHD & finish attempts,True
St. Thomas (TX) Celts,2025-11-14,#33,Garret Rodgers,F,"6'6""",,FR,Bench,Scores in post and from Offensive Boards,Box Out!!!,True
St. Thomas (TX) Celts,2025-11-14,#5,Reyce Allen,F,"6'5""",,SR,Bench,Driver 1st forward,Anticipate RHD & finish attempt,True
St. Thomas (TX) Celts,2025-11-14,#3,Brennan Webb,G,"6'1""",,FR,Bench,LH Shooter,Locate in transition,True
St. Thomas (TX) Celts,2025-11-14,#2,Omar Gayle,G,"5'10""",,SO,Bench,Quick play making guard.,Anticipate quick 1st step,True
Eureka Red Devils,,#12,Jaxson Provost,G,"5'10""",170 lbs,JR,Starter,"Off Guard Looking to Attack (18 FGA, 8 FTA)",Keep in Front w/ Contest,True
Eureka Red Devils,,#5,Micah Bruer,G,"6'0""",,JR,Starter,PG - Similar Style to #3 from Ripon,Pressure and Speed Up,True
Eureka Red Devils,,#4,Ben Carter,G/F,"6'4""",185 lbs,SR,Starter,Rebounding / Defending Wing,Active Hands on Perimeter,True
Eureka Red Devils,,#30,Jonah Lauff,F,"6'5""",,SR,Starter,Shooter!,No C&S 3's,True
Eureka Red Devils,,#33,Andrew Coker,F,"6'5""",170 lbs,SR,Starter,Perimeter Big,Keep in Front w/ Contest,True
Eureka Red Devils,,#7,Damuzha Moore,F,"6'3""",,SR,Bench,Back Up Wing,Keep in Front w/ Contest,True
Eureka Red Devils,,#6,Jacob Gonzalez,G,"6'0""",,SR,Bench,Back Up PG,Be a Helper,True
Aurora Spartans,,#11,Mekhi Doby,G,"6'3""",,JR,Starter,Heavy RHD,Anticipate Crossover + RHD,True
Aurora Spartans,,#13,Zerrick Johnson,G,"6'2""",,FR,Starter,Driver/shooter,No fouls!,True
Aurora Spartans,,#3,Jeffery Hillmer,G,"6'4""",,JR,Starter,Driver First,Box Out!!!,True
Aurora Spartans,,#2,Juan Madrigal,G,"6'4""",,JR,Starter,Shooter/Driver,High Early hand on closeouts!,True
Aurora Spartans,,#22,Devon Richardson,C,"6'8""",,JR,Starter,"Prefers LS/RH, capable with RS/LH",Box out!!!,True
Aurora Spartans,,#24,Gevon Grant,G,"6'0""",,JR,Bench,RHD/Shooter (PG),Stop initial push in transition,True
Aurora Spartans,,#5,Larry Carthan,F,"6'7""",,JR,Bench,Back up 5 man,NLS,True
Aurora Spartans,,#12,Robert Hutson,G,"6'3""",,SO,Bench,Capable shooter & driver,Anticipate LHD,True
Aurora Spartans,,#1,Bryden Gryzmala,G,"5'11""",,FR,Bench,PG,Anticipate pull ups on LHD,True
Simpson Storm,,#23,Cam Henderson,G,"5'10""",,SO,Starter,LH Driver/shooter,Anticipate LHD,True
Simpson Storm,,#13,Levi Gurwell,G,"6'0""",145 lbs,SR,Starter,Efficient 3 level scorer,Stay down on Pump fakes,True
Simpson Storm,,#11,Spencer Holley,G,"6'4""",,FR,Starter,RHD,Antcipate RHD,True
Simpson Storm,,#30,Brogan Fuller,G,"6'4""",,SO,Starter,Shooter/Driver,No C&S 3's,True
Simpson Storm,,#34,Marcus Haupert,F,"6'5""",,SR,Starter,LS/RH Post,No LS/RH,True
Simpson Storm,,#2,Bo Huston,G,"5'10""",160 lbs,SR,Bench,LH Shooter,High/Early hand on closeout!,True
Simpson Storm,,#0,Jachin Mertes,G,"6'6""",,JR,Bench,"Will post, drive, & shoot",Antcipate RHD,True
Simpson Storm,,#3,Isaac Averill,G,"6'4""",,FR,Bench,RH but prefers to attack L,Antcipate step back on LHD,True
Ripon Red Hawks,2025-11-07,#3,Seth Bunders,G,"6'0""",140 lbs,JR,Starter,Shooter!,NO C&S 3's!!!,True
Ripon Red Hawks,2025-11-07,#13,CJ Brown,G,"6'3""",,SR,Starter,Go To=mid range pull up (1-2 dribbles),Anticipate 1 dribble pull up,True
Ripon Red Hawks,2025-11-07,#44,Marshawn Robinson,G,"6'3""",180 lbs,JR,Starter,Driver/Shooter,Anticipate pull up when he goes left,True
Ripon Red Hawks,2025-11-07,#35,Michael Asman,F,"6'7""",,SO,Starter,C&S 3's,No C&S 3s!! (stunt v. pick & pop),True
Ripon Red Hawks,2025-11-07,#12,Kolby Williams,F,"6'7""",,SR,Starter,Rebounds Hard!,Boxout!!!,True
Ripon Red Hawks,2025-11-07,#4,Jarton Davis,G,"6'1""",,JR,Bench,Shooter/Driver,Limit C&S 3's,True
Ripon Red Hawks,2025-11-07,#5,Jake Thomsen,G,"6'2""",,JR,Bench,C&S 3's,No C&S 3's,True
Lawrence Vikings,,#3,Nathan Valentine,G,"5'11""",170 lbs,SR,Starter,Shooter (C & S 3's),No C & S 3's,True
Lawrence Vikings,,#10,Hogan Demovsky,G,"6'3""",185 lbs,JR,Starter,Shooter with DEEP range (esp. Late in clock),No C & S 3's,True
Lawrence Vikings,,#22,Nicholas Gouriotis,F,"6'5""",200 lbs,JR,Starter,Shooter/Driver,No C & S 3's,True
Lawrence Vikings,,#15,CJ Campbell,F,"6'7""",190 lbs,JR,Starter,Shooter/Driver,No Rhythm 3's,True
Lawrence Vikings,,#20,Casey Schoenecker,F,"6'6""",210 lbs,JR,Starter,Attacks from perimeter & scores in post,Anticipate LS/RH Finishes,True
Lawrence Vikings,,#12,Nicolas Manzanera,G,"6'0""",205 lbs,SR,Bench,Shooter,No C & S 3's,True
Lawrence Vikings,,#21,Nolan Koch,F,"6'5""",215 lbs,SO,Bench,LS/RH in Post (Non-shooter),NLS/RH,True
Lawrence Vikings,,#14,Landon Key,F,"6'4""",180 lbs,SO,Bench,Driver (either way),Be a helper!!,True
Lawrence Vikings,,#4,Caleb Nash,G,"6'1""",190 lbs,SO,Bench,Driver (either way),Be a Helper!!,True
Carroll (WI) Pioneers,,#33,Dennis Estepp,G,"6'0""",170 lbs,JR,Starter,PG - pushes tempo in transition,Stop him down in transition,True
Carroll (WI) Pioneers,,#12,Peyton McKenna,G,"6'2""",175 lbs,SO,Starter,Shooter! (70 of 78 shot attempts are 3's),LOCK & TRAIL!!!,True
Carroll (WI) Pioneers,,#4,Michael McNabb,G,"6'5""",205 lbs,SO,Starter,LH Driver/Shooter,Show hands/don't foul on drives!!,True
Carroll (WI) Pioneers,,#44,Lamar Smith,F,"6'4""",185 lbs,SR,Starter,Driver (Prefers RHD but capable LHD),Anticipate quick 1st step,True
Carroll (WI) Pioneers,,#41,Jacob Naber,F,"6'8""",230 lbs,SR,Starter,Posts hard after DHO or ball screen,Extend & Limit Catches | Crash to 3/4 front,True
Carroll (WI) Pioneers,,#3,Lucas Parker,G,"6'4""",185 lbs,JR,Bench,Shooter,NO C&S 3's!!!,True
Carroll (WI) Pioneers,,#15,Evan Bland,G,"6'0""",165 lbs,SR,Bench,"Aggressive Driver (prefers RH, will go both)",Anticipate RHD,True
Carroll (WI) Pioneers,,#42,Greg Smith,F,"6'7""",,FR,Bench,Back up 5 man,Be a Helper!!!,True
Alma Scots,,#14,Raine Rodich,G,"6'0""",185 lbs,SO,Starter,Driver (Non-shooter),Anticipate spin back on finishes,True
Alma Scots,,#3,Donovan Collins,G,"6'0""",150 lbs,JR,Starter,Shooter,High early hand on closeouts,True
Alma Scots,,#20,Josh Elliott,G,"6'3""",185 lbs,SR,Starter,Shooter (no made 2's this season),Locate early in transition,True
Alma Scots,,#11,Korbin Heitzman,F,"6'7""",190 lbs,JR,Starter,Efficient in post and drives (Non-shooter),No LS/RH,True
Alma Scots,,#24,Logan St. Martin,F/C,"6'6""",220 lbs,JR,Starter,Scores in Post & O-Boards,No LS/RH,True
Alma Scots,,#1,Elijah Sykes,G,"5'10""",165 lbs,FR,Bench,Shooter/Driver,High early hand on closeouts,True
Alma Scots,,#10,Joss Bradley,G,"6'1""",180 lbs,SO,Bench,RH Driver,Wall up + No Fouls on Finishes,True
Alma Scots,,#15,Preston Malpass,F,"6'7""",185 lbs,SO,Bench,Shooter,No C & S 3's,True
Alma Scots,,#21,Luciano Guerrazzi,F,"6'7""",210 lbs,JR,Bench,Back up 5 man,No LS/RH,True
Elmhurst Bluejays,,#2,Luke Smith,G,"6'0""",185 lbs,FR,Starter,Primary PG,No Rhythm C & S 3's,True
Elmhurst Bluejays,,#0,Sebastian Blachut,G,"6'2""",185 lbs,SR,Starter,Driver/Shooter,Close out = Driver First,True
Elmhurst Bluejays,,#1,Dominic Trelenberg,F,"6'5""",205 lbs,SR,Starter,LH 3 level scorer,Anticipate quick 1st step (LHD),True
Elmhurst Bluejays,,#40,Aidyn Boone,F,"6'5""",230 lbs,JR,Starter,Shooter (22 of 34 FGA from 3),Expect pops after screens on & off ball,True
Elmhurst Bluejays,,#15,Vinnie Adjahoungbeta,F,"6'5""",200 lbs,SO,Starter,"3 level scorer (Shoots, drives, & posts)",No C & S 3's,True
Elmhurst Bluejays,,#21,Talen Pearson,G,"6'5""",180 lbs,SO,Bench,Shoot 1st,High hand on closeout,True
Elmhurst Bluejays,,#11,Jack Cherry,G,"6'2""",190 lbs,SO,Bench,Shooter,No C & S 3's,True
Elmhurst Bluejays,,#4,EJ Marshall,G,"6'0""",180 lbs,JR,Bench,Driver/shooter,Anticipate RHD,True
Elmhurst Bluejays,,#22,Jeffrey Williams,F,"6'4""",210 lbs,SO,Bench,Shooter,No C & S 3's!!,True
Coe Kohawks,,#5,Cooper Nailor,G,"6'1""",,SR,Starter,Main creator & scorer,No C & S 3's,True
Coe Kohawks,,#4,Deuce Walters,G,"5'11""",,JR,Starter,Go to=Mid range pull up,Anticipate step back mid-range pull up,True
Coe Kohawks,,#12,C. Reece Breitenbach,G,"5'11""",,JR,Starter,Shooter/Driver,No C & S 3's,True
Coe Kohawks,,#22,Jackson Bowman,F,"6'7""",,SR,Starter,Slasher/finisher - Attacks to score (6 asts),Anticipate RHD,True
Coe Kohawks,,#34,Kanyon Bryte,F,"6'8""",,SO,Starter,LS/RH in post,NLS,True
Coe Kohawks,,#2,Ryan Dolphin,G,"5'9""",,SR,Bench,Shooter,No C & S 3's,True
Coe Kohawks,,#20,Aaron Foote,F,"6'6""",,SR,Bench,Scores on back cuts & Slips,No Back cuts,True
Coe Kohawks,,#35,Jackson Newell,F,"6'9""",,JR,Bench,Shoots mid range & 3's,Anticipate C & S (mid range and 3's),True
UW-Oshkosh Titans,,#2,Joey LaChapell,G,"6'0""",175 lbs,SO,Starter,Shooter/Driver (seeks contact on jump shots),No transition 3's (locate early),True
UW-Oshkosh Titans,,#10,Nate Nazos,G,"6'0""",175 lbs,SO,Starter,Shooter & ball mover,No C & S 3's,True
UW-Oshkosh Titans,,#21,Carter Thomas,G,"6'5""",190 lbs,SR,Starter,Shooter/Driver,No C & S 3's,True
UW-Oshkosh Titans,,#4,Michael Metcalf-Grassman,G,"6'5""",200 lbs,JR,Starter,Driver (Prefers RHD),No RHD,True
UW-Oshkosh Titans,,#0,Brandon Beck,F,"6'7""",195 lbs,SO,Starter,High level shooter and driver,Early high hand,True
UW-Oshkosh Titans,,#13,Logan Rindfleisch,G,"6'5""",190 lbs,SO,Bench,Driver/shooter,No rhythm 3's,True
UW-Oshkosh Titans,,#1,Aiden Hawkinson,G,"6'3""",180 lbs,FR,Bench,Shooter,No C & S 3's,True
UW-Oshkosh Titans,,#23,Oskar Kangas,F,"6'5""",205 lbs,FR,Bench,Shooter,Early high hand on closeouts,True
UW-Oshkosh Titans,,#12,Jonah Rindfleisch,F,"6'8""",215 lbs,SR,Bench,Rebounds hard!,BOX OUT!!!,True
UW-Oshkosh Titans,,#5,Matt Imig,G,"6'1""",180 lbs,SR,Bench,Shooter (C&S & off dribble),No C & S 3's,True
