opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Ripon Red Hawks,"Fri, Nov 7",UW-Whitewater Warhawks,Home,L,58.0,76.0,-18.0
Ripon Red Hawks,"Mon, Nov 10",Green Bay Phoenix EXH,Away,L,63.0,83.0,-20.0
Ripon Red Hawks,"Wed, Nov 12",St. Norbert Green Knights,Away,L,43.0,67.0,-24.0
Ripon Red Hawks,"Tue, Nov 18",Lakeland Muskies,Home,L,73.0,77.0,-4.0
Ripon Red Hawks,"Fri, Nov 21",Millikin Big Blue,Neutral Court,L,58.0,73.0,-15.0
Ripon Red Hawks,"Sat, Nov 22",Bethany Lutheran Vikings,Neutral Court,L,55.0,73.0,-18.0
Ripon Red Hawks,"Wed, Nov 26",Carthage Firebirds,Home,L,56.0,84.0,-28.0
St. Thomas (TX) Celts,"Sat, Nov 8",Biblical Studies (TX) Ambassadors,Home,W,89.0,55.0,34.0
St. Thomas (TX) Celts,"Tue, Nov 11",East Texas Baptist Tigers,Away,W,72.0,64.0,8.0
St. Thomas (TX) Celts,"Fri, Nov 14",UW-Whitewater Warhawks,Neutral Court,W,81.0,73.0,8.0
St. Thomas (TX) Celts,"Sat, Nov 15",Washington-St. Louis Bears,Away,L,53.0,54.0,-1.0
St. Thomas (TX) Celts,"Wed, Nov 19",UTEP Miners EXH,Away,L,83.0,84.0,-1.0
St. Thomas (TX) Celts,"Tue, Nov 25",Hardin-Simmons Cowboys,Home,W,80.0,74.0,6.0
St. Thomas (TX) Celts,"Sat, Nov 29",Mary Hardin-Baylor Crusaders,Home,W,77.0,71.0,6.0
Eureka Red Devils,"Fri, Nov 7",Dominican (IL) Stars,Away,W,90.0,85.0,5.0
Eureka Red Devils,"Tue, Nov 11",Monmouth (IL) Fighting Scots,Home,L,72.0,90.0,-18.0
Eureka Red Devils,"Fri, Nov 14",Washington-St. Louis Bears,Away,L,53.0,100.0,-47.0
Eureka Red Devils,"Sat, Nov 15",UW-Whitewater Warhawks,Neutral Court,L,73.0,116.0,-43.0
Eureka Red Devils,"Tue, Nov 18",Knox Prairie Fire,Away,L,69.0,72.0,-3.0
Eureka Red Devils,"Thu, Nov 20",Beloit Buccaneers,Away,L,63.0,77.0,-14.0
Eureka Red Devils,"Sat, Nov 22",Monmouth (IL) Fighting Scots,Away,L,61.0,86.0,-25.0
Eureka Red Devils,"Tue, Nov 25",Blackburn Beavers,Home,W,80.0,77.0,3.0
Aurora Spartans,"Fri, Nov 7",Gustavus Adolphus Golden Gusties,Home,L,79.0,84.0,-5.0
Aurora Spartans,"Sat, Nov 8",Bethany Lutheran Vikings,Home,W,84.0,79.0,5.0
Aurora Spartans,"Wed, Nov 12",North Central (IL) Cardinals,Away,W,65.0,55.0,10.0
Aurora Spartans,"Sat, Nov 15",Benedictine (IL) Eagles,Away,L,76.0,87.0,-11.0
Aurora Spartans,"Wed, Nov 19",UW-Whitewater Warhawks,Away,L,73.0,82.0,-9.0
Aurora Spartans,"Tue, Nov 25",Asbury Eagles,Away,W,83.0,80.0,3.0
Simpson Storm,"Fri, Nov 7",Benedictine (IL) Eagles,Neutral Court,W,75.0,68.0,7.0
Simpson Storm,"Sat, Nov 8",Illinois College Blueboys,Away,L,71.0,83.0,-12.0
Simpson Storm,"Mon, Nov 10",Drake Bulldogs EXH,Away,L,51.0,89.0,-38.0
Simpson Storm,"Fri, Nov 14",Augsburg Auggies,Away,L,69.0,80.0,-11.0
Simpson Storm,"Sat, Nov 15",Saint John's (MN) Johnnies,Away,L,66.0,85.0,-19.0
Simpson Storm,"Fri, Nov 21",Dominican (IL) Stars,Home,W,82.0,72.0,10.0
Simpson Storm,"Sat, Nov 22",UW-Eau Claire Blugolds,Home,L,68.0,87.0,-19.0
Simpson Storm,"Tue, Nov 25",UW-Whitewater Warhawks,Away,L,78.0,100.0,-22.0
Elmhurst Bluejays,"Wed, Nov 12",Hope Flying Dutchmen,Home,W,71.0,66.0,5.0
Elmhurst Bluejays,"Sat, Nov 15",Wisconsin Lutheran Warriors,Home,W,75.0,50.0,25.0
Elmhurst Bluejays,"Wed, Nov 19",MSOE Raiders,Home,W,71.0,67.0,4.0
Elmhurst Bluejays,"Sat, Nov 22",Illinois College Blueboys,Away,W,73.0,72.0,1.0
Elmhurst Bluejays,"Tue, Nov 25",DePauw Tigers,Away,W,75.0,71.0,4.0
