opponent,team_ppg,opp_ppg_allowed
St. Thomas (TX) Celts,80.5,59.5
Eureka Red Devils,72.0,97.8
Aurora Spartans,75.4,77.4
Simpson Storm,72.7,82.1
Ripon Red Hawks,67.1,68.1
Lawrence Vikings,75.1,73.6
Carroll (WI) Pioneers,78.1,77.3
Alma Scots,68.2,81.4
Elmhurst Bluejays,72.8,69.0
Coe Kohawks,71.7,70.2
UW-River Falls Falcons,70.1,73.1
UW-La Crosse Eagles,79.5,72.4
UW-Stout Blue Devils,69.8,70.0
UW-Platteville Pioneers,71.6,70.7
UW-Eau Claire Blugolds,73.7,68.7
UW-Oshkosh Titans,84.27,75.91
UW-Stevens Point Pointers,79.8,70.2
Loras Duhawks,80.6,73.3
Washington-St. Louis Bears,81.0,72.1
