opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,started,MIN
Alma Scots,2025-12-20,Alma Scots,Donovan Collins,17,5,10,5,9,2,3,0,0,1,0,0,0,0,0,50.0,55.6,66.7,True,31.7
Alma Scots,2025-12-20,Alma Scots,Elijah Sykes,7,3,9,1,4,0,0,0,0,2,1,0,1,0,0,33.3,25.0,,False,15.3
Alma Scots,2025-12-20,Alma Scots,Josh Elliott,9,3,7,2,6,1,1,0,3,0,1,0,3,1,3,42.9,33.3,100.0,True,31.3
Alma Scots,2025-12-20,Alma Scots,Joss Bradley,3,0,2,0,0,3,4,1,1,4,0,1,0,2,2,0.0,,75.0,False,18.9
Alma Scots,2025-12-20,Alma Scots,Korbin Heitzman,14,4,10,0,1,6,8,5,11,1,0,1,6,4,16,40.0,0.0,75.0,True,32.9
Alma Scots,2025-12-20,Alma Scots,Logan St. Martin,2,1,4,0,1,0,0,0,3,0,0,1,0,3,3,25.0,0.0,,True,19.7
Alma Scots,2025-12-20,Alma Scots,Luciano Guerrazzi,5,2,2,1,1,0,0,1,1,1,1,1,5,1,2,100.0,100.0,,False,15.3
Alma Scots,2025-12-20,Alma Scots,Preston Malpass,2,1,3,0,2,0,1,1,3,0,1,0,2,2,4,33.3,0.0,0.0,False,12.8
Alma Scots,2025-12-20,Alma Scots,Raine Rodich,2,1,2,0,0,0,0,0,0,3,1,0,5,1,0,50.0,,,True,20.8
Alma Scots,2025-12-20,UW-Whitewater,Agape Keyes Jr.,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,100.0,100.0,,False,3.6
Alma Scots,2025-12-20,UW-Whitewater,Brock Marino,7,1,6,0,0,5,6,1,1,1,4,0,1,3,2,16.7,,83.3,True,18.2
Alma Scots,2025-12-20,UW-Whitewater,Collin Madson,13,4,7,0,0,5,6,1,5,3,2,0,0,2,6,57.1,,83.3,True,26.5
Alma Scots,2025-12-20,UW-Whitewater,Darius Chestnut,10,4,4,2,2,0,0,0,0,0,0,0,0,2,0,100.0,100.0,,False,13.7
Alma Scots,2025-12-20,UW-Whitewater,Isaac Verges,9,4,7,1,2,0,0,0,2,1,0,0,1,3,2,57.1,50.0,,True,12.9
Alma Scots,2025-12-20,UW-Whitewater,Isaiah Robinson,0,0,1,0,1,0,0,1,0,2,1,0,0,0,1,0.0,0.0,,False,4.1
Alma Scots,2025-12-20,UW-Whitewater,Jake Quast,11,5,7,1,2,0,1,0,3,0,3,0,2,3,3,71.4,50.0,0.0,False,13.0
Alma Scots,2025-12-20,UW-Whitewater,Joey Berezowitz,16,6,8,4,5,0,0,2,0,0,2,0,0,0,2,75.0,80.0,,False,20.5
Alma Scots,2025-12-20,UW-Whitewater,Kelton McEwen,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0.0,0.0,,False,9.9
Alma Scots,2025-12-20,UW-Whitewater,Luke Bara,3,1,5,1,2,0,0,0,1,0,0,0,0,0,1,20.0,50.0,,True,25.5
Alma Scots,2025-12-20,UW-Whitewater,Mauryon Turner,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,False,3.2
Alma Scots,2025-12-20,UW-Whitewater,Rashad Rogers,2,1,2,0,0,0,0,0,2,0,0,1,2,0,2,50.0,,,False,6.3
Alma Scots,2025-12-20,UW-Whitewater,Richie Warren,5,1,6,0,1,3,3,2,2,2,3,1,1,2,4,16.7,0.0,100.0,True,23.1
Alma Scots,2025-12-20,UW-Whitewater,Trent Grunewald,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0.0,,,False,3.3
Alma Scots,2025-12-20,UW-Whitewater,Tyshawn Teague-Johnson,9,4,7,1,1,0,1,1,2,2,0,0,2,1,3,57.1,100.0,0.0,False,15.0
Aurora Spartans,2025-11-19,Aurora Spartans,Bryden Gryzmala,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,False,3.2
Aurora Spartans,2025-11-19,Aurora Spartans,Cullen Rauls,9,3,5,1,2,2,4,1,3,1,1,0,4,5,4,60.0,50.0,50.0,True,25.8
Aurora Spartans,2025-11-19,Aurora Spartans,Devon Richardson,11,5,8,0,0,1,3,2,6,0,1,0,1,4,8,62.5,,33.3,True,22.5
Aurora Spartans,2025-11-19,Aurora Spartans,Gevon Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,False,5.2
Aurora Spartans,2025-11-19,Aurora Spartans,Isaiah Thompson,3,1,1,1,1,0,0,0,0,0,1,0,0,1,0,100.0,100.0,,False,8.0
Aurora Spartans,2025-11-19,Aurora Spartans,Jeffery Hillmer,8,3,8,1,1,1,2,2,2,0,0,0,0,2,4,37.5,100.0,50.0,True,29.3
Aurora Spartans,2025-11-19,Aurora Spartans,Juan Madrigal,10,2,7,2,4,4,6,0,3,2,0,0,3,3,3,28.6,50.0,66.7,True,27.7
Aurora Spartans,2025-11-19,Aurora Spartans,Larry Carthan,2,1,2,0,0,0,0,1,2,0,0,3,2,5,3,50.0,,,False,11.6
Aurora Spartans,2025-11-19,Aurora Spartans,Mekhi Doby,20,7,12,0,1,6,10,2,2,7,0,1,3,1,4,58.3,0.0,60.0,True,33.8
Aurora Spartans,2025-11-19,Aurora Spartans,Robert Hutson,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,100.0,,,False,6.6
Aurora Spartans,2025-11-19,Aurora Spartans,Zerrick Johnson,8,2,5,0,0,4,4,0,3,0,0,0,1,2,3,40.0,,100.0,False,21.5
Aurora Spartans,2025-11-19,UW-Whitewater,Brock Marino,8,3,6,0,1,2,9,4,3,2,0,1,2,1,7,50.0,0.0,22.2,True,27.7
Aurora Spartans,2025-11-19,UW-Whitewater,Collin Madson,24,7,10,3,4,7,8,2,4,1,2,0,0,4,6,70.0,75.0,87.5,True,34.5
Aurora Spartans,2025-11-19,UW-Whitewater,Darius Chestnut,0,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0.0,0.0,,False,5.7
Aurora Spartans,2025-11-19,UW-Whitewater,Isaac Verges,9,3,4,0,0,3,4,1,2,1,2,0,0,4,3,75.0,,75.0,True,17.2
Aurora Spartans,2025-11-19,UW-Whitewater,JR Lukenbill,4,1,2,0,0,2,2,1,4,1,1,0,0,3,5,50.0,,100.0,True,18.1
Aurora Spartans,2025-11-19,UW-Whitewater,Jake Quast,6,2,3,0,0,2,3,0,0,0,0,0,0,1,0,66.7,,66.7,False,8.2
Aurora Spartans,2025-11-19,UW-Whitewater,Joey Berezowitz,5,1,4,1,3,2,2,0,2,4,2,0,1,2,2,25.0,33.3,100.0,False,20.2
Aurora Spartans,2025-11-19,UW-Whitewater,Kelton McEwen,6,2,4,2,4,0,0,0,1,0,0,0,1,1,1,50.0,50.0,,False,11.5
Aurora Spartans,2025-11-19,UW-Whitewater,Luke Bara,11,3,11,3,6,2,2,0,1,1,0,0,1,4,1,27.3,50.0,100.0,True,23.5
Aurora Spartans,2025-11-19,UW-Whitewater,Rashad Rogers,4,1,2,0,1,2,2,1,1,1,0,0,1,3,2,50.0,0.0,100.0,False,10.8
Aurora Spartans,2025-11-19,UW-Whitewater,Richie Warren,5,2,7,0,2,1,2,0,2,1,0,0,1,1,2,28.6,0.0,50.0,False,17.8
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Cai Joseph,2,1,1,0,0,0,0,0,0,0,0,0,1,2,0,100.0,,,False,6.8
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Dennis Estepp,7,1,10,0,5,5,6,0,2,1,2,0,2,1,2,10.0,0.0,83.3,False,25.7
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Evan Bland,0,0,1,0,0,0,0,0,0,0,0,1,1,5,0,0.0,,,True,14.5
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Greg Smith,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,False,7.2
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Jacob Naber,13,3,6,0,0,7,7,2,4,1,1,0,1,5,6,50.0,,100.0,True,26.8
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Jimmy Tarjan,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,,,,False,14.5
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Lamar Smith,22,8,9,0,0,6,10,3,8,2,0,1,7,1,11,88.9,,60.0,True,33.8
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Michael McNabb,13,5,11,0,2,3,4,1,3,1,2,0,3,3,4,45.5,0.0,75.0,True,32.7
Carroll (WI) Pioneers,2025-12-13,Carroll (WI) Pioneers,Peyton McKenna,3,1,6,1,6,0,0,0,4,0,3,1,4,2,4,16.7,16.7,,True,36.0
Carroll (WI) Pioneers,2025-12-13,UW-Whitewater,Brock Marino,8,3,10,0,1,2,3,1,5,0,2,2,1,3,6,30.0,0.0,66.7,True,25.7
Carroll (WI) Pioneers,2025-12-13,UW-Whitewater,Collin Madson,22,9,14,1,3,3,4,0,0,0,1,1,1,4,0,64.3,33.3,75.0,True,27.4
Carroll (WI) Pioneers,2025-12-13,UW-Whitewater,Darius Chestnut,7,3,6,1,2,0,0,1,2,1,2,0,0,3,3,50.0,50.0,,False,15.8
