scouted_opponent,side,team,player,tier,tier_order,games,mpg,recent_count,missed_recent,starts_recent,recent_n,starter_basis,last_game_min,last_game_rank,tier_note
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Cal Krohn,Starter,0,13,31.0,3,0,3,3,started 2+ of the last 3 game(s),32.9,2.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Carter Combs,Starter,0,13,30.3,3,0,3,3,started 2+ of the last 3 game(s),27.2,4.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Drew Daoust,Bench — limited minutes,2,8,6.2,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Grant Manz,Bench — limited minutes,2,13,7.5,3,0,0,3,started 2+ of the last 3 game(s),2.3,11.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Josh Bocher,Bench — rotation,1,6,17.9,3,0,0,3,started 2+ of the last 3 game(s),30.8,3.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Josiah Butler,Starter,0,13,32.8,3,0,3,3,started 2+ of the last 3 game(s),19.7,5.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Logan Baumgartner,Starter,0,13,20.8,3,0,3,3,started 2+ of the last 3 game(s),12.4,7.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Max Raimer,Bench — rotation,1,13,13.1,3,0,0,3,started 2+ of the last 3 game(s),18.3,6.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Seth Miron,Starter,0,13,32.9,3,0,3,3,started 2+ of the last 3 game(s),35.8,1.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Shane Tarjan,Bench — limited minutes,2,8,3.5,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Isaiah Moore,Bench — rotation,1,10,18.5,3,0,0,3,started 2+ of the last 3 game(s),4.2,9.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Tyler Orr,Bench — limited minutes,2,9,5.6,3,0,0,3,started 2+ of the last 3 game(s),11.2,8.0,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Austin Schaumburg,Bench — limited minutes,2,3,1.5,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Brandon Tilley,Bench — limited minutes,2,1,1.2,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Dylan Taylor,Bench — limited minutes,2,2,1.4,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,Emmitt Huhn,Bench — limited minutes,2,1,1.2,1,1,0,3,started 2+ of the last 3 game(s),,,
UW-Stevens Point Pointers,Opponent,UW-Stevens Point Pointers,James Jacobs,Bench — limited minutes,2,5,4.0,2,0,0,3,started 2+ of the last 3 game(s),4.0,10.0,
