side,scouted_opponent,level,name,uses,games,poss_with_points,points,ppp,team_ppp,fgm,fga,fg_pct,fg3m,fg3a,turnovers,fouls_drawn,top_player,top_player_uses,series,top_action,top_location,top_location_uses,situation,personnel_grouping_mode,shot_clock_mode,game_situation_mode,defense_type_mode,example_titles,game_codes,possession_side
UWW,Aurora Spartans,Play call,5 Out,12,2,11,10.0,0.91,1.12,2,8,25.0,2,3,2,2,Jr Lukenbill,3,5 Out,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out: M2M: Drop+Press | 5 Out- M2M: Drop+Press | 5 Out- M2M- Press,WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,5 Out Ball Screen,4,3,4,4.0,1.0,1.12,2,4,50.0,0,0,0,0,Jake Quast,2,5 Out,Ball Screen,Wing,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out- BS : M2M Press | 5 OUT-BS: M2M SWITCH | 5 OUT- CUT- BS: M2M D SOFT HEDGE,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,5 Out Curl,1,1,1,3.0,3.0,1.12,1,1,100.0,1,1,0,0,Isaac Verges,1,5 Out,Curl,,0,Half court,3G-2W,Early clock (0-9 sec used),,Man-to-Man,5 OUT-PASS-CURL- BS: M2M D- JAM,EC@WWW,Offense
UWW,Aurora Spartans,Play call,5 Out DHO,4,2,4,5.0,1.25,1.12,1,2,50.0,1,1,1,1,Luke Bara,1,5 Out,DHO,Right Side,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT-DHO : M2M- SOFT HEDGE | 5 OUT- DHO- PASS-FLAIR- RS BS: M2M D SOFT HEDGE | 5 OUT- DHO-PASS 5- DS- M2M D,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Play call,5 Out Down Screen,9,3,8,8.0,1.0,1.12,3,6,50.0,1,3,1,2,Jake Quast,2,5 Out,Down Screen,Wing,1,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 OUT- DS: M2M PRES | 5 OUT- DS- M2M | 5 OUT- PASS- DS- CURL: M2M SOFT HEDGE,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,5 Out Flare,5,2,5,6.0,1.2,1.12,1,2,50.0,0,1,1,1,Collin Madson,1,5 Out,Flare,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,5 Out Flair: M2M | 5 Out-flairs- M2M | 5 OUT FLAIR; M2M SWITCH,EC@WWW WWW@STC,Offense
UWW,Aurora Spartans,Play call,5 Out Ricky,1,1,1,0.0,0.0,1.12,0,0,,0,0,1,0,Austin Ambrose,1,5 Out,Ricky,,0,Half court,3G-2W,Organized offense (10-19 sec used),,Man-to-Man,5 OUT BS- RICKY- M2M D SOFT HEDGE,WWW@RIP,Offense
UWW,Aurora Spartans,Play call,5 Out Zoom,2,1,0,0.0,,1.12,0,0,,0,0,1,1,Trent Grunewald,1,5 Out,Zoom,,0,Half court,,,,Man-to-Man,5 OUT-DHO-ZOOM: M2M D | 5 OUT- PASS 5 -ZOOM-: M2M D - DROP,EC@WWW,Offense
UWW,Aurora Spartans,Play call,BLOB Line,11,3,11,10.0,0.91,1.12,4,8,50.0,2,2,2,1,Brock Marino,3,BLOB,,,0,BLOB,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,BLOB-LINE: 2-3 ZONE | Blob: L : M2M | BLOB-LINE- BOT: M2M D,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,BLOB Line Curl,9,3,9,8.0,0.89,1.12,3,6,50.0,2,5,3,0,Luke Bara,3,BLOB,Curl,,0,BLOB,3G-2W,Organized offense (10-19 sec used),Leading by 10+,Man-to-Man,Blob-Line-Curl- M2M | Blob- Line- Curl : M2m | BLOB-LINE- CURL: M2M,EC@WWW WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,BLOB Line Reject,2,2,2,0.0,0.0,1.12,0,1,0.0,0,1,1,0,Jr Lukenbill,1,BLOB,Reject,,0,BLOB,3G-2W,Early clock (0-9 sec used),,Man-to-Man,Blob-Line- reject: M2M | BLOB-LINE- REJECT-M2M,WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,BLOB Line Ricky,1,1,1,3.0,3.0,1.12,1,1,100.0,1,1,0,0,Luke Bara,1,BLOB,Ricky,,0,BLOB,3G-2W,Organized offense (10-19 sec used),,Man-to-Man,BLOB-LINE-RICKY: M2M,WWW@STC,Offense
UWW,Aurora Spartans,Play call,Ball Screen,3,2,3,0.0,0.0,1.12,0,3,0.0,0,2,0,0,Darius Chestnut,1,Motion / no set,Ball Screen,Right Side,1,Half court,3G-2W,Early clock (0-9 sec used),Trailing by 10+,Man-to-Man,Twins: Press: Hedge BS | FLOW: BS- SWITCH- ICE:M2M PRES | TWINS- BS RS: M2M D- SWITCH,WWW@RIP WWW@STC,Offense
UWW,Aurora Spartans,Play call,Big-on-Big,1,1,1,2.0,2.0,1.12,0,0,,0,0,0,1,Richie Warren,1,Motion / no set,Big-on-Big,,0,Half court,2G-3W,Early clock (0-9 sec used),,Man-to-Man,BIG ON BIG : M2M,WWW@STC,Offense
UWW,Aurora Spartans,Play call,Cheetah,6,2,6,6.0,1.0,1.12,3,5,60.0,0,1,1,0,Luke Bara,2,Cheetah,,,0,Half court,3G-2W,Early clock (0-9 sec used),Leading by 10+,Man-to-Man,OVER-CHEETAH: M2M SWITCH | OVER- CHEETAH: M2M D | ATO-CHEETAH: M2M D,EC@WWW WWW@RIP,Offense
UWW,Aurora Spartans,Play call,Curl,1,1,1,2.0,2.0,1.12,1,1,100.0,0,0,0,0,Brock Marino,1,Motion / no set,Curl,,0,Half court,3G-2W,Organized offense (10-19 sec used),,Man-to-Man,TWINS- CURL: M2M D,WWW@RIP,Offense
