side,scouted_opponent,offense_team,defense_team,opponent,game_date,game_code,period,time_remaining_seconds,player,result,points,points_source,matched_event,matched_by,play_title,play_call,play_series,play_situation,play_formation,play_set,play_actions,primary_action,play_location,finish_spot,featured_player,decode_quality,decode_note,synergy_play_type,synergy_string,on_court_lineup,personnel_grouping_type,game_situation,shot_clock_used,shot_clock_max,shot_clock_situation,defense_type,defense_press,defense_press_formation,defense_coverage,possession_side,defense_faced,defense_played,coverage_faced,coverage_played,press_faced,press_played,press_formation_faced,press_formation_played
UWW,UW-Stevens Point Pointers,St. Thomas (TX) Celts,UW-Whitewater,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1174.0,Corey Thompson,Make 2 Pts,2,play-by-play,True,synergy string,UWW: M2M,,,Half court,,,,,,,,No call,,ISO,1 Corey Thompson > ISO > Top > Drives Right > To Basket > Make 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),Man-to-Man,False,,,Defense,,Man-to-Man,,,,False,,
UWW,UW-Stevens Point Pointers,UW-Whitewater,St. Thomas (TX) Celts,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1162.0,Isaac Verges,Turnover,0,play-by-play,True,synergy string,Twins-: M2M,Twins,Twins,Half court,Twins,,,,,,,Clean,,No Play Type,0 Isaac Verges > No Play Type > Turnover,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),Man-to-Man,False,,,Offense,Man-to-Man,,,,False,,,
UWW,UW-Stevens Point Pointers,St. Thomas (TX) Celts,UW-Whitewater,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1156.0,Nathan Kongolo,Miss 3 Pts,0,play-by-play,True,synergy string,Tran,Transition (unspecified),Transition,Transition,,,,,,,,Partial,,Transition,0 Nathan Kongolo > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,6.0,30,Early clock (0-9 sec used),,False,,,Defense,,,,,,False,,
UWW,UW-Stevens Point Pointers,UW-Whitewater,St. Thomas (TX) Celts,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1149.0,Isaac Verges,Turnover,0,play-by-play,True,synergy string,Tran,Transition (unspecified),Transition,Transition,,,,,,,,Partial,,No Play Type,0 Isaac Verges > No Play Type > Turnover,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,5.0,30,Early clock (0-9 sec used),,False,,,Offense,,,,,False,,,
UWW,UW-Stevens Point Pointers,St. Thomas (TX) Celts,UW-Whitewater,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1145.0,Angel Johnson,Make 2 Pts,2,play-by-play,True,synergy string,Tran,Transition (unspecified),Transition,Transition,,,,,,,,Partial,,Transition,10 Angel Johnson > Transition > First Middle > To Basket > Make 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,4.0,30,Early clock (0-9 sec used),,False,,,Defense,,,,,,False,,
UWW,UW-Stevens Point Pointers,UW-Whitewater,St. Thomas (TX) Celts,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1114.0,Isaac Verges,Miss 2 Pts,0,play-by-play,True,synergy string,Flow: R + J,Flow,Flow,Half court,Flow,,,,,,,Partial,unrecognized: r j,Spot-Up,0 Isaac Verges > Spot-Up > Drives Left > To Basket > Miss 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),,False,,,Offense,,,,,False,,,
UWW,UW-Stevens Point Pointers,St. Thomas (TX) Celts,UW-Whitewater,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1102.0,Corey Thompson,Miss 2 Pts,0,play-by-play,True,synergy string,UWW:M2M,,,Half court,,,,,,,,No call,,P&R Ball Handler,1 Corey Thompson > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,9.0,30,Early clock (0-9 sec used),Man-to-Man,False,,,Defense,,Man-to-Man,,,,False,,
UWW,UW-Stevens Point Pointers,UW-Whitewater,St. Thomas (TX) Celts,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1084.0,Collin Madson,Make 2 Pts,2,play-by-play,True,synergy string,5 Out Flair: M2M,5 Out Flare,5 Out,Half court,5 Out,,Flare,Flare,,,,Clean,,Cut,15 Collin Madson > Cut > Basket > Make 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),Man-to-Man,False,,,Offense,Man-to-Man,,,,False,,,
UWW,UW-Stevens Point Pointers,St. Thomas (TX) Celts,UW-Whitewater,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1063.0,Angel Johnson,Make 2 Pts,2,play-by-play,True,synergy string,UWW:M2M,,,Half court,,,,,,,,No call,,P&R Ball Handler,10 Angel Johnson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),Man-to-Man,False,,,Defense,,Man-to-Man,,,,False,,
UWW,UW-Stevens Point Pointers,UW-Whitewater,St. Thomas (TX) Celts,St. Thomas (TX) Celts,2025-11-14,WWW@STC,H1,1039.0,Jr Lukenbill,Make 3 Pts,3,play-by-play,True,synergy string,Flow: M2M Press,Flow,Flow,Half court,Flow,,,,,,,Clean,,Spot-Up,11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",3G-2W,,0.0,30,Early clock (0-9 sec used),Man-to-Man,True,,,Offense,Man-to-Man,,,,True,,,
