opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report,height_inches,position_group,notes_tags,keys_tags,notes_tags_display,keys_tags_display,MIN,FG%,3PM-A,3P%,FTM-A,FT%,REB,AST,TO,STL,BLK,PTS
St. Thomas (TX) Celts,2025-11-14,#10,Angel Johnson,G,"6'2""",,SR,Starter,"PG, looking to create most touches",Anticipate drive after closeout,True,74,Guard,{'playmaker'},"{'anticipate_move', 'deny_catch_and_shoot'}",playmaker,"anticipate_move, deny_catch_and_shoot",23.5,41.2%,0-2,0.0%,7-10,70.0%,3.0,3.5,0.5,2.0,0.0,10.5
St. Thomas (TX) Celts,2025-11-14,#1,Corey Thompson,G,"6'2""",,JR,Starter,LH Shooter/Driver (Main shooting threat),Anticipate LHD & finish attempts,True,74,Guard,"{'slasher_driver', 'three_point_shooter'}",{'anticipate_move'},"slasher_driver, three_point_shooter",anticipate_move,22.8,40.9%,4-10,40.0%,8-11,72.7%,2.0,3.0,2.0,5.5,0.0,15.0
St. Thomas (TX) Celts,2025-11-14,#0,Nathan Kongolo,G/F,"6'4""",,SO,Starter,RH Driver/slasher,Anticipate RHD,True,76,Wing,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,23.0,40.0%,2-4,50.0%,2-4,50.0%,3.0,1.5,0.0,2.0,0.0,6.0
St. Thomas (TX) Celts,2025-11-14,#12,Nicholas Buffalo,F,"6'6""",,JR,Starter,Scores from dump offs on drives & O-Boards,Box out!!!,True,78,Forward/Post,"{'slasher_driver', 'rebounder'}",{'box_out_priority'},"rebounder, slasher_driver",box_out_priority,22.8,60.0%,0-0,-,5-8,62.5%,4.0,0.0,2.0,1.5,0.0,8.5
St. Thomas (TX) Celts,2025-11-14,#25,Charles Gitonga,F,"6'8""",,JR,Starter,Driver/slasher,Anticipate RHD & finish attempts,True,80,Forward/Post,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,20.7,66.7%,0-0,-,2-4,50.0%,6.0,1.5,0.0,1.0,0.0,5.0
St. Thomas (TX) Celts,2025-11-14,#33,Garret Rodgers,F,"6'6""",,FR,Bench,Scores in post and from Offensive Boards,Box Out!!!,True,78,Forward/Post,"{'post_scorer', 'rebounder'}",{'box_out_priority'},"post_scorer, rebounder",box_out_priority,15.6,72.7%,1-2,50.0%,6-6,100.0%,4.0,0.5,1.5,0.0,0.0,11.5
St. Thomas (TX) Celts,2025-11-14,#5,Reyce Allen,F,"6'5""",,SR,Bench,Driver 1st forward,Anticipate RHD & finish attempt,True,77,Forward/Post,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,15.8,50.0%,0-0,-,2-7,28.6%,3.5,1.5,0.5,1.0,0.0,7.0
St. Thomas (TX) Celts,2025-11-14,#3,Brennan Webb,G,"6'1""",,FR,Bench,LH Shooter,Locate in transition,True,73,Guard,{'three_point_shooter'},{'transition_defense'},three_point_shooter,transition_defense,11.8,30.0%,2-7,28.6%,1-2,50.0%,2.0,0.0,0.5,0.0,0.0,4.5
St. Thomas (TX) Celts,2025-11-14,#2,Omar Gayle,G,"5'10""",,SO,Bench,Quick play making guard.,Anticipate quick 1st step,True,70,Guard,set(),{'anticipate_move'},,anticipate_move,15.4,36.4%,0-3,0.0%,0-0,-,1.0,2.5,0.5,0.0,0.0,4.0
Eureka Red Devils,2025-11-15,#12,Jaxson Provost,G,"5'10""",170 lbs,JR,Starter,"Off Guard Looking to Attack (18 FGA, 8 FTA)",Keep in Front w/ Contest,True,70,Guard,{'slasher_driver'},{'keep_in_front'},slasher_driver,keep_in_front,25.4,51.8%,6-17,35.3%,14-19,73.7%,2.2,2.2,2.0,1.5,0.0,19.5
Eureka Red Devils,2025-11-15,#5,Micah Bruer,G,"6'0""",,JR,Starter,PG - Similar Style to #3 from Ripon,Pressure and Speed Up,True,72,Guard,set(),{'pressure_disrupt'},,pressure_disrupt,22.2,37.9%,4-14,28.6%,6-7,85.7%,3.5,3.0,3.0,0.8,0.0,8.0
Eureka Red Devils,2025-11-15,#4,Ben Carter,G/F,"6'4""",185 lbs,SR,Starter,Rebounding / Defending Wing,Active Hands on Perimeter,True,76,Wing,{'rebounder'},{'keep_in_front'},rebounder,keep_in_front,27.2,41.2%,4-11,36.4%,6-8,75.0%,6.8,2.5,3.2,1.5,0.2,6.0
Eureka Red Devils,2025-11-15,#30,Jonah Lauff,F,"6'5""",,SR,Starter,Shooter!,No C&S 3's,True,77,Forward/Post,{'three_point_shooter'},{'deny_catch_and_shoot'},three_point_shooter,deny_catch_and_shoot,19.0,40.7%,5-13,38.5%,4-4,100.0%,3.5,0.0,0.5,0.0,0.0,7.8
Eureka Red Devils,2025-11-15,#33,Andrew Coker,F,"6'5""",170 lbs,SR,Starter,Perimeter Big,Keep in Front w/ Contest,True,77,Forward/Post,set(),{'keep_in_front'},,keep_in_front,19.0,42.9%,3-9,33.3%,2-2,100.0%,4.5,1.8,1.2,0.5,0.0,7.2
Eureka Red Devils,2025-11-15,#7,Damuzha Moore,F,"6'3""",,SR,Bench,Back Up Wing,Keep in Front w/ Contest,True,75,Forward/Post,set(),{'keep_in_front'},,keep_in_front,11.7,33.3%,2-5,40.0%,0-2,0.0%,0.5,0.2,0.5,0.2,0.5,2.5
Eureka Red Devils,2025-11-15,#6,Jacob Gonzalez,G,"6'0""",,SR,Bench,Back Up PG,Be a Helper,True,72,Guard,set(),{'help_defense'},,help_defense,15.7,37.5%,0-1,0.0%,1-5,20.0%,1.0,1.2,1.0,0.8,0.0,4.8
Aurora Spartans,2025-11-19,#11,Mekhi Doby,G,"6'3""",,JR,Starter,Heavy RHD,Anticipate Crossover + RHD,True,75,Guard,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,31.7,44.0%,0-4,0.0%,13-23,56.5%,3.5,8,5,3,4,17.5
Aurora Spartans,2025-11-19,#13,Zerrick Johnson,G,"6'2""",,FR,Starter,Driver/shooter,No fouls!,True,74,Guard,"{'slasher_driver', 'three_point_shooter'}",{'physical_discipline'},"slasher_driver, three_point_shooter",physical_discipline,21.7,48.5%,2-5,40.0%,20-22,90.9%,3.4,3,10,3,0,10.8
Aurora Spartans,2025-11-19,#3,Jeffery Hillmer,G,"6'4""",,JR,Starter,Driver First,Box Out!!!,True,76,Guard,{'slasher_driver'},{'box_out_priority'},slasher_driver,box_out_priority,30.7,42.4%,3-6,50.0%,2-3,66.7%,4.6,6,4,4,3,6.6
Aurora Spartans,2025-11-19,#2,Juan Madrigal,G,"6'4""",,JR,Starter,Shooter/Driver,High Early hand on closeouts!,True,76,Guard,"{'slasher_driver', 'three_point_shooter'}",{'deny_catch_and_shoot'},"slasher_driver, three_point_shooter",deny_catch_and_shoot,29.7,43.5%,8-19,42.1%,15-19,78.9%,4.2,9,12,5,2,12.6
Aurora Spartans,2025-11-19,#22,Devon Richardson,C,"6'8""",,JR,Starter,"Prefers LS/RH, capable with RS/LH",Box out!!!,True,80,Forward/Post,{'post_scorer'},{'box_out_priority'},post_scorer,box_out_priority,25.4,64.1%,0-0,-,15-28,53.6%,6.6,2,5,2,6,13.0
Aurora Spartans,2025-11-19,#24,Gevon Grant,G,"6'0""",,JR,Bench,RHD/Shooter (PG),Stop initial push in transition,True,72,Guard,"{'slasher_driver', 'three_point_shooter'}",{'transition_defense'},"slasher_driver, three_point_shooter",transition_defense,20.2,38.7%,3-13,23.1%,16-28,57.1%,3.0,8,9,6,0,8.6
Aurora Spartans,2025-11-19,#5,Larry Carthan,F,"6'7""",,JR,Bench,Back up 5 man,NLS,True,79,Forward/Post,set(),{'post_defense'},,post_defense,12.9,38.5%,0-0,-,8-12,66.7%,3.8,2,5,1,5,3.6
Aurora Spartans,2025-11-19,#12,Robert Hutson,G,"6'3""",,SO,Bench,Capable shooter & driver,Anticipate LHD,True,75,Guard,"{'slasher_driver', 'three_point_shooter'}",{'anticipate_move'},"slasher_driver, three_point_shooter",anticipate_move,11.7,30.4%,1-9,11.1%,3-4,75.0%,1.2,0,3,0,1,3.6
Aurora Spartans,2025-11-19,#1,Bryden Gryzmala,G,"5'11""",,FR,Bench,PG,Anticipate pull ups on LHD,True,71,Guard,set(),{'anticipate_move'},,anticipate_move,14.9,46.7%,2-6,33.3%,6-6,100.0%,1.0,5,5,2,0,4.4
Simpson Storm,2025-11-25,#23,Cam Henderson,G,"5'10""",,SO,Starter,LH Driver/shooter,Anticipate LHD,True,70,Guard,"{'slasher_driver', 'three_point_shooter'}",{'anticipate_move'},"slasher_driver, three_point_shooter",anticipate_move,25.8,37.0%,13-28,46.4%,37-43,86.0%,2.7,9,10,9,1,16.9
Simpson Storm,2025-11-25,#13,Levi Gurwell,G,"6'0""",145 lbs,SR,Starter,Efficient 3 level scorer,Stay down on Pump fakes,True,72,Guard,set(),{'physical_discipline'},,physical_discipline,21.3,55.2%,12-28,42.9%,16-18,88.9%,2.3,13,14,2,0,14.6
Simpson Storm,2025-11-25,#11,Spencer Holley,G,"6'4""",,FR,Starter,RHD,Antcipate RHD,True,76,Guard,{'slasher_driver'},{'anticipate_move'},slasher_driver,anticipate_move,24.3,31.6%,2-7,28.6%,10-19,52.6%,3.3,7,7,5,0,5.1
Simpson Storm,2025-11-25,#30,Brogan Fuller,G,"6'4""",,SO,Starter,Shooter/Driver,No C&S 3's,True,76,Guard,"{'slasher_driver', 'three_point_shooter'}",{'deny_catch_and_shoot'},"slasher_driver, three_point_shooter",deny_catch_and_shoot,18.6,50.0%,3-12,25.0%,1-2,50.0%,3.0,9,6,5,5,4.3
Simpson Storm,2025-11-25,#34,Marcus Haupert,F,"6'5""",,SR,Starter,LS/RH Post,No LS/RH,True,77,Forward/Post,{'post_scorer'},{'post_defense'},post_scorer,post_defense,19.3,45.0%,0-0,-,9-14,64.3%,2.9,5,5,4,4,6.4
