opponent,side,player,fga,rim_att,rim_share,rim_fg,other2_att,other2_share,other2_fg,three_att,three_share,three_fg
UW-Stevens Point Pointers,Opponent,Austin Schaumburg,4,2,50,0.0,2,50,0.0,0,0,
UW-Stevens Point Pointers,Opponent,Brandon Tilley,2,1,50,100.0,1,50,0.0,0,0,
UW-Stevens Point Pointers,Opponent,Cal Krohn,133,93,70,67.7,40,30,42.5,0,0,
UW-Stevens Point Pointers,Opponent,Carter Combs,46,9,20,66.7,37,80,45.9,0,0,
UW-Stevens Point Pointers,Opponent,Drew Daoust,13,1,8,100.0,12,92,25.0,0,0,
UW-Stevens Point Pointers,Opponent,Emmitt Huhn,1,1,100,0.0,0,0,,0,0,
UW-Stevens Point Pointers,Opponent,Grant Manz,20,14,70,78.6,6,30,33.3,0,0,
UW-Stevens Point Pointers,Opponent,Isaiah Moore,48,12,25,58.3,36,75,47.2,0,0,
UW-Stevens Point Pointers,Opponent,James Jacobs,3,3,100,33.3,0,0,,0,0,
UW-Stevens Point Pointers,Opponent,Josh Bocher,37,26,70,61.5,11,30,27.3,0,0,
UW-Stevens Point Pointers,Opponent,Josiah Butler,135,56,41,60.7,79,59,38.0,0,0,
UW-Stevens Point Pointers,Opponent,Logan Baumgartner,92,16,17,68.8,76,83,32.9,0,0,
UW-Stevens Point Pointers,Opponent,Max Raimer,41,14,34,78.6,27,66,22.2,0,0,
UW-Stevens Point Pointers,Opponent,Seth Miron,152,53,35,69.8,99,65,38.4,0,0,
UW-Stevens Point Pointers,Opponent,Shane Tarjan,2,0,0,,2,100,50.0,0,0,
UW-Stevens Point Pointers,Opponent,Tyler Orr,12,1,8,0.0,11,92,18.2,0,0,
UW-Stevens Point Pointers,Opponent,Zach Orr,1,0,0,,1,100,0.0,0,0,
UW-Stevens Point Pointers,UWW,Agape Keyes Jr.,12,1,8,0.0,11,92,27.3,0,0,
UW-Stevens Point Pointers,UWW,Austin Ambrose,8,3,38,66.7,5,62,40.0,0,0,
UW-Stevens Point Pointers,UWW,Brock Marino,70,53,76,56.6,17,24,52.9,0,0,
UW-Stevens Point Pointers,UWW,Collin Madson,126,60,48,71.7,66,52,50.0,0,0,
UW-Stevens Point Pointers,UWW,Darius Chestnut,41,17,41,64.7,24,59,45.8,0,0,
UW-Stevens Point Pointers,UWW,Isaac Verges,61,41,67,53.7,20,33,45.0,0,0,
UW-Stevens Point Pointers,UWW,Isaiah Robinson,9,3,33,100.0,6,67,50.0,0,0,
UW-Stevens Point Pointers,UWW,JR Lukenbill,37,17,46,70.6,20,54,40.0,0,0,
UW-Stevens Point Pointers,UWW,Jake Quast,62,38,61,52.6,24,39,45.8,0,0,
UW-Stevens Point Pointers,UWW,Joey Berezowitz,31,10,32,50.0,21,68,47.6,0,0,
UW-Stevens Point Pointers,UWW,Kelton McEwen,36,4,11,75.0,32,89,31.2,0,0,
UW-Stevens Point Pointers,UWW,Luke Bara,86,11,13,36.4,75,87,40.0,0,0,
UW-Stevens Point Pointers,UWW,Matthew McKay,2,1,50,100.0,1,50,100.0,0,0,
UW-Stevens Point Pointers,UWW,Mauryon Turner,3,3,100,66.7,0,0,,0,0,
UW-Stevens Point Pointers,UWW,Mikey Wildes,1,1,100,0.0,0,0,,0,0,
UW-Stevens Point Pointers,UWW,Rashad Rogers,18,12,67,66.7,6,33,33.3,0,0,
UW-Stevens Point Pointers,UWW,Richie Warren,93,37,40,45.9,56,60,39.3,0,0,
UW-Stevens Point Pointers,UWW,Trent Grunewald,7,3,43,33.3,4,57,0.0,0,0,
UW-Stevens Point Pointers,UWW,Tristian Lynch,3,0,0,,3,100,33.3,0,0,
UW-Stevens Point Pointers,UWW,Tyshawn Teague-Johnson,23,13,57,61.5,10,43,60.0,0,0,
UW-Stevens Point Pointers,UWW,Zay Howard,2,1,50,0.0,1,50,0.0,0,0,
