clip_key,game_date,clip_number,track,side,name,name_conf,anchored,frames,path,court_raw_path,court_path
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,0,defense,,,False,8,"[[0, 1.03, 0.799, 0.146, 445.1, 345.4], [1, 1.03, 0.8, 0.151, 445.6, 345.1], [2, 1.03, 0.8, 0.164, 445.7, 345.4], [3, 1.032, 0.791, 0.163, 453.1, 343.8], [4, 1.093, 0.796, 0.165, 484.7, 340.6], [5, 1.113, 0.767, 0.151, 519.0, 327.2], [6, 1.243, 0.766, 0.125, 550.5, 311.3], [7, 1.327, 0.766, 0.138, 568.9, 305.7]]","[[0, 50.19, 15.7], [1, 50.51, 16.41], [2, 50.21, 15.65], [3, 50.85, 16.03], [4, 53.78, 17.03], [5, 57.92, 20.44], [6, 63.05, 25.78], [7, 66.94, 27.72]]","[[0, 43.81, 34.3], [1, 43.49, 33.59], [2, 43.79, 34.35], [3, 43.15, 33.97], [4, 40.22, 32.97], [5, 36.08, 29.56], [6, 30.95, 24.22], [7, 27.06, 22.28]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,1,,,,False,10,"[[0, 0.893, 0.788, 0.206, 385.6, 340.4], [1, 0.892, 0.79, 0.191, 385.9, 340.9], [2, 0.893, 0.791, 0.16, 386.3, 341.6], [3, 0.894, 0.788, 0.163, 393.7, 342.4], [4, 0.838, 0.729, 0.143, 374.4, 311.9], [5, 0.806, 0.766, 0.161, 386.1, 326.8], [6, 0.861, 0.768, 0.149, 385.3, 312.0], [7, 1.098, 0.798, 0.115, 470.3, 319.5], [8, 1.229, 0.846, 0.188, 502.5, 349.4], [10, 1.425, 0.778, 0.14, 382.1, 328.8]]","[[0, 45.73, 17.43], [1, 45.94, 17.88], [2, 45.73, 17.05], [3, 46.27, 16.92], [4, 45.94, 26.87], [5, 46.35, 21.46], [6, 46.95, 26.67], [7, 55.13, 23.4], [8, 56.64, 13.57], [10, 64.28, 17.55]]","[[0, 48.27, 32.57], [1, 48.06, 32.12], [2, 48.27, 32.95], [3, 47.73, 33.08], [4, 48.06, 23.13], [5, 47.65, 28.54], [6, 47.05, 23.33], [7, 38.87, 26.6], [8, 37.36, 36.43], [10, 29.72, 32.45]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,2,offense,,,False,9,"[[0, 1.171, 0.749, 0.154, 506.0, 323.4], [1, 1.166, 0.749, 0.155, 504.3, 323.2], [2, 1.157, 0.752, 0.147, 500.7, 324.5], [3, 1.141, 0.753, 0.15, 500.1, 327.2], [4, 1.237, 0.743, 0.115, 546.9, 317.9], [5, 1.337, 0.774, 0.123, 615.5, 329.8], [6, 1.337, 0.84, 0.136, 591.0, 343.0], [7, 1.269, 0.792, 0.136, 544.0, 317.0], [8, 1.379, 0.741, 0.136, 567.1, 304.1]]","[[0, 57.11, 21.71], [1, 57.26, 22.41], [2, 56.48, 21.33], [3, 56.08, 20.38], [4, 61.72, 23.59], [5, 66.54, 18.92], [6, 62.52, 15.23], [7, 62.51, 23.58], [8, 69.08, 27.74]]","[[0, 36.89, 28.29], [1, 36.74, 27.59], [2, 37.52, 28.67], [3, 37.92, 29.62], [4, 32.28, 26.41], [5, 27.46, 31.08], [6, 31.48, 34.77], [7, 31.49, 26.42], [8, 24.92, 22.26]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,3,,,,False,6,"[[0, 0.466, 0.711, 0.13, 201.4, 307.1], [1, 0.468, 0.711, 0.127, 202.8, 306.5], [2, 0.47, 0.708, 0.127, 203.5, 305.4], [3, 0.471, 0.692, 0.105, 210.8, 300.8], [4, 0.543, 0.68, 0.115, 247.2, 290.7], [5, 0.575, 0.682, 0.112, 286.4, 290.2]]","[[0, 30.62, 29.0], [1, 30.6, 29.65], [2, 30.8, 29.48], [3, 31.24, 31.87], [4, 34.23, 36.14], [5, 38.0, 35.86]]","[[0, 63.38, 21.0], [1, 63.4, 20.35], [2, 63.2, 20.52], [3, 62.76, 18.13], [4, 59.77, 13.86], [5, 56.0, 14.14]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,4,,,,False,37,"[[0, 0.758, 0.694, 0.128, 327.6, 299.9], [1, 0.758, 0.692, 0.121, 328.1, 298.6], [2, 0.758, 0.693, 0.122, 328.3, 299.0], [3, 0.74, 0.693, 0.127, 327.0, 301.5], [4, 0.748, 0.683, 0.114, 335.8, 292.0], [6, 0.746, 0.715, 0.121, 335.7, 289.3], [7, 0.885, 0.782, 0.132, 378.0, 312.8], [8, 0.923, 0.78, 0.133, 370.1, 320.7], [10, 1.238, 0.776, 0.143, 301.5, 327.8], [12, 1.288, 0.747, 0.19, 285.8, 368.5], [13, 1.603, 0.762, 0.151, 393.4, 382.4], [14, 1.607, 0.759, 0.171, 410.1, 382.3], [15, 1.607, 0.757, 0.163, 432.0, 377.0], [16, 1.639, 0.756, 0.17, 455.4, 376.8], [17, 1.7, 0.756, 0.187, 482.2, 379.3], [18, 1.749, 0.755, 0.195, 502.5, 379.8], [19, 1.772, 0.695, 0.134, 525.4, 352.6], [20, 1.827, 0.709, 0.154, 545.0, 359.2], [21, 1.86, 0.7, 0.152, 556.2, 355.7], [22, 1.853, 0.7, 0.147, 546.2, 355.5], [24, 1.764, 0.764, 0.21, 508.6, 379.0], [25, 1.704, 0.763, 0.193, 492.1, 382.0], [26, 1.694, 0.728, 0.183, 493.2, 379.7], [27, 1.724, 0.728, 0.196, 506.0, 379.8], [28, 1.742, 0.589, 0.187, 521.9, 373.7], [29, 1.784, 0.544, 0.134, 532.4, 352.2], [30, 1.817, 0.552, 0.155, 531.1, 360.9], [31, 1.832, 0.546, 0.144, 530.2, 356.5], [32, 1.839, 0.551, 0.172, 539.7, 367.1], [33, 1.861, 0.525, 0.144, 554.6, 353.5], [35, 1.8, 0.568, 0.174, 452.1, 374.2], [36, 1.804, 0.608, 0.17, 448.9, 379.3], [37, 1.751, 0.611, 0.159, 414.8, 378.9], [38, 1.675, 0.622, 0.152, 359.6, 385.8], [39, 1.493, 0.624, 0.161, 271.9, 397.1], [41, 1.395, 0.554, 0.175, 230.0, 367.2], [42, 1.254, 0.574, 0.202, 130.9, 376.1]]","[[0, 41.8, 31.37], [1, 41.94, 32.39], [2, 41.89, 31.61], [3, 41.74, 30.93], [4, 42.89, 35.25], [6, 42.98, 36.56], [7, 47.11, 26.58], [8, 47.49, 23.18], [10, 57.24, 20.36], [12, 54.79, 10.05], [13, 60.98, 3.82], [14, 62.18, 3.25], [15, 64.39, 3.46], [16, 66.16, 2.68], [17, 67.84, 1.24], [18, 69.31, 0.41], [19, 76.06, 4.92], [20, 76.49, 2.68], [21, 78.3, 2.97], [22, 77.41, 3.43], [24, 69.92, 0.34], [25, 68.21, 0.41], [26, 68.62, 0.77], [27, 69.6, 0.29], [28, 71.81, 0.76], [29, 76.81, 4.73], [30, 74.92, 2.93], [31, 75.71, 3.87], [32, 74.46, 1.3], [33, 78.64, 3.52], [35, 66.26, 3.26], [36, 65.36, 2.44], [37, 62.93, 3.68], [38, 58.46, 4.29], [39, 52.24, 5.04], [41, 51.31, 11.91], [42, 44.94, 12.9]]","[[0, 52.2, 18.63], [1, 52.06, 17.61], [2, 52.11, 18.39], [3, 52.26, 19.07], [4, 51.11, 14.75], [6, 51.02, 13.44], [7, 46.89, 23.42], [8, 46.51, 26.82], [10, 36.76, 29.64], [12, 39.21, 39.95], [13, 33.02, 46.18], [14, 31.82, 46.75], [15, 29.61, 46.54], [16, 27.84, 47.32], [17, 26.16, 48.76], [18, 24.69, 49.59], [19, 17.94, 45.08], [20, 17.51, 47.32], [21, 15.7, 47.03], [22, 16.59, 46.57], [24, 24.08, 49.66], [25, 25.79, 49.59], [26, 25.38, 49.23], [27, 24.4, 49.71], [28, 22.19, 49.24], [29, 17.19, 45.27], [30, 19.08, 47.07], [31, 18.29, 46.13], [32, 19.54, 48.7], [33, 15.36, 46.48], [35, 27.74, 46.74], [36, 28.64, 47.56], [37, 31.07, 46.32], [38, 35.54, 45.71], [39, 41.76, 44.96], [41, 42.69, 38.09], [42, 49.06, 37.1]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,5,defense,,,False,3,"[[0, 0.819, 0.697, 0.136, 353.6, 301.1], [2, 0.826, 0.695, 0.129, 357.3, 300.2], [3, 0.826, 0.695, 0.125, 364.0, 302.3]]","[[0, 44.26, 30.78], [2, 44.65, 31.02], [3, 45.22, 30.38]]","[[0, 49.74, 19.22], [2, 49.35, 18.98], [3, 48.78, 19.62]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,6,defense,,,False,10,"[[0, 1.021, 0.667, 0.121, 441.2, 288.0], [1, 1.022, 0.667, 0.118, 441.8, 287.4], [2, 1.021, 0.666, 0.116, 441.5, 287.4], [3, 1.003, 0.678, 0.133, 440.7, 294.7], [4, 0.965, 0.809, 0.24, 429.7, 346.3], [6, 1.111, 0.767, 0.136, 493.4, 311.9], [7, 1.065, 0.741, 0.129, 455.8, 294.8], [8, 1.155, 0.744, 0.118, 470.6, 305.3], [9, 1.27, 0.918, 0.105, 435.6, 410.2], [10, 1.362, 0.752, 0.128, 354.8, 317.5]]","[[0, 54.26, 36.56], [1, 54.59, 37.35], [2, 54.33, 36.75], [3, 53.45, 33.25], [4, 49.03, 15.98], [6, 57.23, 25.97], [7, 56.25, 33.42], [8, 58.38, 28.04], [9, 53.17, 1.63], [10, 63.4, 22.21]]","[[0, 39.74, 13.44], [1, 39.41, 12.65], [2, 39.67, 13.25], [3, 40.55, 16.75], [4, 44.97, 34.02], [6, 36.77, 24.03], [7, 37.75, 16.58], [8, 35.62, 21.96], [9, 40.83, 48.37], [10, 30.6, 27.79]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,7,offense,,,False,8,"[[2, 1.474, 0.91, 0.086, 637.6, 392.8], [4, 1.451, 0.914, 0.08, 639.5, 391.7], [6, 1.33, 0.868, 0.165, 587.9, 355.2], [7, 1.087, 0.873, 0.193, 465.4, 351.8], [8, 0.981, 0.729, 0.097, 395.3, 298.7], [9, 0.98, 0.729, 0.135, 310.4, 328.2], [10, 1.072, 0.824, 0.166, 229.8, 348.9], [11, 1.072, 0.824, 0.182, 248.4, 361.7]]","[[2, 60.74, 4.2], [4, 61.06, 4.67], [6, 60.85, 12.18], [7, 52.21, 14.12], [8, 51.27, 31.41], [9, 48.84, 21.24], [10, 50.04, 16.4], [11, 52.56, 12.7]]","[[2, 33.26, 45.8], [4, 32.94, 45.33], [6, 33.15, 37.82], [7, 41.79, 35.88], [8, 42.73, 18.59], [9, 45.16, 28.76], [10, 43.96, 33.6], [11, 41.44, 37.3]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,8,offense,Michael Metcalf-Grassman,0.99,False,16,"[[6, 1.593, 0.814, 0.133, 701.5, 331.8], [7, 1.593, 0.9, 0.183, 683.8, 363.7], [8, 1.468, 0.941, 0.081, 605.5, 390.5], [9, 1.468, 0.859, 0.071, 521.0, 384.4], [11, 1.953, 0.768, 0.106, 629.0, 337.5], [12, 2.09, 0.626, 0.105, 632.0, 316.2], [14, 2.152, 0.622, 0.13, 645.7, 322.9], [15, 2.057, 0.622, 0.128, 626.4, 318.6], [16, 2.001, 0.608, 0.123, 612.2, 313.0], [17, 1.984, 0.601, 0.123, 604.9, 312.4], [18, 1.984, 0.598, 0.124, 604.0, 312.0], [19, 1.96, 0.602, 0.124, 606.2, 312.7], [20, 1.968, 0.602, 0.126, 605.6, 312.9], [21, 1.958, 0.594, 0.121, 598.7, 309.8], [22, 1.955, 0.588, 0.116, 590.1, 307.1], [23, 1.946, 0.584, 0.124, 583.6, 306.2]]","[[6, 74.57, 17.42], [7, 68.35, 8.96], [8, 60.62, 3.9], [9, 60.74, 4.14], [11, 90.45, 4.34], [12, 99.87, 10.55], [14, 98.87, 7.43], [15, 98.17, 9.82], [16, 98.72, 12.54], [17, 97.92, 13.09], [18, 97.98, 13.29], [19, 97.94, 12.89], [20, 97.78, 12.86], [21, 98.24, 14.4], [22, 98.26, 15.92], [23, 97.72, 16.63]]","[[6, 19.43, 32.58], [7, 25.65, 41.04], [8, 33.38, 46.1], [9, 33.26, 45.86], [11, 3.55, 45.66], [12, -5.87, 39.45], [14, -4.87, 42.57], [15, -4.17, 40.18], [16, -4.72, 37.46], [17, -3.92, 36.91], [18, -3.98, 36.71], [19, -3.94, 37.11], [20, -3.78, 37.14], [21, -4.24, 35.6], [22, -4.26, 34.08], [23, -3.72, 33.37]]"
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,9,offense,Brandon Beck,0.99,False,3,"[[6, 1.576, 0.814, 0.131, 694.2, 331.8], [7, 1.562, 0.894, 0.178, 670.5, 361.1], [8, 1.524, 1.001, 0.098, 629.8, 416.2]]","[[6, 73.85, 17.49], [7, 67.63, 9.69], [8, 59.99, -0.33]]","[[6, 20.15, 32.51], [7, 26.37, 40.31], [8, 34.01, 50.33]]"
