date,opponent,team,location,opponent_url,game_url,video_url,outcome,team_score,opponent_score,point_margin,season,Upcoming
"Fri, Nov 7",Ripon Red Hawks,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/NYQ5dX1lTj2qPTiYSf_8EQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/Z0-ctt8vSRGBq7L9GQd3rg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dce749ed0cee8bbd101a32%2ffullgamevideo%2fclips,W,76.0,58.0,18.0,2025-26,No
"Fri, Nov 14",St. Thomas (TX) Celts,UW-Whitewater Warhawks,Neutral Court,https://fastscout.fastmodelsports.com/teams/anCMEUdqSzWIAKDyPWdskA?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/JcwXgHrZQgOeF6s3qZVhjw/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a592%2ffullgamevideo%2fclips,L,73.0,81.0,-8.0,2025-26,No
"Sat, Nov 15",Eureka Red Devils,UW-Whitewater Warhawks,Neutral Court,https://fastscout.fastmodelsports.com/teams/jVR53GJ3SVCQW2MBg7YgPQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/mLvThP_nRhm2OBQ6J9BORA/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dd65d8fe000370dae0eae6%2ffullgamevideo%2fclips,W,116.0,73.0,43.0,2025-26,No
"Wed, Nov 19",Aurora Spartans,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/ULe6tyLSRjOi02aI8Th1Uw/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dc5148e106e7b276af199f%2ffullgamevideo%2fclips,,,,,2025-26,Yes
"Fri, Nov 7",UW-Whitewater Warhawks,Ripon Red Hawks,Home,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/NYQ5dX1lTj2qPTiYSf_8EQ/games/Z0-ctt8vSRGBq7L9GQd3rg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dce749ed0cee8bbd101a32%2ffullgamevideo%2fclips,L,58.0,76.0,-18.0,2025-26,No
"Mon, Nov 10",Green Bay Phoenix EXH,Ripon Red Hawks,Away,https://fastscout.fastmodelsports.com/teams/nQteLSOcTDuZJzd_QMa5Vg?league=NCAAB&season=25,https://fastscout.fastmodelsports.com/teams/NYQ5dX1lTj2qPTiYSf_8EQ/games/bywCEOlYRBi3Oz2AFxk35Q/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68f9362b857f9c97d6d0b604%2ffullgamevideo%2fclips,L,63.0,83.0,-20.0,2025-26,No
"Wed, Nov 12",St. Norbert Green Knights,Ripon Red Hawks,Away,https://fastscout.fastmodelsports.com/teams/mdTxP3GCSVKmzTfFimCobQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/NYQ5dX1lTj2qPTiYSf_8EQ/games/DCAhgMMcTKGgp2Bxh7NVYQ/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dc84d7872cbc0ecf981795%2ffullgamevideo%2fclips,L,43.0,67.0,-24.0,2025-26,No
"Sat, Nov 8",Biblical Studies (TX) Ambassadors,St. Thomas (TX) Celts,Home,,https://fastscout.fastmodelsports.com/teams/anCMEUdqSzWIAKDyPWdskA/games/s4hhbZUMTW-anEKt0BUc7Q/boxscore?league=NCAAB-III&season=25,,W,89.0,55.0,34.0,2025-26,No
"Tue, Nov 11",East Texas Baptist Tigers,St. Thomas (TX) Celts,Away,https://fastscout.fastmodelsports.com/teams/SwVVwNsHTh6suFW__T0iuQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/anCMEUdqSzWIAKDyPWdskA/games/J66EuWPpRD-5CdpAtKWh9A/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dd670376234fec4a3c18de%2ffullgamevideo%2fclips,W,72.0,64.0,8.0,2025-26,No
"Fri, Nov 14",UW-Whitewater Warhawks,St. Thomas (TX) Celts,Neutral Court,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/anCMEUdqSzWIAKDyPWdskA/games/JcwXgHrZQgOeF6s3qZVhjw/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68deda8125423a1fd110a592%2ffullgamevideo%2fclips,W,81.0,73.0,8.0,2025-26,No
"Sat, Nov 15",Washington-St. Louis Bears,St. Thomas (TX) Celts,Away,https://fastscout.fastmodelsports.com/teams/LUSewnwnR7S6NaJQp6WaTA?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/anCMEUdqSzWIAKDyPWdskA/games/9v59z8ypTdarp-ZoqjFKYg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f6919346533584e1bc1e67d0d%2ffullgamevideo%2fclips,L,53.0,54.0,-1.0,2025-26,No
"Fri, Nov 7",Dominican (IL) Stars,Eureka Red Devils,Away,https://fastscout.fastmodelsports.com/teams/JS3ko0xaRIi16rQQhf4aAw?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/jVR53GJ3SVCQW2MBg7YgPQ/games/UnUKLSLgTxOQsshRcCv5vg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dc597bee02dc7c1a3e4a63%2ffullgamevideo%2fclips,W,90.0,85.0,5.0,2025-26,No
"Tue, Nov 11",Monmouth (IL) Fighting Scots,Eureka Red Devils,Home,https://fastscout.fastmodelsports.com/teams/RwLuY3EgSQK0Z64iIjtAlA?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/jVR53GJ3SVCQW2MBg7YgPQ/games/BNyFCHSsSWiV-0Jz2sK9qw/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dce61de8640316f9f14715%2ffullgamevideo%2fclips,L,72.0,90.0,-18.0,2025-26,No
"Fri, Nov 14",Washington-St. Louis Bears,Eureka Red Devils,Away,https://fastscout.fastmodelsports.com/teams/LUSewnwnR7S6NaJQp6WaTA?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/jVR53GJ3SVCQW2MBg7YgPQ/games/B1HXxkXWT5C_JsTxEOkcvA/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68da977cb2494e65efbde770%2ffullgamevideo%2fclips,L,53.0,100.0,-47.0,2025-26,No
"Sat, Nov 15",UW-Whitewater Warhawks,Eureka Red Devils,Neutral Court,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/jVR53GJ3SVCQW2MBg7YgPQ/games/mLvThP_nRhm2OBQ6J9BORA/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dd65d8fe000370dae0eae6%2ffullgamevideo%2fclips,L,73.0,116.0,-43.0,2025-26,No
"Fri, Nov 7",Gustavus Adolphus Golden Gusties,Aurora Spartans,Home,https://fastscout.fastmodelsports.com/teams/1PsWyF01QLKdWZ9gzEg5DQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA/games/Bnnh4R0-QJCMKYQLguHUBg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dc5147e106e7b276af199b%2ffullgamevideo%2fclips,L,79.0,84.0,-5.0,2025-26,No
"Sat, Nov 8",Bethany Lutheran Vikings,Aurora Spartans,Home,https://fastscout.fastmodelsports.com/teams/LEq4CbdnTeWsY5_0yWJunQ?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA/games/djhlwkpJRrKJEfewFb8dqg/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68d9e42fa237673855e83038%2ffullgamevideo%2fclips,W,84.0,79.0,5.0,2025-26,No
"Wed, Nov 12",North Central (IL) Cardinals,Aurora Spartans,Away,https://fastscout.fastmodelsports.com/teams/dShnkyWDRTaBQuxYFLIBSg?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA/games/VCYd-UR2RLWr3tZZOc99WA/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68d9ba00c24a7211210753b5%2ffullgamevideo%2fclips,W,65.0,55.0,10.0,2025-26,No
"Sat, Nov 15",Benedictine (IL) Eagles,Aurora Spartans,Away,https://fastscout.fastmodelsports.com/teams/4I5RvZCITHm1W56x31msDw?league=NCAAB-III&season=25,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA/games/jpNkW4lIQfKPUNo90dpEBQ/boxscore?league=NCAAB-III&season=25,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f68dc5148e106e7b276af199e%2ffullgamevideo%2fclips,L,76.0,87.0,-11.0,2025-26,No
