opponent,subject_type,name,source,notes,keys_to_defending,strengths,weaknesses,below_minimum
Aurora Spartans,player,Adam Awender,Data-Driven,,,,,"No stat met a read threshold — 0.0 ppg, 0-0 FG, 0-0 3PT, 0-0 FT over 1 game(s)"
Aurora Spartans,player,Alex Ross,Data-Driven,,,,,50% from three (2-4) — under the 6-attempt minimum for a shooting read | 50% from the field (2-4) — under the 12-shot minimum for an efficiency read | 50% at the line (1-2) — under the 8-attempt minimum for a free-throw read
Aurora Spartans,player,Bryden Gryzmala,Data-Driven,Efficient: 62.4% true shooting on 15 attempts.,,,,"No stat met a read threshold — 5.5 ppg, 7-15 FG, 2-6 3PT, 6-6 FT over 4 game(s)"
Aurora Spartans,player,Cullen Rauls,Data-Driven,Fouls: 3.5 a game.,Attack him early — two quick ones changes how he guards.,,Foul-prone (3.5 pf/gm),20% from three (1-5) — under the 6-attempt minimum for a shooting read | 14% from the field (1-7) — under the 12-shot minimum for an efficiency read | 33% at the line (1-3) — under the 8-attempt minimum for a free-throw read
Aurora Spartans,player,Devon Richardson,Data-Driven,"Primary option: 13.5 ppg, 18% of their scoring on 13% of their shots. Interior player: only 0% of his attempts come from three. Efficient: 64.3% true shooting on 31 attempts. Gets to the line: 6.2 attempts a game (0.81 per field-goal attempt). 56% from the line on 25 attempts. Their offensive glass: 4.8 offensive rebounds per 40 minutes, 2.1x their per-player rate. Tagged film: featured in BLOB Box Curl (3x) out of 59 tagged possession(s) — 1.17 PPP.","Top priority — no easy catches, and make a second option beat you. | Nothing easy at the rim — wall up early rather than reaching, and make him finish over a body. | Guard him without fouling — hands up, no bail-outs. | If he has to be fouled late, he is the one to foul. | Put a body on him every shot — he is where their second chances come from. | Know BLOB Box Curl — his most-tagged set on film (3x).","Leading scorer (13.5 ppg) | Crashes the offensive glass — 4.8 per 40 min, 2.1x their average (3.0 a game) | Driver — 87% of his shots at the rim, 63% there | Leads them on the glass (6.2 rpg) | Rim protection (1.5 bpg) | Efficient — 65% from the field | Gets to the line (6.2 FTA/gm)",Poor at the line — 56%,
Aurora Spartans,player,Gevon Grant,Data-Driven,"Gets to the line: 7.0 attempts a game (0.90 per field-goal attempt). 57% from the line on 28 attempts. Initiates for them: 2.0 assists a game, 0.9 per turnover. Tagged film: featured in Ball Screen (3x) out of 87 tagged possession(s) — 0.87 PPP.","Guard him without fouling — hands up, no bail-outs. | If he has to be fouled late, he is the one to foul. | Get it out of his hands — deny the first pass and make someone else start the offense. | Know Ball Screen to the left side — his most-tagged set on film (3x).",Primary creator (2.0 apg) | Active hands (1.5 spg) | Gets to the line (7.0 FTA/gm),Cold from three — 23% on 13 | Poor at the line — 57%,
Aurora Spartans,player,Isaiah Thompson,Data-Driven,,,,,20% from three (1-5) — under the 6-attempt minimum for a shooting read | 17% from the field (1-6) — under the 12-shot minimum for an efficiency read
Aurora Spartans,player,Jeffery Hillmer,Data-Driven,,,"Driver — 56% of his shots at the rim, 43% there",,40% from three (2-5) — under the 6-attempt minimum for a shooting read
Aurora Spartans,player,Juan Madrigal,Data-Driven,Efficient: 59.3% true shooting on 39 attempts.,,Shooter — 40% on 15 threes,,
Aurora Spartans,player,Larry Carthan,Data-Driven,"Gets to the line: 3.0 attempts a game (1.09 per field-goal attempt). Their offensive glass: 4.5 offensive rebounds per 40 minutes, 2.0x their per-player rate.","Guard him without fouling — hands up, no bail-outs. | Put a body on him every shot — he is where their second chances come from.","Crashes the offensive glass — 4.5 per 40 min, 2.0x their average (1.5 a game) | Driver — 73% of his shots at the rim, 25% there",,
Aurora Spartans,player,Mekhi Doby,Data-Driven,Only 1 of 4 games on film — provisional. Inefficient: 40.1% true shooting on 13 attempts. Gets to the line: 13.0 attempts a game (1.00 per field-goal attempt). 54% from the line on 13 attempts.,,Gets to the line (13.0 FTA/gm),Inefficient — 31% on 13 shots | Poor at the line — 54%,0% from three (0-3) — under the 6-attempt minimum for a shooting read
Aurora Spartans,player,Robert Hutson,Data-Driven,"Inefficient: 33.7% true shooting on 22 attempts. Their offensive glass: 3.9 offensive rebounds per 40 minutes, 1.7x their per-player rate.",Let him be the one who shoots it — volume without efficiency is a result we will take. | Put a body on him every shot — he is where their second chances come from.,"Crashes the offensive glass — 3.9 per 40 min, 1.7x their average (1.2 a game) | Driver — 45% of his shots at the rim, 40% there",Cold from three — 11% on 9 | Inefficient — 27% on 22 shots,
Aurora Spartans,player,Zerrick Johnson,Data-Driven,Efficient: 64.0% true shooting on 28 attempts. Gets to the line: 4.5 attempts a game (0.64 per field-goal attempt).,"Guard him without fouling — hands up, no bail-outs.","Driver — 68% of his shots at the rim, 58% there | Efficient — 50% from the field | Gets to the line (4.5 FTA/gm)",,40% from three (2-5) — under the 6-attempt minimum for a shooting read
Aurora Spartans,lineup,"Devon Richardson, Gevon Grant, Jeffery Hillmer, Juan Madrigal, Zerrick Johnson",Data-Driven,"21.4 minutes together over 4 game(s) — their most-used unit. Tagged film across this group's players: Ball Screen (10x), BLOB Box Curl (4x) out of 299 tagged possession(s) — 0.98 PPP. (each clip's tagged player is a member of this group -- not confirmed as all five on the floor together for every one.)",Crash the offensive glass while this unit is in. | Know Ball Screen to the right side — this group's most-tagged set on film (10x).,Shoots it better than their norm (56.7% vs 43.1%) | Moves the ball (13.1 vs 9.4 per 40) | Takes care of it (7.5 vs 13.2 per 40),Gets beaten on the glass (35.5 vs 41.8 per 40),
Aurora Spartans,lineup,"Bryden Gryzmala, Devon Richardson, Jeffery Hillmer, Juan Madrigal, Zerrick Johnson",Data-Driven,"16.5 minutes together over 3 game(s). Net +7 per 40 minutes on the floor (+3 in 16.5). Tagged film across this group's players: Ball Screen (7x), BLOB Box Curl (4x) out of 244 tagged possession(s) — 1.03 PPP. (each clip's tagged player is a member of this group -- not confirmed as all five on the floor together for every one.)",Their best group — make sure our own best five is out there with them. | Pack the paint against this group and live with the three. | Know Ball Screen to the right side — this group's most-tagged set on film (7x).,+7 per 40 on the floor | Moves the ball (12.1 vs 9.4 per 40) | Takes care of it (4.8 vs 13.2 per 40),Cold unit (29.2% vs 43.1%) | Won't make threes (20.0% on 10),
Aurora Spartans,lineup,"Cullen Rauls, Gevon Grant, Larry Carthan, Mekhi Doby, Robert Hutson",Data-Driven,5.7 minutes together over 1 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Bryden Gryzmala, Devon Richardson, Jeffery Hillmer, Robert Hutson, Zerrick Johnson",Data-Driven,5.3 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Bryden Gryzmala, Jeffery Hillmer, Juan Madrigal, Larry Carthan, Zerrick Johnson",Data-Driven,5.0 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Devon Richardson, Gevon Grant, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal",Data-Driven,4.8 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Gevon Grant, Jeffery Hillmer, Juan Madrigal, Larry Carthan, Zerrick Johnson",Data-Driven,4.1 minutes together over 3 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Bryden Gryzmala, Devon Richardson, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal",Data-Driven,3.9 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Bryden Gryzmala, Devon Richardson, Gevon Grant, Jeffery Hillmer, Juan Madrigal",Data-Driven,3.8 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Devon Richardson, Gevon Grant, Jeffery Hillmer, Juan Madrigal, Robert Hutson",Data-Driven,3.6 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Alex Ross, Devon Richardson, Gevon Grant, Jeffery Hillmer, Zerrick Johnson",Data-Driven,3.6 minutes together over 2 game(s). Under 8 minutes together — too few possessions to read.,,,,
Aurora Spartans,lineup,"Gevon Grant, Isaiah Thompson, Jeffery Hillmer, Juan Madrigal, Larry Carthan",Data-Driven,3.5 minutes together over 3 game(s). Under 8 minutes together — too few possessions to read.,,,,
