side,scouted_opponent,perspective,screen_family,screen_type,level,defender,coverage,screens_of_type,share_pct,thin_sample,top_defender,uses,games,poss_with_points,ppp,fg_pct,fga,turnovers,example_titles
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Switch,2,50,True,,1,1,0,,,0,1,5out(bs):m2m(switch)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),rj,2,50,True,,1,1,1,0.0,0.0,1,0,5OUT(BS):press(RJ)(SWITCH)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Down Screen,Defender x screen x coverage,(no jersey),rj,4,100,True,,4,1,4,1.0,50.0,2,1,5out(ds):press(rj) | 5out(ds):m2m(rj)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),rj,47,98,False,,46,1,36,0.81,32.0,25,13,:press(rj) | ::press(rj)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),double madz,47,2,False,,1,1,1,0.0,0.0,1,0,::m2m(double madz)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Ball screen,Ball Screen,Screen x coverage,,Switch,2,50,True,(no jersey),1,1,0,,,0,1,5out(bs):m2m(switch)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Ball screen,Ball Screen,Screen x coverage,,rj,2,50,True,(no jersey),1,1,1,0.0,0.0,1,0,5OUT(BS):press(RJ)(SWITCH)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Down Screen,Screen x coverage,,rj,4,100,True,(no jersey),4,1,4,1.0,50.0,2,1,5out(ds):press(rj) | 5out(ds):m2m(rj)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Screen,Screen x coverage,,rj,47,98,False,(no jersey),46,1,36,0.81,32.0,25,13,:press(rj) | ::press(rj)
UWW,UW-Stevens Point Pointers,Defenses UWW faced,Off-ball screen,Screen,Screen x coverage,,double madz,47,2,False,(no jersey),1,1,1,0.0,0.0,1,0,::m2m(double madz)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Switch,11,27,False,,3,1,3,0.0,0.0,2,1,5out(bs):m2m(switch) | 5OUT(BS):M2M(SWITCH)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Drop,11,18,False,,2,1,2,0.0,0.0,1,1,bs:m2m (drop) | ATO-5out(bs):m2m (drop)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Token,11,18,False,,2,1,2,3.0,100.0,2,0,Bs:press(token)(siwtch) | bs:Press(token)(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Under,11,18,False,,2,1,2,1.5,50.0,2,0,double bs:(under) | 5out(bs):m2m(under)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),Top Lock,11,9,False,,1,1,1,0.0,,0,1,5out(bs):m2m(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Defender x screen x coverage,(no jersey),stay,11,9,False,,1,1,1,0.0,0.0,1,0,slob(bs):m2m (Stay)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Off-ball screen,Defender x screen x coverage,(no jersey),Top Lock,5,80,False,,4,1,3,1.0,33.3,3,1,bs:m2m(tl) | 5out(p-wing-over-zoom):m2m(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Off-ball screen,Defender x screen x coverage,(no jersey),Over,5,20,False,,1,1,1,0.0,,0,1,bs(stay):m2m(over)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),rj,14,36,False,,5,1,3,1.67,,0,2,:press(rj) | :press(Rj)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),stay,14,21,False,,3,1,3,1.0,50.0,2,1,spain:m2m (stay) | spain:m2m(stay)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),12,14,14,False,,2,1,2,0.0,0.0,1,1,:press(12)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),Switch,14,14,False,,2,1,2,1.5,50.0,2,0,bs:m2m(switch) | spain:m2m(switch)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Defender x screen x coverage,(no jersey),m2m,14,14,False,,2,1,2,0.5,0.0,1,0,:press(m2m)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,Switch,11,27,False,(no jersey),3,1,3,0.0,0.0,2,1,5out(bs):m2m(switch) | 5OUT(BS):M2M(SWITCH)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,Drop,11,18,False,(no jersey),2,1,2,0.0,0.0,1,1,bs:m2m (drop) | ATO-5out(bs):m2m (drop)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,Token,11,18,False,(no jersey),2,1,2,3.0,100.0,2,0,Bs:press(token)(siwtch) | bs:Press(token)(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,Under,11,18,False,(no jersey),2,1,2,1.5,50.0,2,0,double bs:(under) | 5out(bs):m2m(under)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,Top Lock,11,9,False,(no jersey),1,1,1,0.0,,0,1,5out(bs):m2m(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Ball screen,Ball Screen,Screen x coverage,,stay,11,9,False,(no jersey),1,1,1,0.0,0.0,1,0,slob(bs):m2m (Stay)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Off-ball screen,Screen x coverage,,Top Lock,5,80,False,(no jersey),4,1,3,1.0,33.3,3,1,bs:m2m(tl) | 5out(p-wing-over-zoom):m2m(tl)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Off-ball screen,Screen x coverage,,Over,5,20,False,(no jersey),1,1,1,0.0,,0,1,bs(stay):m2m(over)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Screen x coverage,,rj,14,36,False,(no jersey),5,1,3,1.67,,0,2,:press(rj) | :press(Rj)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Screen x coverage,,stay,14,21,False,(no jersey),3,1,3,1.0,50.0,2,1,spain:m2m (stay) | spain:m2m(stay)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Screen x coverage,,12,14,14,False,(no jersey),2,1,2,0.0,0.0,1,1,:press(12)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Screen x coverage,,Switch,14,14,False,(no jersey),2,1,2,1.5,50.0,2,0,bs:m2m(switch) | spain:m2m(switch)
UWW,UW-Stevens Point Pointers,UWW defense,Off-ball screen,Screen,Screen x coverage,,m2m,14,14,False,(no jersey),2,1,2,0.5,0.0,1,0,:press(m2m)
