jersey_number,PLAYER,GP-GS,MIN,FGM-A,FG%,3PM-A,3P%,3P-R,FTM-A,FT%,PTS,ORB,DRB,REB,AST,TO,STL,BLK,PF
14.0,Mikey Wildes,4-0,2,0.0-0.2,0%,0.0-0.0,-,0%,0.0-0.0,-,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
24.0,Richie Warren,29-24,22,3.5-8.1,43.2%,0.3-1.2,25%,15.3%,1.3-2.1,65%,8.7,1.5,3.4,4.9,1.1,0.9,0.8,1.0,3.0
0.0,Isaac Verges,27-26,23,3.5-6.7,52.5%,0.4-1.2,37.5%,17.7%,2.3-3.3,71.6%,9.8,1.5,2.9,4.4,1.9,1.6,1.1,0.1,2.0
23.0,Mauryon Turner,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23.0,Maurquis Turner,3-0,3,0.7-1.0,66.7%,0.0-0.0,-,0%,0.0-0.7,0%,1.3,0.0,0.3,0.3,0.0,0.3,0.3,0.0,0.7
40.0,Tyshawn Teague-Johnson,18-1,11,1.7-3.9,42.9%,0.4-1.0,38.9%,25.7%,0.4-1.2,36.4%,4.2,0.9,1.1,2.0,0.3,0.6,0.1,0.3,1.2
35.0,Rashad Rogers,19-2,9,0.8-1.7,48.5%,0.1-0.4,28.6%,21.2%,0.5-0.7,69.2%,2.3,0.6,1.4,2.1,0.5,0.6,0.3,0.4,1.5
5.0,Isaiah Robinson,20-0,8,0.4-1.0,33.3%,0.2-0.6,23.1%,61.9%,0.2-0.5,50%,1.1,0.2,0.3,0.5,0.6,0.2,1.2,0.0,1.2
12.0,Jake Quast,28-0,16,2.0-4.0,51.4%,0.4-1.1,31.2%,28.8%,1.8-2.8,64.9%,6.2,1.4,1.5,2.9,0.6,0.8,1.0,0.1,2.0
30.0,Matthew McKay,3-0,2,0.7-0.7,100%,0.0-0.0,-,0%,0.0-0.3,0%,1.3,0.7,0.0,0.7,0.0,0.3,0.7,0.0,1.0
2.0,Kelton McEwen,28-0,11,1.1-2.6,41.7%,0.8-1.9,39.6%,73.6%,0.6-0.9,65.4%,3.5,0.1,0.2,0.3,0.5,0.3,0.2,0.0,0.7
21.0,Brock Marino,28-27,21,3.2-6.1,52.3%,0.3-0.9,34.6%,15.1%,2.1-4.0,53.2%,8.9,1.2,4.2,5.4,0.6,1.4,0.6,0.2,2.4
15.0,Collin Madson,29-29,33,5.8-10.5,55.6%,1.7-3.7,45.3%,34.9%,4.7-5.8,80.4%,18.0,1.4,3.9,5.4,1.1,1.2,1.2,0.1,1.6
25.0,Tristian Lynch,2-0,4,0.5-1.5,33.3%,0.0-1.0,0%,66.7%,0.0-0.0,-,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0
11.0,JR Lukenbill,26-6,13,1.1-2.3,45.9%,0.3-0.8,33.3%,34.4%,0.5-0.8,54.5%,2.9,0.7,1.0,1.7,0.6,0.5,0.4,0.2,1.7
1.0,Agape Keyes Jr.,6-0,4,0.5-2.0,25%,0.5-1.2,42.9%,58.3%,0.0-0.0,-,1.5,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.8
3.0,Zay Howard,3-0,1,0.0-0.7,0%,0.0-0.3,0%,50%,0.0-0.0,-,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3
33.0,Trent Grunewald,6-0,4,0.2-1.2,14.3%,0.0-0.5,0%,42.9%,0.0-0.0,-,0.3,0.3,1.0,1.3,0.3,0.3,0.0,0.0,0.0
30.0,Spencer Cullum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10.0,Darius Chestnut,18-0,10,1.3-2.5,51.1%,0.5-1.0,50%,40%,0.5-0.8,64.3%,3.6,0.4,0.7,1.1,0.3,0.7,0.3,0.1,0.8
22.0,Joey Berezowitz,29-1,14,1.2-2.4,49.3%,0.7-1.6,44.4%,65.2%,0.4-0.4,91.7%,3.4,0.4,0.7,1.2,1.4,0.5,1.2,0.1,1.0
32.0,Luke Bara,29-29,24,3.2-8.2,38.7%,2.0-5.4,37.3%,66.4%,1.8-2.0,89.7%,10.2,0.2,1.3,1.6,1.3,1.3,0.7,0.0,1.8
20.0,Austin Ambrose,8-0,9,1.1-2.5,45%,0.2-1.2,20%,50%,0.2-0.8,33.3%,2.8,0.2,1.5,1.8,0.1,0.8,0.1,0.2,1.5
,Team Total,29,5825,27.3-57.3,47.6%,7.6-20.3,37.6%,35.4%,16.2-23.8,68.3%,78.4,11.1,22.7,33.9,10.2,10.6,8.6,2.3,19.6
,Opponent,29,5825,24.3-53.6,45.4%,6.4-20.2,31.6%,37.6%,15.8-22.2,71%,70.8,9.4,21.6,31.0,10.7,13.5,5.3,3.2,19.7
