lineup,MIN,PTS,+/-,GP,clean_min,clean_pm,clean_gp,garbage_min,per40,shrunk_per40,off_per40,on_off,side,scouted_opponent,gp_exact
"Agape Keyes Jr., Isaac Verges, Kelton McEwen",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,17.812132414720214,,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaac Verges, Mauryon Turner",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,17.812132414720214,,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaac Verges, Rashad Rogers",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,0.0,17.812132414720214,,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Kelton McEwen",0.93,2.0,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.0,17.95240917943941,-17.95240917943941,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Mauryon Turner",0.93,2.0,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.0,17.95240917943941,-17.95240917943941,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Mikey Wildes",1.85,6.0,1.0,1.0,1.85,1.0,1.0,0.0,21.621621621621617,0.9557945041816008,17.75198429632158,3.8696373253000367,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Rashad Rogers",5.16,13.0,-1.0,2.0,5.16,-1.0,2.0,0.0,-7.751937984496124,-0.8857395925597875,18.970665729843667,-26.72260371433979,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Trent Grunewald",4.23,11.0,-1.0,1.0,4.23,-1.0,1.0,0.0,-9.456264775413711,-0.9043635541487677,18.816970119348376,-28.273234894762087,UWW,Aurora Spartans,True
"Agape Keyes Jr., Isaiah Robinson, Tristian Lynch",2.38,5.0,-2.0,1.0,2.38,-2.0,1.0,0.0,-33.61344537815126,-1.8876828692779613,18.86145404663923,-52.47489942479049,UWW,Aurora Spartans,True
"Agape Keyes Jr., Kelton McEwen, Mauryon Turner",0.93,2.0,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.0,17.95240917943941,-17.95240917943941,UWW,Aurora Spartans,True
"Agape Keyes Jr., Kelton McEwen, Rashad Rogers",0.93,2.0,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.0,17.95240917943941,-17.95240917943941,UWW,Aurora Spartans,True
"Agape Keyes Jr., Mauryon Turner, Rashad Rogers",0.93,2.0,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.0,17.95240917943941,-17.95240917943941,UWW,Aurora Spartans,True
"Agape Keyes Jr., Mikey Wildes, Rashad Rogers",3.73,14.0,4.0,1.0,3.73,4.0,1.0,0.0,42.89544235924933,3.6588154584953125,17.00060716454159,25.89483519470774,UWW,Aurora Spartans,True
"Agape Keyes Jr., Mikey Wildes, Trent Grunewald",3.73,14.0,4.0,1.0,3.73,4.0,1.0,0.0,42.89544235924933,3.6588154584953125,17.00060716454159,25.89483519470774,UWW,Aurora Spartans,True
"Agape Keyes Jr., Mikey Wildes, Zay Howard",1.88,8.0,3.0,1.0,1.88,3.0,1.0,0.0,63.82978723404256,2.8653295128939824,17.073587160662452,46.756200073380114,UWW,Aurora Spartans,True
"Agape Keyes Jr., Rashad Rogers, Trent Grunewald",6.109999999999999,19.0,2.0,1.0,6.109999999999999,2.0,1.0,0.0,13.093289689034371,1.7349815658208632,18.067487379328668,-4.974197690294297,UWW,Aurora Spartans,True
