clip_key,game_date,clip_number,offense_team,defense_team,play_title,suggested_title,synergy_string,result,points,frames,fps,holders,screen,screen_type,set_id
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,1,UW-Oshkosh Titans,UW-Whitewater,5 out(HI BS): m2m D(over-switch),5 out: m2m (rj),21 Carter Thomas > No Play Type > Turnover,Turnover,0.0,45,2,{},,,UW-Oshkosh T set 3
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,2,UW-Whitewater,UW-Oshkosh Titans,5 out(Over): m2m d,5 out: m2m (rj),15 Collin Madson > Non Possession > Non Shooting Foul,Non Shooting Foul,,59,2,{},"{""screener"": 19, ""screened"": 26, ""screened_defender"": 7, ""screener_defender"": 9, ""t"": 56, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|3|24 Richie Warren > Cut > Basket > Make 2 Pts,2026-01-03,3,UW-Whitewater,UW-Oshkosh Titans,blob(line)-m2m,blob-5 out(cut): m2m (rj),24 Richie Warren > Cut > Basket > Make 2 Pts,Make 2 Pts,2.0,21,2,{},,,
2026-01-03|4|0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,4,UW-Oshkosh Titans,UW-Whitewater,5 out(bs):m2m,5 out: m2m (rj),0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,33,2,{},,,
2026-01-03|5|24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,2026-01-03,5,UW-Whitewater,UW-Oshkosh Titans,::Press(RJ),"5 out(bs,reject): press - m2m (rj)",24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,Foul,1.0,60,2,{},"{""screener"": 14, ""screened"": 13, ""screened_defender"": 15, ""screener_defender"": null, ""t"": 19, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 2
2026-01-03|6|23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,2026-01-03,6,UW-Oshkosh Titans,UW-Whitewater,5 out(over-swing-ricky):m2m,5 out: m2m (rj),23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,Make 3 Pts,3.0,39,2,{},,,
2026-01-03|7|32 Luke Bara > Transition > Ballhandler > Turnover,2026-01-03,7,UW-Whitewater,UW-Oshkosh Titans,::press(rj),5 out: press - m2m (rj),32 Luke Bara > Transition > Ballhandler > Turnover,Turnover,0.0,45,2,{},"{""screener"": 0, ""screened"": 4, ""screened_defender"": 5, ""screener_defender"": null, ""t"": 2, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|8|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > Drives Left > To Basket > Miss 2 Pts,2026-01-03,8,UW-Oshkosh Titans,UW-Whitewater,5out(pass-cut-bs):m2m,5 out(bs): m2m (rj),5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > Drives Left > To Basket > Miss 2 Pts,Miss 2 Pts,0.0,60,2,{},,,UW-Oshkosh T set 4
2026-01-03|9|21 Brock Marino > Post-Up > Right Block > Post Pin > No Dribble Move > To Basket > Make 2 Pts,2026-01-03,9,UW-Whitewater,UW-Oshkosh Titans,5out(pass corner-):m2m,5 out(post): m2m (rj),21 Brock Marino > Post-Up > Right Block > Post Pin > No Dribble Move > To Basket > Make 2 Pts,Make 2 Pts,2.0,39,2,{},,,
2026-01-03|10|10 Nate Nazos > Transition > Left Wing > Turnover,2026-01-03,10,UW-Oshkosh Titans,UW-Whitewater,tran,5 out: m2m (rj),10 Nate Nazos > Transition > Left Wing > Turnover,Turnover,0.0,31,2,{},"{""screener"": 22, ""screened"": 0, ""screened_defender"": 16, ""screener_defender"": null, ""t"": 22, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|11|21 Brock Marino > Non Possession > Non Shooting Foul,2026-01-03,11,UW-Whitewater,UW-Oshkosh Titans,5out:m2m(rj),5 out: m2m (rj),21 Brock Marino > Non Possession > Non Shooting Foul,Non Shooting Foul,,53,2,{},"{""screener"": 21, ""screened"": 5, ""screened_defender"": 19, ""screener_defender"": 10, ""t"": 34, ""type"": ""Off-ball screen""}",Off-ball screen,UW-Whitewate set 1
2026-01-03|12|21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,2026-01-03,12,UW-Whitewater,UW-Oshkosh Titans,slob:m2m,blob-5 out(post): m2m (rj),21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,Miss 2 Pts,0.0,60,2,{},"{""screener"": 14, ""screened"": 7, ""screened_defender"": 17, ""screener_defender"": 9, ""t"": 22, ""type"": ""Off-ball screen""}",Off-ball screen,
2026-01-03|13|1 Aiden Hawkinson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,13,UW-Oshkosh Titans,UW-Whitewater,5out(doubleclear):m2m,5 out: m2m (rj),1 Aiden Hawkinson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,Miss 3 Pts,0.0,60,2,{},,,
