clip_key,offense_team,situation,alignment,layout,points,play_title
2026-01-03|12|21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,UW-Whitewater,SLOB,spread,"[[11.6, -4.8, ""unnamed offense""], [-18.2, -4.7, ""unnamed offense""], [-12.8, 11.8, ""unnamed offense""], [19.4, -2.3, ""unnamed offense""]]",0.0,slob:m2m
2026-01-03|17|24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Whitewater,BLOB,spread,"[[-7.9, -1.3, ""unnamed offense""], [14.9, -1.4, ""unnamed offense""], [-10.4, 9.3, ""unnamed offense""], [3.4, -6.6, ""unnamed offense""]]",0.0,blob(line):m2m
2026-01-03|25|21 Brock Marino > Post-Up > Flash Middle > Post Pin > Dribble Move > To Basket > Miss 2 Pts,UW-Whitewater,BLOB,spread,"[[-7.3, -6.1, ""unnamed offense""], [10.0, -3.1, ""unnamed offense""], [5.7, -6.5, ""unnamed offense""], [-8.4, 15.6, ""unnamed offense""]]",0.0,blob: m2m
2026-01-03|35|12 Jake Quast > Cut > Basket > Miss 2 Pts,UW-Whitewater,BLOB,spread,"[[8.3, 0.2, ""unnamed offense""], [13.7, -6.9, ""unnamed offense""], [-5.5, -5.1, ""Jake Quast""], [-16.5, 11.7, ""unnamed offense""]]",0.0,blob(line):m2m
2026-01-03|42|12 Jake Quast > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 10 Darius Chestnut > Spot-Up > Drives Straight > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts,UW-Whitewater,SLOB,spread,"[[-4.7, -4.7, ""unnamed offense""], [8.6, -5.9, ""unnamed offense""], [13.6, 2.4, ""unnamed offense""], [-17.4, 8.1, ""Jake Quast""]]",0.0,slob:m2m
2026-01-03|58|2 Joey LaChapell > Hand Off > From Dribble > Top > To Basket > Make 2 Pts,UW-Oshkosh Titans,BLOB,spread,"[[-6.9, 10.3, ""Brandon Beck""], [-26.0, -6.2, ""Michael Metcalf-Grassman""], [17.8, -0.4, ""unnamed offense""], [15.1, -3.7, ""unnamed offense""]]",2.0,blob(box-cut corner-pop):m2m
2026-01-03|72|13 Logan Rindfleisch > Spot-Up > Drives Left > To Basket > Miss 2 Pts,UW-Oshkosh Titans,BLOB,spread,"[[6.8, 12.3, ""unnamed offense""], [23.9, 0.9, ""unnamed offense""], [-16.8, -4.5, ""unnamed offense""], [-14.0, -8.7, ""unnamed offense""]]",0.0,blob(box-sts):m2m
2026-01-03|88|21 Brock Marino > Cut > Basket > Make 2 Pts,UW-Whitewater,BLOB,line,"[[12.3, 6.5, ""unnamed offense""], [-3.9, -2.8, ""unnamed offense""], [-11.2, -1.2, ""unnamed offense""], [2.7, -2.5, ""unnamed offense""]]",2.0,BLOB:M2M
2026-01-03|95|24 Richie Warren > Cut > Basket > Miss 2 Pts,UW-Whitewater,BLOB,line,"[[20.6, 1.2, ""unnamed offense""], [-10.7, 1.8, ""unnamed offense""], [-0.1, -4.6, ""unnamed offense""], [-9.8, 1.7, ""unnamed offense""]]",0.0,blob: m2m
2026-01-03|98|32 Luke Bara > No Play Type > Turnover,UW-Whitewater,BLOB,line,"[[-1.9, 2.3, ""unnamed offense""], [13.7, -6.1, ""unnamed offense""], [-2.6, 2.1, ""unnamed offense""], [6.7, -1.9, ""unnamed offense""], [-16.0, 3.6, ""unnamed offense""]]",0.0,blob:m2m
2026-01-03|114|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > P&R Roll Man > Rolls to Basket > Miss 2 Pts,UW-Oshkosh Titans,BLOB,spread,"[[-14.7, -3.0, ""unnamed offense""], [12.1, 7.4, ""unnamed offense""], [5.5, 4.3, ""unnamed offense""], [-2.9, -8.6, ""unnamed offense""]]",0.0,blob(box-sts):m2m
2026-01-03|118|12 Jake Quast > No Play Type > Foul,UW-Whitewater,BLOB,line,"[[-5.7, 1.4, ""unnamed offense""], [0.4, -1.0, ""unnamed offense""], [-1.8, 0.3, ""Jake Quast""], [7.1, -0.6, ""unnamed offense""]]",0.0,blob:m2m
2026-01-03|143|2 Kelton Mcewen > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts,UW-Whitewater,BLOB,line,"[[-12.3, -3.3, ""unnamed offense""], [2.9, 0.8, ""unnamed offense""], [-5.3, 4.0, ""unnamed offense""], [14.7, -1.5, ""Jake Quast""]]",0.0,blob:m2m
2026-01-03|152|22 Joey Berezowitz > Hand Off > From Stationary > Left > To Basket > Make 2 Pts,UW-Whitewater,BLOB,line,"[[4.7, 1.1, ""unnamed offense""], [8.3, 1.8, ""unnamed offense""], [-6.6, -2.2, ""unnamed offense""], [-6.3, -0.8, ""unnamed offense""]]",2.0,blob:m2m
