defense_team,defender,offense_team,guards,possessions,ppp,share_of_his_possessions
UW-Oshkosh Titans,Brandon Beck,UW-Whitewater,unnamed offense,32,1.13,76.0
UW-Oshkosh Titans,Brandon Beck,UW-Whitewater,Jake Quast,10,1.09,24.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,UW-Whitewater,unnamed offense,34,1.3,85.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,UW-Whitewater,Jake Quast,6,1.62,15.0
UW-Oshkosh Titans,unnamed defense,UW-Whitewater,unnamed offense,90,0.68,80.0
UW-Oshkosh Titans,unnamed defense,UW-Whitewater,Jake Quast,22,1.19,20.0
UW-Whitewater,Jake Quast,UW-Oshkosh Titans,unnamed offense,29,0.84,56.0
UW-Whitewater,Jake Quast,UW-Oshkosh Titans,Brandon Beck,12,0.87,23.0
UW-Whitewater,Jake Quast,UW-Oshkosh Titans,Michael Metcalf-Grassman,11,1.2,21.0
UW-Whitewater,unnamed defense,UW-Oshkosh Titans,unnamed offense,76,0.9,58.0
UW-Whitewater,unnamed defense,UW-Oshkosh Titans,Brandon Beck,31,1.25,24.0
UW-Whitewater,unnamed defense,UW-Oshkosh Titans,Michael Metcalf-Grassman,23,1.73,18.0
