clip_key,game_date,offense_team,defense_team,player,role,with,result,points,play_title,synergy_string
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,unnamed offense,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,Michael Metcalf-Grassman,Turnover,0.0,5 out(HI BS): m2m D(over-switch),21 Carter Thomas > No Play Type > Turnover
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,unnamed defense,guarding,unnamed offense,Non Shooting Foul,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul
2026-01-03|3|24 Richie Warren > Cut > Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding,unnamed offense,Make 2 Pts,2.0,blob(line)-m2m,24 Richie Warren > Cut > Basket > Make 2 Pts
2026-01-03|3|24 Richie Warren > Cut > Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Brandon Beck,guarding,unnamed offense,Make 2 Pts,2.0,blob(line)-m2m,24 Richie Warren > Cut > Basket > Make 2 Pts
2026-01-03|3|24 Richie Warren > Cut > Basket > Make 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding,unnamed offense,Make 2 Pts,2.0,blob(line)-m2m,24 Richie Warren > Cut > Basket > Make 2 Pts
2026-01-03|4|0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,Brandon Beck,Make 3 Pts,3.0,5 out(bs):m2m,0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
2026-01-03|4|0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,unnamed defense,guarding,Michael Metcalf-Grassman,Make 3 Pts,3.0,5 out(bs):m2m,0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
