defense_team,defender,role,screen_type,coverage,coverage_source,times,ppp,share_pct
UW-Oshkosh Titans,Brandon Beck,guarding the player screened,Off-ball screen,rj,coach tag,2,2.5,67.0
UW-Oshkosh Titans,Brandon Beck,guarding the player screened,Off-ball screen,separated (under / behind),tracking estimate,1,0.0,33.0
UW-Oshkosh Titans,Brandon Beck,guarding the screener,Off-ball screen,rj,coach tag,2,1.5,40.0
UW-Oshkosh Titans,Brandon Beck,guarding the screener,Off-ball screen,separated (under / behind),tracking estimate,2,1.0,40.0
UW-Oshkosh Titans,Brandon Beck,guarding the screener,Off-ball screen,unclear,tracking estimate,1,0.0,20.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding the player screened,Off-ball screen,rj,coach tag,2,1.0,67.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding the player screened,Off-ball screen,unclear,tracking estimate,1,2.0,33.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding the screener,Off-ball screen,rj,coach tag,1,0.0,33.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding the screener,Off-ball screen,separated (under / behind),tracking estimate,1,3.0,33.0
UW-Oshkosh Titans,Michael Metcalf-Grassman,guarding the screener,Off-ball screen,unclear,tracking estimate,1,2.0,33.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Off-ball screen,rj,coach tag,30,0.79,57.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Off-ball screen,separated (under / behind),tracking estimate,11,0.6,21.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Off-ball screen,unclear,tracking estimate,10,0.5,19.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Ball screen,unclear,tracking estimate,2,1.0,100.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Off-ball screen,double madz,coach tag,1,0.0,2.0
UW-Oshkosh Titans,unnamed defense,guarding the player screened,Off-ball screen,stayed attached (lock / trail),tracking estimate,1,2.0,2.0
UW-Oshkosh Titans,unnamed defense,guarding the screener,Off-ball screen,rj,coach tag,16,0.77,48.0
UW-Oshkosh Titans,unnamed defense,guarding the screener,Off-ball screen,separated (under / behind),tracking estimate,8,0.14,24.0
UW-Oshkosh Titans,unnamed defense,guarding the screener,Off-ball screen,unclear,tracking estimate,7,0.33,21.0
UW-Oshkosh Titans,unnamed defense,guarding the screener,Off-ball screen,double madz,coach tag,1,0.0,3.0
UW-Oshkosh Titans,unnamed defense,guarding the screener,Off-ball screen,stayed attached (lock / trail),tracking estimate,1,2.0,3.0
UW-Whitewater,Jake Quast,guarding the player screened,Off-ball screen,unclear,tracking estimate,5,0.6,71.0
UW-Whitewater,Jake Quast,guarding the player screened,Off-ball screen,m2m,coach tag,1,1.0,14.0
UW-Whitewater,Jake Quast,guarding the player screened,Off-ball screen,stay,coach tag,1,0.0,14.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,unclear,tracking estimate,9,0.89,31.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,separated (under / behind),tracking estimate,8,1.0,28.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,rj,coach tag,5,1.67,17.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,Top Lock,coach tag,3,1.0,10.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,stayed attached (lock / trail),tracking estimate,2,1.0,7.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,12,coach tag,1,0.0,3.0
UW-Whitewater,unnamed defense,guarding the player screened,Off-ball screen,Over,coach tag,1,0.0,3.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,unclear,tracking estimate,9,0.56,41.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,separated (under / behind),tracking estimate,7,1.25,32.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,rj,coach tag,2,2.0,9.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,Top Lock,coach tag,1,3.0,5.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,m2m,coach tag,1,1.0,5.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,stay,coach tag,1,0.0,5.0
UW-Whitewater,unnamed defense,guarding the screener,Off-ball screen,stayed attached (lock / trail),tracking estimate,1,2.0,5.0
