offense_team,screener,screened,screen_type,times,ppp,rolls,pops,slips
UW-Oshkosh Titans,unnamed offense,unnamed offense,Off-ball screen,22,0.88,1,1,0
UW-Oshkosh Titans,unnamed offense,Brandon Beck,Off-ball screen,5,1.2,2,0,0
UW-Oshkosh Titans,unnamed offense,Michael Metcalf-Grassman,Off-ball screen,4,0.75,0,0,0
UW-Oshkosh Titans,Brandon Beck,unnamed offense,Off-ball screen,2,1.0,0,0,0
UW-Oshkosh Titans,Michael Metcalf-Grassman,unnamed offense,Off-ball screen,2,0.5,0,0,0
UW-Oshkosh Titans,Brandon Beck,Michael Metcalf-Grassman,Off-ball screen,1,0.0,0,0,0
UW-Whitewater,unnamed offense,unnamed offense,Off-ball screen,48,0.79,2,0,1
UW-Whitewater,Jake Quast,unnamed offense,Off-ball screen,9,1.0,0,0,0
UW-Whitewater,unnamed offense,Jake Quast,Off-ball screen,2,0.0,0,0,0
UW-Whitewater,unnamed offense,Jake Quast,Ball screen,1,2.0,0,0,0
UW-Whitewater,unnamed offense,unnamed offense,Ball screen,1,0.0,0,0,0
