clip_key,game_date,offense_team,defense_team,screen_type,screener,screened,screened_defender,screener_defender,coverage,coverage_source,coverage_tracking_estimate,screener_action,points,play_title,synergy_string,confidence
2026-01-03|2|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,unclear,tracking estimate,unclear,,,5 out(Over): m2m d,15 Collin Madson > Non Possession > Non Shooting Foul,0.0
2026-01-03|5|24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,1.0,::Press(RJ),24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul,0.0
2026-01-03|7|32 Luke Bara > Transition > Ballhandler > Turnover,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,unclear,,0.0,::press(rj),32 Luke Bara > Transition > Ballhandler > Turnover,0.0
2026-01-03|10|10 Nate Nazos > Transition > Left Wing > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,Brandon Beck,unnamed offense,unnamed defense,,separated (under / behind),tracking estimate,separated (under / behind),,0.0,tran,10 Nate Nazos > Transition > Left Wing > Turnover,0.16
2026-01-03|11|21 Brock Marino > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,separated (under / behind),,,5out:m2m(rj),21 Brock Marino > Non Possession > Non Shooting Foul,0.0
2026-01-03|12|21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,Brandon Beck,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,0.0,slob:m2m,21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts,0.29
2026-01-03|16|15 Collin Madson > Non Possession > Non Shooting Foul,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),slip,,5out(bs-slip):Press(m2m),15 Collin Madson > Non Possession > Non Shooting Foul,0.0
2026-01-03|17|24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,unclear,tracking estimate,unclear,,0.0,blob(line):m2m,24 Richie Warren > Spot-Up > Drives Left > Dribble Jumper > Short to < 17' > Miss 2 Pts,0.0
2026-01-03|18|0 Brandon Beck > Spot-Up > Drives Left > To Basket > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,Michael Metcalf-Grassman,unnamed defense,unnamed defense,unclear,tracking estimate,unclear,,0.0,tran:m2m,0 Brandon Beck > Spot-Up > Drives Left > To Basket > Turnover,0.37
2026-01-03|20|4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,separated (under / behind),tracking estimate,separated (under / behind),,,::m2m,4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,0.0
2026-01-03|24|32 Luke Bara > Non Possession > No Violation,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,unclear,,,:;press(rj),32 Luke Bara > Non Possession > No Violation,0.0
2026-01-03|27|15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,unnamed defense,rj,coach tag,separated (under / behind),,0.0,5out(ds):press(rj),15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts,0.0
2026-01-03|29|32 Luke Bara > No Play Type > Turnover,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,rj,coach tag,separated (under / behind),,0.0,:press(rj),32 Luke Bara > No Play Type > Turnover,0.0
2026-01-03|43|13 Logan Rindfleisch > No Play Type > Turnover,2026-01-03,UW-Oshkosh Titans,UW-Whitewater,Off-ball screen,unnamed offense,unnamed offense,unnamed defense,,Over,coach tag,separated (under / behind),,0.0,bs(stay):m2m(over),13 Logan Rindfleisch > No Play Type > Turnover,0.0
2026-01-03|45|11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,Jake Quast,unnamed offense,unnamed defense,unnamed defense,double madz,coach tag,separated (under / behind),,0.0,::m2m(double madz),11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,0.1
2026-01-03|48|15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,2026-01-03,UW-Whitewater,UW-Oshkosh Titans,Off-ball screen,Jake Quast,unnamed offense,unnamed defense,Brandon Beck,rj,coach tag,unclear,,3.0,cheetah:m2m(rj),15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts,0.18
