clip_key,offense_team,set_id
2026-01-03|20|4 Michael Metcalf-Grassman > Non Possession > Non Shooting Foul,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|23|20 Vitorio Dante > Non Possession > Shot Clock Violation,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|60|21 Carter Thomas > Spot-Up > Drives Right > To Basket > Foul,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|89|4 Michael Metcalf-Grassman > Spot-Up > Drives Right > To Basket > Make 2 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|182|2 Joey LaChapell > No Play Type > Foul,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|184|21 Carter Thomas > No Play Type > Foul,UW-Oshkosh Titans,UW-Oshkosh T set 1
2026-01-03|55|1 Aiden Hawkinson > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 2
2026-01-03|101|4 Michael Metcalf-Grassman > Cut > Basket > Make 2 Pts Foul > 1 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 2
2026-01-03|105|13 Logan Rindfleisch > P&R Ball Handler > Left P&R > Side > Go Away from Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 2
2026-01-03|144|23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 2
2026-01-03|179|0 Brandon Beck > No Play Type > Foul,UW-Oshkosh Titans,UW-Oshkosh T set 2
2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|15|11 Jay Dalton > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|43|13 Logan Rindfleisch > No Play Type > Turnover,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|57|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|81|11 Jay Dalton > No Play Type > Turnover,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|82|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|85|2 Joey LaChapell > Spot-Up > Drives Right > Turnover,UW-Oshkosh Titans,UW-Oshkosh T set 3
2026-01-03|8|5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > Drives Left > To Basket > Miss 2 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 4
2026-01-03|30|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 4
2026-01-03|68|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Carter Thomas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,UW-Oshkosh Titans,UW-Oshkosh T set 4
