offense_team,set_id,clips,most_common_call,call_share_pct,situations,ppp,layout,example_clip,example_titles
UW-Oshkosh Titans,UW-Oshkosh T set 3,7,5 Out Motion,57,Half court 7,0.0,"[[18.9, -4.5, ""Michael Metcalf-Grassman""], [1.2, 8.0, ""unnamed offense""], [-15.4, -5.4, ""unnamed offense""], [-4.7, 1.8, ""Brandon Beck""]]",2026-01-03|1|21 Carter Thomas > No Play Type > Turnover,5 out(HI BS): m2m D(over-switch) | 5out(bs):m2m(switch) | bs(stay):m2m(over)
UW-Oshkosh Titans,UW-Oshkosh T set 4,7,Ball Screen,29,"Half court 6, ATO 1",0.83,"[[45.5, -3.9, ""unnamed offense""], [-16.1, -3.0, ""unnamed offense""], [-5.0, 8.9, ""unnamed offense""], [-30.7, 1.5, ""unnamed offense""], [6.3, -3.5, ""unnamed offense""]]",2026-01-03|164|20 Vitorio Dante > No Play Type > To Basket > Miss 2 Pts,5out(pass-cut-bs):m2m | double bs:(under) | spain:m2m (stay)
UW-Oshkosh Titans,UW-Oshkosh T set 5,7,5 Out Motion,14,"Half court 6, ATO 1",1.17,"[[7.1, -8.9, ""unnamed offense""], [-28.3, 3.9, ""unnamed offense""], [25.4, -4.0, ""Michael Metcalf-Grassman""], [-6.2, 14.5, ""unnamed offense""], [2.0, -5.5, ""Brandon Beck""]]",2026-01-03|149|2 Joey LaChapell > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 0 Brandon Beck > P&R Roll Man > Pick and Pops > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,::m2m | 5out(bs):m2m(tl) | 5out:m2m
UW-Oshkosh Titans,UW-Oshkosh T set 1,6,Offensive Rebound,17,Half court 6,1.6,"[[-25.8, -0.5, ""unnamed offense""], [-3.5, -1.7, ""unnamed offense""], [26.2, -4.0, ""Michael Metcalf-Grassman""], [3.1, 6.3, ""unnamed offense""]]",2026-01-03|60|21 Carter Thomas > Spot-Up > Drives Right > To Basket > Foul,::m2m | Vitorio Dante | ::m2m
UW-Oshkosh Titans,UW-Oshkosh T set 2,5,5 Out Motion,20,Half court 5,0.8,"[[-2.3, -4.3, ""unnamed offense""], [3.3, 2.4, ""unnamed offense""], [-7.8, 8.4, ""Brandon Beck""], [6.8, -6.4, ""unnamed offense""]]",2026-01-03|179|0 Brandon Beck > No Play Type > Foul,Aiden Hawkinson | ::m2m | 5out(DD):m2m
UW-Whitewater,UW-Whitewate set 1,9,5 Out Motion,22,Half court 9,1.83,"[[-6.8, -3.0, ""unnamed offense""], [5.5, 4.7, ""unnamed offense""], [-2.1, -7.2, ""unnamed offense""], [-8.9, -0.7, ""Jake Quast""], [12.4, 6.2, ""unnamed offense""]]",2026-01-03|122|32 Luke Bara > No Play Type > Foul,5out:m2m(rj) | :;press(rj) | ::press(rj)
UW-Whitewater,UW-Whitewate set 4,7,5 Out Motion,29,Half court 7,0.86,"[[4.8, 2.7, ""unnamed offense""], [0.2, -6.2, ""unnamed offense""], [10.6, -4.2, ""Jake Quast""], [-15.6, 7.8, ""unnamed offense""]]",2026-01-03|166|24 Richie Warren > Spot-Up > Drives Left > To Basket > Make 2 Pts Foul > 1 Pts,5out(ds):press(rj) | 5out(stagger-bs):press(rj)(switch) | cheetah:m2m(rj)
UW-Whitewater,UW-Whitewate set 2,6,5 Out Motion,33,"Half court 5, ATO 1",0.17,"[[-7.9, 1.1, ""unnamed offense""], [1.4, -6.2, ""unnamed offense""], [-19.9, -0.5, ""unnamed offense""], [19.0, 8.8, ""unnamed offense""], [7.3, -3.2, ""unnamed offense""]]",2026-01-03|131|0 Collin Madson > Hand Off > From Dribble > Right > To Basket > Miss 2 Pts,::Press(RJ) | :press(rj) | 5out(bs-reject):m2m
UW-Whitewater,UW-Whitewate set 6,6,5 Out Motion,17,Half court 6,1.75,"[[8.7, 1.3, ""unnamed offense""], [-9.0, -3.4, ""unnamed offense""], [5.5, 2.2, ""unnamed offense""], [-5.3, -0.1, ""unnamed offense""]]",2026-01-03|16|15 Collin Madson > Non Possession > Non Shooting Foul,5out(bs-slip):Press(m2m) | ::m2m | BS(reject):press(rj)
UW-Whitewater,UW-Whitewate set 7,6,5 Out Motion,33,Half court 6,0.5,"[[5.8, -4.8, ""unnamed offense""], [13.5, -0.2, ""unnamed offense""], [3.5, -3.0, ""Jake Quast""], [-22.8, 8.0, ""unnamed offense""]]",2026-01-03|155|21 Brock Marino > Spot-Up > Drives Right > To Basket > Foul,5out(over):m2m(rj) | 5out(bs-ghost):press(m2m) | bs:press(rj)(switch)
UW-Whitewater,UW-Whitewate set 5,5,Offensive Rebound,20,Half court 5,0.0,"[[-9.8, 3.1, ""unnamed offense""], [14.8, -2.8, ""unnamed offense""], [9.0, -0.9, ""unnamed offense""], [4.3, -1.3, ""Jake Quast""], [-18.3, 1.9, ""unnamed offense""]]",2026-01-03|150|0 Collin Madson > ISO > Left > Drives Left > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > Drives Left > To Basket > Miss 2 Pts,::m2m(double madz) | :press(rj) | :Press(rj)
UW-Whitewater,UW-Whitewate set 3,3,Offensive Rebound,33,Half court 3,1.0,"[[-7.6, -6.5, ""unnamed offense""], [26.7, 5.7, ""unnamed offense""], [-4.3, 8.3, ""unnamed offense""], [-14.8, -7.4, ""unnamed offense""]]",2026-01-03|94|11 Jr Lukenbill > Non Possession > No Violation,:press(rj) | oreb | :press(rj)
