lineup,possessions,spacing_ft_approx,width_ft_approx,crowded_pct,ppp
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Richie Warren",18,9.5,28.4,47.0,0.78
,12,9.2,26.2,43.0,0.0
"Collin Madson, Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz",8,12.2,37.2,41.0,0.62
"Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren",6,9.7,29.8,38.0,0.83
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen",6,11.0,31.4,27.0,1.0
"Brock Marino, Collin Madson, Jake Quast, Luke Bara, Richie Warren",5,9.9,27.2,33.0,1.6
"Brock Marino, Collin Madson, Darius Chestnut, Luke Bara, Richie Warren",3,9.7,27.7,45.0,0.0
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Tyshawn Teague-Johnson",3,12.7,28.9,60.0,1.0
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Richie Warren",2,7.9,23.8,75.0,1.5
"Brock Marino, Collin Madson, JR Lukenbill, Jake Quast, Luke Bara",2,8.6,20.9,40.0,1.0
"Collin Madson, Darius Chestnut, Joey Berezowitz, Richie Warren, Tyshawn Teague-Johnson",2,9.9,30.0,37.0,2.0
"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",2,12.0,34.9,19.0,1.5
"Collin Madson, JR Lukenbill, Jake Quast, Luke Bara, Richie Warren",2,9.9,26.6,38.0,1.0
"Collin Madson, JR Lukenbill, Joey Berezowitz, Luke Bara, Richie Warren",2,7.6,22.8,83.0,1.0
"Collin Madson, Darius Chestnut, Joey Berezowitz, Luke Bara, Richie Warren",2,10.8,28.3,3.0,0.0
"Brock Marino, Collin Madson, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,5.8,17.8,100.0,0.0
"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",1,7.4,26.6,56.0,0.0
"Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",1,10.5,28.8,50.0,2.0
