lineup,GP,MIN,+/-,clean_gp,clean_min,clean_pm,per40,shrunk_per40
"Brock Marino, Collin Madson, Isaac Verges, Luke Bara, Richie Warren",6,50.4,2.0,6,50.4,2.0,1.6,0.88
"Brock Marino, Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara",4,37.0,4.0,4,37.0,4.0,4.3,2.08
"Collin Madson, Isaac Verges, Luke Bara, Rashad Rogers, Richie Warren",3,13.8,3.0,3,13.8,3.0,8.7,2.23
"Darius Chestnut, JR Lukenbill, Jake Quast, Kelton McEwen, Tyshawn Teague-Johnson",1,12.6,9.0,1,12.6,9.0,28.6,6.84
"Brock Marino, Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren",5,12.3,-4.0,5,12.3,-4.0,-13.0,-3.06
"Brock Marino, Collin Madson, JR Lukenbill, Luke Bara, Richie Warren",1,11.2,4.0,1,11.2,4.0,14.3,3.12
"Brock Marino, Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen",5,10.1,1.0,5,10.1,1.0,4.0,0.8
"Collin Madson, Isaac Verges, JR Lukenbill, Jake Quast, Luke Bara",2,10.1,10.0,2,10.1,10.0,39.6,7.98
"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Kelton McEwen",3,9.6,24.0,3,9.6,24.0,100.0,19.35
"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Rashad Rogers",2,8.8,4.0,2,8.8,4.0,18.2,3.28
"Collin Madson, Jake Quast, Joey Berezowitz, Kelton McEwen, Richie Warren",4,7.5,9.0,4,7.5,9.0,48.0,7.58
"Brock Marino, Collin Madson, Darius Chestnut, Luke Bara, Richie Warren",3,7.3,-13.0,3,7.3,-13.0,-71.2,-10.99
"Collin Madson, Joey Berezowitz, Luke Bara, Richie Warren, Tyshawn Teague-Johnson",3,6.9,-6.0,3,6.9,-6.0,-34.8,-5.12
"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, JR Lukenbill",1,6.7,7.0,1,6.7,7.0,41.8,6.0
"Collin Madson, Isaac Verges, Jake Quast, Kelton McEwen, Rashad Rogers",1,6.4,3.0,1,6.4,3.0,18.8,2.59
"Collin Madson, Joey Berezowitz, Kelton McEwen, Rashad Rogers, Richie Warren",1,6.2,7.0,1,6.2,7.0,45.2,6.06
"Brock Marino, Collin Madson, Isaac Verges, Jake Quast, Luke Bara",4,6.0,-8.0,4,6.0,-8.0,-53.3,-6.96
"Darius Chestnut, Jake Quast, Joey Berezowitz, Rashad Rogers, Richie Warren",1,5.9,9.0,1,5.9,9.0,61.0,7.84
"Brock Marino, Collin Madson, JR Lukenbill, Joey Berezowitz, Kelton McEwen",2,5.3,2.0,2,5.3,2.0,15.1,1.77
"Brock Marino, Collin Madson, Darius Chestnut, Isaac Verges, Jake Quast",2,5.2,-5.0,2,5.2,-5.0,-38.5,-4.42
"Collin Madson, Jake Quast, Joey Berezowitz, Luke Bara, Richie Warren",4,5.1,3.0,4,5.1,3.0,23.5,2.66
"Collin Madson, Darius Chestnut, Joey Berezowitz, Luke Bara, Richie Warren",2,4.8,1.0,2,4.8,1.0,8.3,0.89
"Collin Madson, Darius Chestnut, JR Lukenbill, Jake Quast, Joey Berezowitz",1,4.7,-3.0,1,4.7,-3.0,-25.5,-2.68
"Brock Marino, Darius Chestnut, Jake Quast, Joey Berezowitz, Richie Warren",3,4.6,9.0,3,4.6,9.0,78.3,8.07
"Collin Madson, Isaac Verges, JR Lukenbill, Luke Bara, Richie Warren",2,4.3,-3.0,2,4.3,-3.0,-27.9,-2.71
"Collin Madson, JR Lukenbill, Jake Quast, Joey Berezowitz, Richie Warren",2,4.2,-6.0,2,4.2,-6.0,-57.1,-5.43
"Brock Marino, JR Lukenbill, Jake Quast, Joey Berezowitz, Luke Bara",2,4.2,7.0,2,4.2,7.0,66.7,6.33
"Collin Madson, Joey Berezowitz, Kelton McEwen, Rashad Rogers, Tyshawn Teague-Johnson",1,4.0,4.0,1,4.0,4.0,40.0,3.64
"Darius Chestnut, Jake Quast, Joey Berezowitz, Kelton McEwen, Tyshawn Teague-Johnson",1,4.0,5.0,1,4.0,5.0,50.0,4.55
"Austin Ambrose, Collin Madson, Darius Chestnut, Isaac Verges, Richie Warren",2,3.8,1.0,2,3.8,1.0,10.5,0.91
"Austin Ambrose, Isaiah Robinson, Kelton McEwen, Trent Grunewald, Tristian Lynch",1,3.3,-1.0,1,3.3,-1.0,-12.1,-0.92
"Brock Marino, Darius Chestnut, Isaac Verges, JR Lukenbill, Luke Bara",1,3.3,4.0,1,3.3,4.0,48.5,3.7
"Brock Marino, Collin Madson, Jake Quast, Kelton McEwen, Richie Warren",1,3.3,1.0,1,3.3,1.0,12.1,0.92
"Agape Keyes Jr., Isaiah Robinson, Mauryon Turner, Rashad Rogers, Trent Grunewald",1,3.2,1.0,1,3.2,1.0,12.5,0.93
"Austin Ambrose, Darius Chestnut, Jake Quast, Joey Berezowitz, Richie Warren",1,3.2,0.0,1,3.2,0.0,0.0,0.0
"Collin Madson, JR Lukenbill, Joey Berezowitz, Luke Bara, Richie Warren",2,3.1,-1.0,2,3.1,-1.0,-12.9,-0.93
"Brock Marino, Collin Madson, Kelton McEwen, Mauryon Turner, Richie Warren",1,3.0,9.0,1,3.0,9.0,120.0,8.37
"Brock Marino, Isaac Verges, JR Lukenbill, Kelton McEwen, Richie Warren",1,3.0,4.0,1,3.0,4.0,53.3,3.72
