opponent,game_date,event_order,period,time_remaining,team,player,event_type,raw_text,shot_type,uww_score,opp_score,uww_lineup,opp_lineup,video_description
Carroll (WI) Pioneers,2024-11-12,377,H2,04:55 (H2),Carroll (WI) Pioneers,Erik Victorson,foul,Erik Victorson Commits Personal Foul,,61.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",14 Jt Hoytink > Non Possession > Non Shooting Foul
Carroll (WI) Pioneers,2024-11-12,378,H2,04:44 (H2),UW-Whitewater,Jameer Barker,turnover,Jameer Barker Turnover (Lost Ball),,61.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",1 Jameer Barker > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > To Basket > Turnover
Carroll (WI) Pioneers,2024-11-12,379,H2,04:44 (H2),Carroll (WI) Pioneers,Lamar Smith,steal,Lamar Smith Steals,,61.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",
Carroll (WI) Pioneers,2024-11-12,380,H2,04:32 (H2),Carroll (WI) Pioneers,Jacob Naber,turnover,Jacob Naber Turnover (Bad Pass),,61.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",41 Jacob Naber > Transition > Trailer > Turnover
Carroll (WI) Pioneers,2024-11-12,381,H2,04:32 (H2),UW-Whitewater,Isaac Verges,steal,Isaac Verges Steals,,61.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",
Carroll (WI) Pioneers,2024-11-12,382,H2,04:28 (H2),UW-Whitewater,Isaac Verges,made_shot,Isaac Verges Makes 2PT Layup,2,63.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",0 Isaac Verges > Transition > Ballhandler > To Basket > Make 2 Pts
Carroll (WI) Pioneers,2024-11-12,383,H2,04:19 (H2),Carroll (WI) Pioneers,Erik Victorson,missed_shot,Erik Victorson Misses 3PT Jump Shot,3,63.0,55.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",34 Erik Victorson > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
Carroll (WI) Pioneers,2024-11-12,385,H2,04:14 (H2),Carroll (WI) Pioneers,Jacob Naber,made_shot,Jacob Naber Makes 2PT Layup,2,63.0,57.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",41 Jacob Naber > Offensive Rebound > Short > Scoring Attempt > At Basket > Make 2 Pts
Carroll (WI) Pioneers,2024-11-12,388,H2,03:54 (H2),UW-Whitewater,Jameer Barker,turnover,Jameer Barker Turnover (Lost Ball),,63.0,57.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",1 Jameer Barker > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
Carroll (WI) Pioneers,2024-11-12,389,H2,03:54 (H2),Carroll (WI) Pioneers,Eckahelo Simpson,steal,Eckahelo Simpson Steals,,63.0,57.0,"Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Eckahelo Simpson, Erik Victorson, Jacob Naber, Kobe Simpson, Lamar Smith",
