opponent,outcome,category,side,display_label
Carroll (WI) Pioneers,W,(no matched category),,: (no matched category)
Cornell College Rams,L,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Cornell College Rams,L,Rebounding,UWW,UWW: Crash the Boards
St. Olaf Oles,W,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Aurora Spartans,W,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Aurora Spartans,W,Rebounding,UWW,UWW: Crash the Boards
Coe Kohawks,L,Free Throws,UWW,UWW: Get to the FT Line
Coe Kohawks,L,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Coe Kohawks,L,Rebounding,UWW,UWW: Crash the Boards
Carthage Firebirds,L,Rebounding,UWW,UWW: Crash the Boards
Averett Cougars,W,Fouls / Discipline,OPP,OPP: They Draw Fouls
Averett Cougars,W,Rebounding,UWW,UWW: Crash the Boards
Virginia Wesleyan Marlins,L,Rebounding,UWW,UWW: Crash the Boards
Simpson Storm,L,Rebounding,UWW,UWW: Crash the Boards
Ripon Red Hawks,W,(no matched category),,: (no matched category)
Hope Flying Dutchmen,W,Rebounding,UWW,UWW: Crash the Boards
UW-Stout Blue Devils,L,Ball Movement / Assists,UWW,UWW: Share the Ball
UW-Stout Blue Devils,L,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
UW-Stout Blue Devils,L,Rebounding,UWW,UWW: Crash the Boards
UW-Oshkosh Titans,W,(no matched category),,: (no matched category)
UW-Eau Claire Blugolds,L,(no matched category),,: (no matched category)
UW-Platteville Pioneers,W,Rebounding,UWW,UWW: Crash the Boards
UW-La Crosse Eagles,L,Fouls / Discipline,OPP,OPP: They Draw Fouls
UW-La Crosse Eagles,L,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
UW-Stevens Point Pointers,L,(no matched category),,: (no matched category)
UW-River Falls Falcons,W,Ball Movement / Assists,UWW,UWW: Share the Ball
