opponent,game_date,jersey_number,name,position,height,weight,class_year,role,player_notes,keys_to_defending,has_scouting_report
Carroll (WI) Pioneers,2024-11-12,#12,Kobe Simpson,G,"6'2""",185 lbs,SR,Starter,"LH but prefers to drive right. (Game #1: 23 points, 3 made 3's)",Locate in transition,True
Carroll (WI) Pioneers,2024-11-12,#10,Eckahelo Simpson,G/F,"6'3""",185 lbs,SR,Starter,"Heavy drive 1st ( Game #1: 24 points, 8 rebounds)",Stay between him & basket..STAY DOWN,True
Carroll (WI) Pioneers,2024-11-12,#20,Justin Steinike,G,"6'1""",190 lbs,GR,Starter,Shooter-Mostly catch & shoot 3's,Locate in transition,True
Carroll (WI) Pioneers,2024-11-12,#41,Jacob Naber,F,"6'8""",230 lbs,JR,Starter,Post scorer and OREBer,NO LEFT SHOULDER!!,True
Carroll (WI) Pioneers,2024-11-12,#34,Erik Victorson,G,"6'0""",195 lbs,SR,Starter,Shooter-Mostly catch & shoot 3's,Locate in transition on the wing,True
Carroll (WI) Pioneers,2024-11-12,#44,Lamar Smith,F,"6'4""",185 lbs,JR,Bench,Back up 5 man,Exceed his effort on glass,True
Carroll (WI) Pioneers,2024-11-12,#15,Evan Bland,G,"6'0""",165 lbs,JR,Bench,Heavy driver 1st,Keep him in front,True
Cornell College Rams,2024-11-15,#12,Jaxson Provost,G,"5'10""",170 lbs,JR,Starter,"Off Guard Looking to Attack (18 FGA, 8 FTA)",Keep in Front w/ Contest,True
Cornell College Rams,2024-11-15,#5,Micah Bruer,G,"6'0""",,JR,Starter,PG - Similar Style to #3 from Ripon,Pressure and Speed Up,True
Cornell College Rams,2024-11-15,#4,Ben Carter,G/F,"6'4""",185 lbs,SR,Starter,Rebounding / Defending Wing,Active Hands on Perimeter,True
Cornell College Rams,2024-11-15,#30,Jonah Lauff,F,"6'5""",,SR,Starter,Shooter!,No C&S 3's,True
Cornell College Rams,2024-11-15,#33,Andrew Coker,F,"6'5""",170 lbs,SR,Starter,Perimeter Big,Keep in Front w/ Contest,True
Cornell College Rams,2024-11-15,#7,Damuzha Moore,F,"6'3""",,SR,Bench,Back Up Wing,Keep in Front w/ Contest,True
Cornell College Rams,2024-11-15,#6,Jacob Gonzalez,G,"6'0""",,SR,Bench,Back Up PG,Be a Helper,True
St. Olaf Oles,2024-11-16,#30,Marshun Williams,F,"6'6""",220 lbs,GR,Starter,Strong Inside/Out 5,"Be in Gap, Ready for Backscreens",True
St. Olaf Oles,2024-11-16,#15,Luke Ladwig,G,"6'1""",180 lbs,JR,Starter,2nd Leading Scorer Last Year,No Easy Looks,True
St. Olaf Oles,2024-11-16,#21,Gabe Trujillo,G,"6'4""",195 lbs,JR,Starter,Aggressive Cutter,Locate on Post Touches,True
