opponent,game_date,vs_opponent,location,outcome,team_score,opponent_score,point_margin
Carroll (WI) Pioneers,"Fri, Nov 8",Lakeland Muskies,Away,W,90.0,69.0,21.0
Carroll (WI) Pioneers,"Tue, Nov 12",UW-Whitewater Warhawks,Home,L,71.0,77.0,-6.0
Carroll (WI) Pioneers,"Fri, Nov 15",Greenville Panthers,Away,W,130.0,107.0,23.0
Carroll (WI) Pioneers,"Wed, Nov 20",UW-Oshkosh Titans,Away,L,64.0,83.0,-19.0
Carroll (WI) Pioneers,"Sat, Nov 23",Washington-St. Louis Bears,Home,L,66.0,81.0,-15.0
Carroll (WI) Pioneers,"Tue, Nov 26",MSOE Raiders,Home,L,80.0,88.0,-8.0
Carroll (WI) Pioneers,"Wed, Dec 4",North Park Vikings,Home,L,64.0,70.0,-6.0
Carroll (WI) Pioneers,"Sat, Dec 7",Illinois Wesleyan Titans,Home,L,66.0,72.0,-6.0
Carroll (WI) Pioneers,"Sat, Dec 14",North Central (IL) Cardinals,Away,L,66.0,68.0,-2.0
Carroll (WI) Pioneers,"Fri, Dec 20",UMass Dartmouth Corsairs,Neutral Court,W,70.0,69.0,1.0
Carroll (WI) Pioneers,"Sat, Dec 21",Widener Pride,Neutral Court,W,78.0,75.0,3.0
Carroll (WI) Pioneers,"Mon, Dec 30",Beloit Buccaneers,Away,L,62.0,66.0,-4.0
Carroll (WI) Pioneers,"Sat, Jan 4",Millikin Big Blue,Away,L,66.0,81.0,-15.0
Carroll (WI) Pioneers,"Sat, Jan 11",Wheaton (IL) Thunder,Home,W,74.0,58.0,16.0
Carroll (WI) Pioneers,"Wed, Jan 15",Elmhurst Bluejays,Home,W,84.0,77.0,7.0
Carroll (WI) Pioneers,"Sat, Jan 18",Augustana (IL) Vikings,Away,L,77.0,85.0,-8.0
Carroll (WI) Pioneers,"Wed, Jan 22",Carthage Firebirds,Away,L,68.0,88.0,-20.0
Carroll (WI) Pioneers,"Wed, Jan 29",Illinois Wesleyan Titans,Away,L,78.0,81.0,-3.0
Carroll (WI) Pioneers,"Sat, Feb 1",Millikin Big Blue,Home,L,62.0,64.0,-2.0
Carroll (WI) Pioneers,"Wed, Feb 5",Carthage Firebirds,Home,L,75.0,84.0,-9.0
Carroll (WI) Pioneers,"Sat, Feb 8",Wheaton (IL) Thunder,Away,L,81.0,91.0,-10.0
Carroll (WI) Pioneers,"Tue, Feb 11",North Park Vikings,Away,W,90.0,84.0,6.0
Carroll (WI) Pioneers,"Sat, Feb 15",Augustana (IL) Vikings,Home,W,81.0,71.0,10.0
Carroll (WI) Pioneers,"Wed, Feb 19",North Central (IL) Cardinals,Home,L,76.0,80.0,-4.0
Carroll (WI) Pioneers,"Sat, Feb 22",Elmhurst Bluejays,Away,W,83.0,68.0,15.0
Cornell College Rams,"Fri, Nov 8",Coe Kohawks,Home,L,78.0,90.0,-12.0
Cornell College Rams,"Wed, Nov 13",Eureka Red Devils,Home,W,78.0,72.0,6.0
Cornell College Rams,"Fri, Nov 15",UW-Whitewater Warhawks,Neutral Court,W,75.0,73.0,2.0
Cornell College Rams,"Sat, Nov 16",Wartburg Knights,Away,W,98.0,94.0,4.0
Cornell College Rams,"Wed, Nov 20",Coe Kohawks,Away,W,74.0,71.0,3.0
Cornell College Rams,"Sat, Nov 23",Central (IA) Dutch,Home,L,61.0,102.0,-41.0
Cornell College Rams,"Wed, Dec 4",Illinois College Blueboys,Away,W,71.0,67.0,4.0
Cornell College Rams,"Sat, Dec 7",Lake Forest Foresters,Home,W,79.0,77.0,2.0
Cornell College Rams,"Wed, Dec 11",Grinnell Pioneers,Home,L,93.0,105.0,-12.0
Cornell College Rams,"Sat, Dec 14",Beloit Buccaneers,Away,W,85.0,71.0,14.0
Cornell College Rams,"Thu, Dec 19",Simpson Storm,Away,W,79.0,71.0,8.0
Cornell College Rams,"Sat, Dec 28",North Park Vikings,Home,L,74.0,106.0,-32.0
Cornell College Rams,"Tue, Dec 31",Wartburg Knights,Away,W,79.0,71.0,8.0
Cornell College Rams,"Sat, Jan 11",Lake Forest Foresters,Away,L,72.0,95.0,-23.0
Cornell College Rams,"Tue, Jan 14",Monmouth (IL) Fighting Scots,Home,W,82.0,65.0,17.0
Cornell College Rams,"Sat, Jan 18",Lawrence Vikings,Home,W,82.0,73.0,9.0
Cornell College Rams,"Wed, Jan 22",Knox Prairie Fire,Away,W,82.0,69.0,13.0
Cornell College Rams,"Tue, Jan 28",Illinois College Blueboys,Home,L,70.0,73.0,-3.0
Cornell College Rams,"Sat, Feb 1",Ripon Red Hawks,Home,W,64.0,58.0,6.0
Cornell College Rams,"Wed, Feb 5",Grinnell Pioneers,Away,L,94.0,114.0,-20.0
Cornell College Rams,"Sat, Feb 8",Beloit Buccaneers,Home,L,62.0,67.0,-5.0
Cornell College Rams,"Tue, Feb 11",Ripon Red Hawks,Away,L,50.0,55.0,-5.0
Cornell College Rams,"Sat, Feb 15",Lawrence Vikings,Away,W,84.0,78.0,6.0
Cornell College Rams,"Wed, Feb 19",Monmouth (IL) Fighting Scots,Away,L,65.0,81.0,-16.0
Cornell College Rams,"Sat, Feb 22",Knox Prairie Fire,Home,W,98.0,68.0,30.0
St. Olaf Oles,"Wed, Oct 30",Southwest Minnesota St. Mustangs EXH,Away,L,40.0,91.0,-51.0
St. Olaf Oles,"Fri, Nov 8",UW-Stout Blue Devils,Neutral Court,W,61.0,56.0,5.0
St. Olaf Oles,"Sat, Nov 9",Wisconsin-Superior Yellowjackets,Away,L,54.0,82.0,-28.0
St. Olaf Oles,"Fri, Nov 15",Wartburg Knights,Away,L,60.0,73.0,-13.0
St. Olaf Oles,"Sat, Nov 16",UW-Whitewater Warhawks,Neutral Court,L,80.0,83.0,-3.0
St. Olaf Oles,"Wed, Nov 20",UW-River Falls Falcons,Home,L,50.0,69.0,-19.0
St. Olaf Oles,"Sat, Nov 23",Northwestern-St. Paul Eagles,Away,L,58.0,85.0,-27.0
St. Olaf Oles,"Tue, Nov 26",UW-Eau Claire Blugolds,Home,L,56.0,66.0,-10.0
St. Olaf Oles,"Sun, Dec 1",UW-Stevens Point Pointers,Away,L,50.0,72.0,-22.0
St. Olaf Oles,"Wed, Dec 4",Saint John's (MN) Johnnies,Away,L,60.0,75.0,-15.0
St. Olaf Oles,"Wed, Dec 11",Gustavus Adolphus Golden Gusties,Away,L,49.0,82.0,-33.0
St. Olaf Oles,"Sat, Jan 4",Bethel (MN) Royals,Home,L,60.0,66.0,-6.0
St. Olaf Oles,"Mon, Jan 6",Carleton Knights,Away,L,57.0,66.0,-9.0
St. Olaf Oles,"Wed, Jan 8",St. Scholastica Saints,Away,L,62.0,81.0,-19.0
