opponent,game_date,team,player,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,REB,FG%,3P%,FT%,started,MIN
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Dennis Estepp,3,1,1,1,1,0,0,0,0,0,0,0,0,1,0,100.0,100.0,,False,4.8
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Dom Burns,4,1,5,0,4,2,2,0,0,0,1,0,0,3,0,20.0,0.0,100.0,False,14.6
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Eckahelo Simpson,1,0,4,0,0,1,2,2,2,4,2,0,2,3,4,0.0,,50.0,True,27.2
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Erik Victorson,18,6,12,6,12,0,1,0,0,1,0,0,1,1,0,50.0,50.0,0.0,True,35.7
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Evan Bland,3,1,3,0,1,1,2,0,1,1,0,0,2,3,1,33.3,0.0,50.0,False,10.2
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Jacob Naber,24,11,19,0,0,2,3,7,4,2,1,1,1,2,11,57.9,,66.7,True,28.5
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Justin Steinike,4,1,5,0,2,2,2,1,5,1,1,0,1,0,6,20.0,0.0,100.0,True,28.4
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Kobe Simpson,10,4,10,0,2,2,5,0,5,1,1,0,3,3,5,40.0,0.0,40.0,True,31.4
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Lamar Smith,4,2,3,0,0,0,2,1,4,1,1,1,1,1,5,66.7,,0.0,False,13.3
Carroll (WI) Pioneers,2024-11-12,Carroll (WI) Pioneers,Nick Vaneekeren,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,,,,False,3.6
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Carter Capstran,21,10,17,1,5,0,0,3,8,1,0,1,1,3,11,58.8,20.0,,True,33.4
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Collin Madson,3,1,1,1,1,0,0,0,0,0,0,0,0,2,0,100.0,100.0,,True,19.2
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Isaac Verges,2,1,2,0,0,0,0,1,4,0,4,0,0,2,5,50.0,,,False,18.8
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,JT Hoytink,4,2,5,0,0,0,0,0,3,0,1,0,0,3,3,40.0,,,False,23.6
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Jake Quast,2,1,3,0,2,0,0,3,0,1,0,1,0,4,3,33.3,0.0,,True,19.5
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Jameer Barker,29,11,16,0,0,7,10,0,0,3,3,0,3,2,0,68.8,,70.0,True,30.6
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Joey Berezowitz,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,,,0.0,False,5.7
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Luke Bara,14,6,13,0,4,2,4,0,3,1,2,0,3,1,3,46.2,0.0,50.0,True,33.2
Carroll (WI) Pioneers,2024-11-12,UW-Whitewater,Richie Warren,2,0,5,0,2,2,2,0,4,0,0,1,0,2,4,0.0,0.0,100.0,False,13.8
Cornell College Rams,2024-11-15,Cornell College Rams,Arnav Jain,4,1,5,1,4,1,2,0,0,1,1,0,0,1,0,20.0,25.0,50.0,True,19.5
Cornell College Rams,2024-11-15,Cornell College Rams,Caleb Leslie,3,1,5,1,5,0,0,1,1,1,0,0,1,1,2,20.0,20.0,,False,20.0
Cornell College Rams,2024-11-15,Cornell College Rams,Connor Barnett,9,4,7,0,1,1,1,0,2,4,0,0,0,1,2,57.1,0.0,100.0,False,30.3
Cornell College Rams,2024-11-15,Cornell College Rams,Dylan Hurley,0,0,1,0,0,0,0,1,1,7,0,0,2,5,2,0.0,,,True,18.2
Cornell College Rams,2024-11-15,Cornell College Rams,Jaxson Herring,2,1,2,0,0,0,0,1,2,0,0,0,0,1,3,50.0,,,False,6.4
Cornell College Rams,2024-11-15,Cornell College Rams,Jayden Meeker,10,4,16,0,3,2,2,3,5,5,4,0,2,1,8,25.0,0.0,100.0,True,38.2
Cornell College Rams,2024-11-15,Cornell College Rams,Jaylan Bradberry,7,3,4,1,2,0,0,1,3,0,1,0,1,2,4,75.0,50.0,,True,23.1
Cornell College Rams,2024-11-15,Cornell College Rams,Julian Cleary,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,,,False,6.7
Cornell College Rams,2024-11-15,Cornell College Rams,Nate Jacobson,18,7,12,4,8,0,1,1,1,1,2,1,0,0,2,58.3,50.0,0.0,False,23.5
Cornell College Rams,2024-11-15,Cornell College Rams,Zach Ingle,22,9,17,4,5,0,1,0,3,1,0,0,1,1,3,52.9,80.0,0.0,True,37.4
Cornell College Rams,2024-11-15,UW-Whitewater,Carter Capstran,20,8,12,0,0,4,6,4,8,2,0,0,3,2,12,66.7,,66.7,True,37.5
Cornell College Rams,2024-11-15,UW-Whitewater,Collin Madson,8,2,9,2,6,2,2,3,1,5,0,0,1,2,4,22.2,33.3,100.0,True,31.0
Cornell College Rams,2024-11-15,UW-Whitewater,Isaac Verges,5,1,1,1,1,2,2,0,2,1,0,0,1,2,2,100.0,100.0,100.0,False,21.2
Cornell College Rams,2024-11-15,UW-Whitewater,JT Hoytink,6,2,5,2,5,0,0,1,1,0,0,0,1,1,2,40.0,40.0,,False,27.1
Cornell College Rams,2024-11-15,UW-Whitewater,Jake Quast,3,1,5,1,5,0,0,1,0,2,1,0,4,3,1,20.0,20.0,,True,25.1
Cornell College Rams,2024-11-15,UW-Whitewater,Jameer Barker,11,5,14,1,6,0,0,1,7,5,1,0,4,2,8,35.7,16.7,,True,34.3
Cornell College Rams,2024-11-15,UW-Whitewater,Joey Berezowitz,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0.0,,False,1.8
