target_player,target_position,target_role,target_opponent,target_game_date,compared_opponent,compared_game_date,compared_player,compared_position,compared_role,similarity_score,shared_notes_tags,shared_keys_tags,height_diff_in,stat_similarity,target_PTS,compared_PTS,target_REB,compared_REB,target_AST,compared_AST,target_FG%,compared_FG%,target_3P%,compared_3P%
Torin Hannah,G,Bench,UW-La Crosse Eagles,"Sat, Jan 25",Carthage Firebirds,"Sat, Nov 30",Tanner Lamb,G,Bench,13.5,three_point_shooter,deny_catch_and_shoot,0.0,1.0,,,,,,,,,,
JJ Paider,F,Starter,UW-La Crosse Eagles,"Sat, Jan 25",Virginia Wesleyan Marlins,"Sun, Dec 15",Waylo Wilson,C,Starter,13.17,post_scorer,post_defense,1.0,1.0,,,,,,,,,,
Julian Hodges,G,Bench,UW-La Crosse Eagles,"Sat, Jan 25",UW-River Falls Falcons,"Sat, Jan 4",Regan Merritt,G,Bench,13.17,"slasher_driver, three_point_shooter",transition_defense,1.0,1.0,,,,,,,,,,
Dustin Derousseau,G,Starter,UW-La Crosse Eagles,"Sat, Jan 25",Ripon Red Hawks,"Tue, Dec 31",CJ Brown,G,Starter,11.5,"slasher_driver, three_point_shooter",,0.0,1.0,,,,,,,,,,
Khris Green,G,Bench,UW-La Crosse Eagles,"Sat, Jan 25",UW-Oshkosh Titans,"Wed, Jan 15",Max Tutas,G,Bench,11.5,slasher_driver,,0.0,1.0,,,,,,,,,,
Sam Grieger,G,Starter,UW-La Crosse Eagles,"Sat, Jan 25",Aurora Spartans,"Wed, Nov 20",Joevonn McCottry,G,Starter,11.5,"slasher_driver, three_point_shooter",,0.0,1.0,,,,,,,,,,
Will Fuhrmann,G,Starter,UW-La Crosse Eagles,"Sat, Jan 25",UW-Oshkosh Titans,"Wed, Jan 15",Joey LaChapell,G,Starter,11.5,"slasher_driver, three_point_shooter",,0.0,1.0,,,,,,,,,,
Griffin Ginder,F,Bench,UW-La Crosse Eagles,"Sat, Jan 25",UW-Stout Blue Devils,"Sat, Jan 11",Nolan Stauffacher,F,Bench,10.17,,box_out_priority,1.0,1.0,,,,,,,,,,
Karter Thomas,G,Starter,UW-La Crosse Eagles,"Sat, Jan 25",Coe Kohawks,"Sat, Nov 23",Cooper Nailor,G,Starter,8.5,,,0.0,1.0,,,,,,,,,,
Ben Goedheer,,Bench,UW-La Crosse Eagles,"Sat, Jan 25",Carroll (WI) Pioneers,"Tue, Nov 12",Lamar Smith,F,Bench,3.5,,,,1.0,,,,,,,,,,
Mack Sebert,,Bench,UW-La Crosse Eagles,"Sat, Jan 25",Ripon Red Hawks,"Tue, Dec 31",Jarton Davis,G,Bench,3.5,,,,1.0,,,,,,,,,,
Tarek Abdel Kireem,,Bench,UW-La Crosse Eagles,"Sat, Jan 25",UW-River Falls Falcons,"Sat, Jan 4",Bennett Wright,G,Bench,3.5,,,,1.0,,,,,,,,,,
