date,opponent,team,location,opponent_url,game_url,video_url,outcome,team_score,opponent_score,point_margin,season,Upcoming
"Tue, Nov 12",Carroll (WI) Pioneers,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/nkIaCaMjQNOs1x2nMHrryw?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/WGSdS1cSRkOfRxtFZxsrCQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67106c2615762e6831296a63%2ffullgamevideo%2fclips,W,77.0,71.0,6.0,2024-25,No
"Fri, Nov 15",Cornell College Rams,UW-Whitewater Warhawks,Neutral Court,https://fastscout.fastmodelsports.com/teams/4xC2EB-cSCSeH09BFgahlw?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/Uau5Vs0IQmu6dWNpxpwI6Q/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9562%2ffullgamevideo%2fclips,L,73.0,75.0,-2.0,2024-25,No
"Sat, Nov 16",St. Olaf Oles,UW-Whitewater Warhawks,Neutral Court,https://fastscout.fastmodelsports.com/teams/ayHbTP7lQaebm2Zgj5kGjg?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/WgmLVKbYTbqY5GqRFnmdeQ/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f673a2cd74d3b354fabe29490%2ffullgamevideo%2fclips,W,83.0,80.0,3.0,2024-25,No
"Wed, Nov 20",Aurora Spartans,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/UxiGqKUrSCmXR4N-1svMtA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/aVTDZ8sJRIifGwn58xxQ9g/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9563%2ffullgamevideo%2fclips,W,75.0,72.0,3.0,2024-25,No
"Sat, Nov 23",Coe Kohawks,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/jXGQW7S_QkGvOZlY68lfbQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/O5rC_UDNReig9Y6LSEckag/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9564%2ffullgamevideo%2fclips,L,60.0,74.0,-14.0,2024-25,No
"Sat, Nov 30",Carthage Firebirds,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/m-qFKRiOTEmVlbB_2f3l6Q?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/ahmt27WTSMOU-WnmHAmVug/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67107332232eae0114c6412f%2ffullgamevideo%2fclips,L,63.0,69.0,-6.0,2024-25,No
"Fri, Dec 6",Hope Flying Dutchmen,UW-Whitewater Warhawks,Home,https://fastscout.fastmodelsports.com/teams/HRFCusfbR4OnaX09Q5O0XQ?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/gKR3-GqUTyab2hK-jnL_eg/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9566%2ffullgamevideo%2fclips,W,90.0,83.0,7.0,2024-25,No
"Sat, Dec 14",Averett Cougars,UW-Whitewater Warhawks,Neutral Court,https://fastscout.fastmodelsports.com/teams/m9ZM9LCFQVm8aenNvWLokA?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/wGv9t54GSR2IpVEmOuHhag/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9567%2ffullgamevideo%2fclips,W,58.0,47.0,11.0,2024-25,No
"Sun, Dec 15",Virginia Wesleyan Marlins,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/kKhwY9KLTb6IHl-XGD_3Ig?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/SIob4dkjRXy_K4eL6qBpOA/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f67102d959d7f7e6c37eb9568%2ffullgamevideo%2fclips,L,58.0,61.0,-3.0,2024-25,No
"Sat, Dec 21",Simpson Storm,UW-Whitewater Warhawks,Away,https://fastscout.fastmodelsports.com/teams/gJj-UOqhSs-rqAEEH1mw6A?league=NCAAB-III&season=24,https://fastscout.fastmodelsports.com/teams/YNoIeSV6SVujUWWWZIKOxw/games/QCo0D11SRNmSYzDv30wA8w/boxscore?league=NCAAB-III&season=24,https://editor-web.synergysports.com/video?playlistUrl=https%3a%2f%2fbasketball.synergysportstech.com%2fapi%2fgames%2f6715afd0d83e520015865dd0%2ffullgamevideo%2fclips,L,71.0,87.0,-16.0,2024-25,No
