opponent,game_date,uww_biggest_run,uww_run_uww_lineup,uww_run_opp_lineup,opponent_biggest_run,opp_run_uww_lineup,opp_run_opp_lineup,uww_largest_lead,uww_lead_uww_lineup,uww_lead_opp_lineup,opponent_largest_lead,opp_lead_uww_lineup,opp_lead_opp_lineup
Aurora Spartans,2024-11-20,12,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Dwayne Jervier Jr., Isaiah Davis, Joevonn McCottry, Maxwell Marius, Mekhi Doby / Dwayne Jervier Jr., Isaiah Davis, Joevonn McCottry, Maxwell Marius, Noah Butler",10,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara / Collin Madson, Jake Quast, Jameer Barker, Luke Bara, Richie Warren","Dwayne Jervier Jr., Isaiah Davis, Joevonn McCottry, Maxwell Marius, Mekhi Doby",6,"Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker, Richie Warren","Dwayne Jervier Jr., Isaiah Davis, Jeffery Hillmer, Joevonn McCottry, Mekhi Doby",12,"Carter Capstran, Jake Quast, Jameer Barker, Luke Bara, Richie Warren","Isaiah Davis, Jeffery Hillmer, Joevonn McCottry, Maxwell Marius, Mekhi Doby"
Averett Cougars,2024-12-14,13,"Brock Marino, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren / Brock Marino, Isaac Verges, Jake Quast, Joey Berezowitz, Richie Warren","Bryce Shaw, D'Markus Tucker, Jamison Graves, Mason Mitchell, Timayahs Bracey / Bryce Shaw, Jamison Graves, Jason Sellars II, Mason Mitchell, Timayahs Bracey / Clay Hodges, Jackson Sellars, Jamison Graves, Jason Sellars II, Mason Mitchell",7,"Collin Madson, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren / Carter Capstran, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","Jackson Sellars, Jamison Graves, Jason Sellars II, Mason Mitchell, Zach Skogen / Bryce Shaw, Jackson Sellars, Jamison Graves, Mason Mitchell, Zach Skogen",18,"Collin Madson, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","Jackson Sellars, Jamison Graves, Jason Sellars II, Mason Mitchell, Zach Skogen",1,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Clay Hodges, Jackson Sellars, Jamison Graves, Jason Sellars II, Mason Mitchell"
Carroll (WI) Pioneers,2024-11-12,6,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Eckahelo Simpson, Erik Victorson, Jacob Naber, Justin Steinike, Kobe Simpson",7,"Collin Madson, Jake Quast, Jameer Barker, Luke Bara, Richie Warren / Isaac Verges, JT Hoytink, Jameer Barker, Luke Bara, Richie Warren","Dom Burns, Erik Victorson, Evan Bland, Justin Steinike, Lamar Smith / Dom Burns, Erik Victorson, Evan Bland, Lamar Smith, Nick Vaneekeren",8,"Carter Capstran, JT Hoytink, Jake Quast, Jameer Barker, Luke Bara","Dom Burns, Erik Victorson, Jacob Naber, Justin Steinike, Kobe Simpson",4,"Carter Capstran, JT Hoytink, Jameer Barker, Joey Berezowitz, Richie Warren","Dennis Estepp, Eckahelo Simpson, Erik Victorson, Evan Bland, Lamar Smith"
Carthage Firebirds,2024-11-30,7,"Collin Madson, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","AJ Johnson, AJ Williams, Colton Sigel, Griffin Daun, Ryan Johnson",12,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara / Carter Capstran, Isaac Verges, JT Hoytink, Jake Quast, Joey Berezowitz / Carter Capstran, Collin Madson, JT Hoytink, Jake Quast, Joey Berezowitz","AJ Johnson, AJ Williams, Colton Sigel, Riley Brooks, Ryan Johnson / AJ Johnson, Colton Sigel, Griffin Daun, Riley Brooks, Ryan Johnson / AJ Johnson, AJ Williams, Griffin Daun, Ryan Johnson, Tanner Lamb",3,"Carter Capstran, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","AJ Johnson, AJ Williams, Colton Sigel, Garrett Arnold, Ryan Johnson",14,"Collin Madson, JT Hoytink, Jake Quast, Joey Berezowitz, Richie Warren","AJ Johnson, AJ Williams, Colton Sigel, Griffin Daun, Ryan Johnson"
Coe Kohawks,2024-11-23,9,"Carter Capstran, JT Hoytink, Jake Quast, Luke Bara, Richie Warren","Bennett Sherry, Brady Klahn, Cole Hrubes, Cooper Nailor, Ryan Dolphin / Brady Klahn, Cooper Nailor, Deuce Walters, Jackson Bowman, John Steffen / Bennett Sherry, Cooper Nailor, Deuce Walters, Jackson Bowman, John Steffen",12,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara / Carter Capstran, Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker","Bennett Sherry, Brady Klahn, Cole Hrubes, Cooper Nailor, Ryan Dolphin",4,"Carter Capstran, Collin Madson, JT Hoytink, Jameer Barker, Richie Warren","Brady Klahn, Cole Hrubes, Cooper Nailor, Jackson Newell, John Steffen",14,"Carter Capstran, Isaac Verges, JT Hoytink, Jake Quast, Richie Warren","Cole Hrubes, Cooper Nailor, Jackson Bowman, John Steffen, Ryan Dolphin"
Cornell College Rams,2024-11-15,8,"Carter Capstran, Collin Madson, JT Hoytink, Jameer Barker, Luke Bara / Carter Capstran, Isaac Verges, JT Hoytink, Jake Quast, Jameer Barker","Connor Barnett, Jayden Meeker, Jaylan Bradberry, Nate Jacobson, Zach Ingle / Arnav Jain, Caleb Leslie, Jayden Meeker, Nate Jacobson, Zach Ingle / Connor Barnett, Jaxson Herring, Jayden Meeker, Jaylan Bradberry, Julian Cleary / Connor Barnett, Jaxson Herring, Jayden Meeker, Nate Jacobson, Zach Ingle",7,"Carter Capstran, Collin Madson, JT Hoytink, Jameer Barker, Luke Bara","Caleb Leslie, Connor Barnett, Jayden Meeker, Jaylan Bradberry, Zach Ingle",4,"Carter Capstran, Collin Madson, JT Hoytink, Jameer Barker, Luke Bara","Connor Barnett, Jayden Meeker, Jaylan Bradberry, Nate Jacobson, Zach Ingle",11,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Arnav Jain, Dylan Hurley, Jayden Meeker, Jaylan Bradberry, Zach Ingle"
Hope Flying Dutchmen,2024-12-06,10,"Austin Ambrose, Collin Madson, JT Hoytink, Jameer Barker, Richie Warren / Austin Ambrose, Collin Madson, JT Hoytink, Jake Quast, Jameer Barker","Brady Miller, Eli Schoonveld, Gabe Quillan, Justice Mims, Simon Neuhaus / Brady Miller, Gabe Quillan, Josh Decker, Sam Carlson, Simon Neuhaus",10,"Austin Ambrose, Collin Madson, JT Hoytink, Jameer Barker, Luke Bara / Austin Ambrose, JT Hoytink, Jake Quast, Joey Berezowitz, Luke Bara / Austin Ambrose, Jake Quast, Jameer Barker, Joey Berezowitz, Luke Bara","Ethan Crabtree, Gabe Quillan, Josh Decker, Parker Hovey, Simon Neuhaus / Gabe Quillan, Josh Decker, Justice Mims, Parker Hovey, Simon Neuhaus",18,"Austin Ambrose, Collin Madson, JT Hoytink, Jameer Barker, Luke Bara","Ethan Crabtree, Gabe Quillan, Josh Decker, Parker Hovey, Simon Neuhaus",3,"Austin Ambrose, Isaac Verges, JT Hoytink, Jake Quast, Joey Berezowitz","Ethan Crabtree, Jared Ryg, Parker Hovey, Sam Carlson, Simon Neuhaus"
Ripon Red Hawks,2024-12-31,12,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara / Brock Marino, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","CJ Brown, Cade Tackmier, Dominic Galati, Kolby Williams, Luke Meinholz / Cade Tackmier, Kolby Williams, Luke Meinholz, Michael Asman, Seth Bunders / Cade Tackmier, Jayden Fitch, Luke Meinholz, Michael Asman, Seth Bunders",8,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara / Carter Capstran, Collin Madson, JT Hoytink, Joey Berezowitz, Luke Bara","Cade Tackmier, Kolby Williams, Luke Meinholz, Michael Asman, Sam Leoni / Cade Tackmier, Kolby Williams, Luke Meinholz, Michael Asman, Seth Bunders / CJ Brown, Cade Tackmier, Dominic Galati, Kolby Williams, Luke Meinholz",20,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Cade Tackmier, Kolby Williams, Luke Meinholz, Michael Asman, Sam Leoni",5,"Carter Capstran, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","CJ Brown, Cade Tackmier, Dominic Galati, Kolby Williams, Luke Meinholz"
Simpson Storm,2024-12-21,9,"Collin Madson, Isaac Verges, JT Hoytink, Jameer Barker, Richie Warren / Brock Marino, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Austin Murrow, Bo Huston, Caden Rehmeier, Cam Henderson, Colton Rasmussen / Austin Murrow, Bo Huston, Cam Henderson, Colton Rasmussen, Matt Schubert / Austin Murrow, Bo Huston, Cam Henderson, Matt Schubert, Nathaniel Winter",7,"Brock Marino, Isaac Verges, Jameer Barker, Kelton McEwen, Luke Bara","Austin Murrow, Bo Huston, Cam Henderson, Marcus Haupert, Nathaniel Winter",5,"Brock Marino, Collin Madson, Isaac Verges, Jameer Barker, Luke Bara","Austin Murrow, Bo Huston, Cam Henderson, Matt Schubert, Nathaniel Winter",22,"Brock Marino, Darius Chestnut, Kelton McEwen, Sam Mickelson, Tristian Lynch","Austin Murrow, Bo Huston, Cam Henderson, Matt Schubert, Nathaniel Winter"
St. Olaf Oles,2024-11-16,7,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara / Carter Capstran, Isaac Verges, JT Hoytink, Luke Bara, Richie Warren / Brock Marino, Isaac Verges, JT Hoytink, Luke Bara, Richie Warren","AJ Uhl, Chris Willis, Dashiel Walker, Jachin Mertes, Kobe Kirk / AJ Uhl, Addison Metcalf, Chris Willis, Jachin Mertes, Kobe Kirk / AJ Uhl, Addison Metcalf, Jaxon Strinmoen, Kobe Kirk, Rex Lamb",8,"Brock Marino, Jake Quast, Jameer Barker, Joey Berezowitz, Kelton McEwen / Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Chris Willis, Jachin Mertes, James Polasky, Liam Madigan, Luther Tostrud / Chris Willis, Dashiel Walker, Jachin Mertes, Kobe Kirk, Liam Roche",15,"Austin Ambrose, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Chris Willis, Dashiel Walker, Jachin Mertes, Liam Madigan, Liam Roche",2,"Carter Capstran, Collin Madson, Jake Quast, Jameer Barker, Luke Bara","Chris Willis, Dashiel Walker, Jachin Mertes, Kobe Kirk, Liam Roche"
