jersey_number,PLAYER,GP-GS,MIN,FGM-A,FG%,3PM-A,3P%,3P-R,FTM-A,FT%,PTS,ORB,DRB,REB,AST,TO,STL,BLK,PF
24.0,Richie Warren,24-4,17,2.2-5.0,44.2%,0.1-0.8,10.5%,15.8%,1.2-1.5,75.7%,5.7,1.1,2.8,3.9,0.6,0.9,0.8,0.8,2.1
0.0,Isaac Verges,26-18,22,2.2-4.1,52.3%,0.5-1.3,36.4%,30.8%,1.0-1.3,75.8%,5.7,0.8,2.0,2.9,0.9,1.1,1.2,0.0,1.6
12.0,Jake Quast,26-13,17,1.0-2.9,32.9%,0.4-1.8,22.9%,63.2%,0.4-0.5,78.6%,2.8,1.5,1.4,2.9,0.8,0.7,0.5,0.3,2.4
33.0,Sam Mickelson,1-0,7,0.0-2.0,0%,0.0-0.0,-,0%,0.0-0.0,-,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
2.0,Kelton McEwen,10-0,7,0.6-1.3,46.2%,0.4-1.0,40%,76.9%,0.2-0.2,100%,1.8,0.1,0.6,0.7,0.5,0.2,0.2,0.0,0.6
21.0,Brock Marino,21-1,9,0.9-1.9,48.7%,0.1-0.6,16.7%,30.8%,0.9-1.7,54.3%,2.8,0.7,1.6,2.3,0.1,0.5,0.2,0.3,1.2
15.0,Collin Madson,26-25,27,3.0-6.5,45.9%,1.2-3.1,37%,47.6%,2.3-2.8,82.2%,9.5,2.0,2.9,4.9,0.9,0.8,0.5,0.2,2.3
25.0,Tristian Lynch,7-0,3,0.1-0.4,33.3%,0.1-0.4,33.3%,100%,0.0-0.1,0%,0.4,0.1,0.4,0.6,0.0,0.0,0.0,0.0,0.0
14.0,JT Hoytink,26-2,18,1.4-4.4,32.5%,0.6-2.0,28.8%,45.6%,0.8-1.2,70%,4.2,0.2,1.3,1.5,0.7,0.5,0.5,0.0,2.2
30.0,Spencer Cullum,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10.0,Darius Chestnut,15-0,10,1.3-3.4,39.2%,0.3-1.2,22.2%,35.3%,1.0-1.3,75%,3.9,0.5,0.9,1.5,0.4,0.6,0.4,0.3,1.0
23.0,Carter Capstran,25-25,29,5.4-10.8,49.8%,0.9-2.5,36.5%,23.2%,1.5-2.6,56.9%,13.2,1.6,4.4,6.0,1.7,1.4,0.5,0.1,2.1
22.0,Joey Berezowitz,22-0,13,1.0-2.3,41.2%,0.8-1.6,48.6%,68.6%,0.4-0.6,69.2%,3.1,0.4,1.2,1.6,1.1,0.6,1.0,0.0,1.2
1.0,Jameer Barker,18-16,25,5.0-12.2,41.1%,1.1-3.6,29.2%,29.7%,3.5-5.1,69.2%,14.6,0.6,3.1,3.7,2.2,3.2,1.3,0.1,1.9
32.0,Luke Bara,26-26,25,3.5-9.2,38.7%,1.7-5.7,29.9%,61.8%,1.7-2.0,81.1%,10.4,0.4,1.5,1.9,1.5,1.2,0.5,0.1,1.1
20.0,Austin Ambrose,11-0,7,0.8-1.8,45%,0.4-0.8,44.4%,45%,0.7-1.2,61.5%,2.7,0.5,0.8,1.3,0.4,0.5,0.0,0.1,0.8
,Team Total,26,5225,24.7-57.5,43%,7.2-22.9,31.6%,39.8%,13.1-18.5,71%,69.7,10.9,23.2,34.2,10.1,10.5,6.7,1.8,18.0
,Opponent,26,5225,26.2-54.8,47.8%,7.3-19.5,37.7%,35.5%,12.6-18.6,67.8%,72.3,8.8,24.5,33.4,12.5,11.3,5.8,3.4,16.2
