source,item,cat,side,section
Keys to Victory,BALL SECURITY,Ball Security,UWW,OFF
Keys to Victory,LIMIT THEIR SCORING @ THE RIM/IN THE PAINT,Paint Protection / Blocks,OPP,DEF
Keys to Victory,BULLY THEM ON THE GLASS,Rebounding,UWW,DEF
Keys to Victory,EARLY GAP / HELP SIDE,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,KEEP THE BALL IN FRONT (ACTIVE HANDS),Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,OWN THE PAINT,Rebounding,UWW,DEF
Keys to Victory,GUARD YOUR YARD (+ Early Gap Help),Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,"WALL UP, DON'T FOUL",Fouls / Discipline,OPP,DEF
Keys to Victory,ATTACK THE PAINT!!!,Scoring Inside,UWW,OFF
Keys to Victory,TAKE AWAY PERSONNEL TENDANCIES,Defensive Efficiency,OPP,DEF
Keys to Victory,LIVE IN THE PAINT!!!,Scoring Inside,UWW,OFF
Keys to Victory,DOMINATE THE GLASS,Rebounding,UWW,DEF
Keys to Victory,DOMINATE THE GLASS,Rebounding,UWW,DEF
Keys to Victory,ATTACK THE BASKET,Scoring Inside,UWW,OFF
Keys to Victory,COMMUNICATION SCREENING ACTION!!!,Defensive Efficiency,OPP,DEF
Keys to Victory,DRIVE DOWN 3PT ATTEMPTS!!!,Three-Point Shooting,OPP,DEF
Keys to Victory,FINISH DEFENSIVE POSSESSIONS (LATE CLOCK),Effort / Communication,UWW,PERS
Keys to Victory,ATTACK THE PAINT,Scoring Inside,UWW,OFF
Keys to Victory,TRANSITION DEFENSE!!!,Transition / Pace,OPP,DEF
Keys to Victory,SQUEEZE & LIMIT #4 (Guard 1 on 1 + Gap Help),Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,ATTACK THE PAINT OFFENSIVELY!!,Scoring Inside,UWW,OFF
Keys to Victory,CONTAIN #11,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,GREAT WALL UPS & LIMIT FOULS,Fouls / Discipline,OPP,DEF
Keys to Victory,ATTACK MISMATCHES (after switches),Offensive Efficiency,BOTH,OFF
Keys to Victory,COMMUNICATE SCREENS & ACTIONS,Defensive Efficiency,OPP,DEF
Keys to Victory,DOMINATE THE PAINT,Rebounding,UWW,DEF
Keys to Victory,GUARD 1 ON 1,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,ATTACK THE PAINT,Scoring Inside,UWW,OFF
Keys to Victory,BALL SCREEN DEFENSE (DISRUPTIVE & CONNECTED),Defensive Efficiency,OPP,DEF
Keys to Victory,DOMINATE REBS & FTs,Rebounding,UWW,DEF
Keys to Victory,PRESSURE ON THE BALL,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,ATTACK THE PAINT!!,Scoring Inside,UWW,OFF
Keys to Victory,RELENTLESS EFFORT & WINNING PLAYS !!,Effort / Communication,-,PERS
Keys to Victory,TAKE AWAY #15 & #11,Defensive Efficiency,OPP,DEF
Keys to Victory,GREAT BALL SCREEN & GAP DEFENSE,Defensive Efficiency,OPP,DEF
Keys to Victory,"MUST BE OUR PAINT!!! (Pts, Rebs +5, & FTs)",Rebounding,-,DEF
Keys to Victory,DOMINATE THE GLASS +10 (again)!!!,Rebounding,UWW,DEF
Keys to Victory,BALL SCREEN DEFENSE & CLOSEOUTS,Defensive Efficiency,OPP,DEF
Keys to Victory,ATTACK INSIDE-OUT OFFENSIVELY,Scoring Inside,UWW,OFF
Keys to Victory,BEING CONNECTED DEFENSIVELY,Effort / Communication,-,PERS
Keys to Victory,"PAYBACK INSIDE!!! (FTs, Rebs, Pts)",Rebounding,-,DEF
Keys to Victory,BE AGGRESSIVE & PHYSICAL ATTACKING THE PAINT,Scoring Inside,UWW,OFF
Keys to Victory,TALK SETS/ACTIONS--EARLY & LOUD!!!,Defensive Efficiency,OPP,DEF
Keys to Victory,PERIMETER PRESSURE & BALL SCREEN DEFENSE,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,AGGRESSIVE V. ICE COVERAGE -- ATTACK THE PAINT,Scoring Inside,BOTH,OFF
Keys to Victory,WIN THE POSSESSION BATTLE (TO's & Rebounds),Ball Security,UWW,OFF
Keys to Victory,ATTACK & EXECUTE OFFENSIVELY,Offensive Efficiency,UWW,OFF
Keys to Victory,MULTIPLE EFFORTS DEFENSIVELY (never stop!!),Defensive Efficiency,-,DEF
Keys to Victory,Physicality & Post Defense,Paint Protection / Blocks,OPP,DEF
Keys to Victory,Early ball movement & cutting,Ball Movement / Assists,UWW,OFF
Keys to Victory,Building a wall around the paint,Paint Protection / Blocks,OPP,DEF
Keys to Victory,BALL PRESSURE TO DISRUPT THEIR ACTION(S),Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,INTENTIONAL ABOUT ATTACKING MISMATCHES,Offensive Efficiency,UWW,OFF
Keys to Victory,DOMINATE THE GLASS!!!,Rebounding,UWW,DEF
Keys to Victory,PRESSURE & DISRUPT THEIR OFFENSE,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Keys to Victory,ATTACK MATCHUPS VS SWITCHES,Offensive Efficiency,BOTH,OFF
Keys to Victory,POUND THEM ON THE GLASS!!!,Rebounding,UWW,DEF
Team Strengths,Opponent strength: Extremely active hands defensively,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Team Strengths,Opponent strength: Multiple guys that can create & get to rim,Ball Movement / Assists,OPP,DEF
Team Strengths,Opponent strength: Crash the glass hard,Rebounding,OPP,DEF
Team Strengths,Opponent strength: Play making guards looking to attack the rim,Scoring Inside,OPP,DEF
Team Strengths,Opponent strength: Great at drawing fouls/getting to FT line,Free Throws,OPP,DEF
Team Strengths,Opponent strength: Press capable of turning teams over,Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Team Strengths,Opponent strength: 2 playmaking guards (#23 & #13),Ball Movement / Assists,OPP,DEF
Team Strengths,Opponent strength: Motion offense with good ball movement/movement off ball,Ball Movement / Assists,OPP,DEF
Team Strengths,Opponent strength: Multiple guys that crash the glass hard,Rebounding,OPP,DEF
Team Strengths,Opponent strength: Motion offense with good ball movement & cutting,Ball Movement / Assists,OPP,DEF
Team Strengths,Opponent strength: Force TO's with active hands (Gaps!),Perimeter Defense / Ball Pressure/ Create Turnovers,OPP,DEF
Team Strengths,Opponent strength: Heavy ball screen usage at multiple angles,Defensive Efficiency,OPP,DEF
Team Strengths,Opponent strength: High level 3 pt shooting (41.2% 3 pt),Three-Point Shooting,OPP,DEF
Team Strengths,Opponent strength: Pack & Protect the paint on Defense,Paint Protection / Blocks,OPP,DEF
Team Strengths,Opponent strength: Rebound Hard (+6 Rebound advantage),Rebounding,OPP,DEF
Team Strengths,Opponent strength: Fast paced offense (quick ball movement & cutting),Ball Movement / Assists,OPP,DEF
Team Strengths,Opponent strength: Main scorer #4 capable of carrying offense (23 ppg),Defensive Efficiency,OPP,DEF
Team Strengths,Opponent strength: Push hard in transition,Transition / Pace,OPP,DEF
Team Strengths,Opponent strength: Attacking the rim & drawing fouls,Fouls / Discipline,OPP,DEF
Team Strengths,Opponent strength: #11 capable of carrying offense,Defensive Efficiency,OPP,DEF
Team Strengths,Opponent strength: Switch all screens 1-5,Defensive Efficiency,OPP,DEF
