opponent,outcome,category,side,display_label
St. Thomas (TX) Celts,L,Ball Security / Turnovers,UWW,UWW: Protect the Ball
St. Thomas (TX) Celts,L,Field Goal Efficiency,OPP,OPP: Limit Their FG Efficiency
St. Thomas (TX) Celts,L,Rebounding,UWW,UWW: Crash the Boards
Eureka Red Devils,W,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Eureka Red Devils,W,Rebounding,UWW,UWW: Crash the Boards
Aurora Spartans,W,Fouls / Discipline,OPP,OPP: They Draw Fouls
Aurora Spartans,W,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Aurora Spartans,W,Scoring Inside,UWW,UWW: Attack the Paint
Simpson Storm,W,Rebounding,UWW,UWW: Crash the Boards
Simpson Storm,W,Scoring Inside,UWW,UWW: Attack the Paint
Ripon Red Hawks,W,Rebounding,UWW,UWW: Crash the Boards
Ripon Red Hawks,W,Scoring Inside,UWW,UWW: Attack the Paint
Elmhurst Bluejays,,Perimeter Defense / Ball Pressure,OPP,OPP: On-Ball Defense
Elmhurst Bluejays,,Scoring Inside,UWW,UWW: Attack the Paint
