lineup,GP,MIN,+/-,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,FG%,3P%,FT%
"Aidyn Boone, Dominic Trelenberg, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",5,56.5,-9.0,103,39,94,16,50,9,13,19,43,62,23,10,3,20,21,41.5,32.0,69.2
"Dominic Trelenberg, Luke Smith, Sebastian Blachut, Talen Pearson, Vinnie Adjahoungbeta",2,11.1,3.0,25,7,13,5,10,6,7,1,6,7,4,0,0,4,5,53.8,50.0,85.7
"Aidyn Boone, Dominic Trelenberg, Luke Smith, Talen Pearson, Vinnie Adjahoungbeta",2,7.7,-2.0,19,5,8,2,5,7,10,0,5,5,3,2,1,2,3,62.5,40.0,70.0
"Dominic Trelenberg, EJ Marshall, Jack Cherry, Jeffrey Williams, Talen Pearson",4,6.8,-1.0,9,3,11,2,6,1,2,3,2,5,3,3,0,1,2,27.3,33.3,50.0
"Aidyn Boone, Dominic Trelenberg, Luke Smith, Sebastian Blachut, Talen Pearson",4,6.6,-6.0,18,7,11,4,5,0,3,4,4,8,6,1,0,2,2,63.6,80.0,0.0
"EJ Marshall, Jack Cherry, Luke Smith, Talen Pearson, Vinnie Adjahoungbeta",1,6.6,6.0,17,7,8,3,3,0,0,1,4,5,6,2,1,2,1,87.5,100.0,
"Dominic Trelenberg, Jeffrey Williams, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",3,5.8,-6.0,8,3,7,0,0,2,2,1,5,6,1,1,1,0,3,42.9,,100.0
"Aidyn Boone, Dominic Trelenberg, Jack Cherry, Luke Smith, Vinnie Adjahoungbeta",1,5.5,-7.0,11,3,8,0,2,5,7,2,6,8,1,0,1,4,2,37.5,0.0,71.4
"EJ Marshall, Jack Cherry, Oliver Adams, Talen Pearson, Vinnie Adjahoungbeta",2,5.1,2.0,4,2,8,0,1,0,0,0,5,5,1,0,0,1,2,25.0,0.0,
"Dominic Trelenberg, Jack Cherry, Luke Smith, Sebastian Blachut, Vinnie Adjahoungbeta",3,5.0,0.0,17,3,6,3,3,8,8,1,2,3,3,1,0,1,1,50.0,100.0,100.0
