#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,Juan Madrigal,AU@WWW - 11/18/2025 QTR: 2 CLK: 17:52,,Allow OREB,,,Miss 2 Pts,0:11.2,0:09.6,0:20.9,41:32.11,41:52.98,Aurora University,AU@WWW,11/19/2025,2,17:52,Juan Madrigal,,,,2 Juan Madrigal > ISO > Top > Drives Left > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
2,Cullen Rauls,AU@WWW - 11/18/2025 QTR: 2 CLK: 16:55,,Leaving our feet triggers us scrambling,,,Make 3 Pts,0:17.1,N/A,N/A,43:29.32,43:46.46,Aurora University,AU@WWW,11/19/2025,2,16:55,Cullen Rauls,,,,0 Cullen Rauls > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
3,Mekhi Doby,AU@WWW - 11/18/2025 QTR: 2,,"Backing up into BS, forcing us to Switch, Need a heavier RH Gap presence",,,Non Shooting Foul,0:19.9,N/A,N/A,44:30.59,44:50.46,Aurora University,AU@WWW,11/19/2025,2,,Mekhi Doby,,,,11 Mekhi Doby > Non Possession > Non Shooting Foul
4,Devon Richardson,AU@WWW - 11/18/2025 QTR: 2 CLK: 15:54,,Don't allow him to turn LS (NLS),,,Make 2 Pts,0:23.9,N/A,N/A,45:09.06,45:32.92,Aurora University,AU@WWW,11/19/2025,2,15:54,Devon Richardson,,,,22 Devon Richardson > Post-Up > Right Block > Left Shoulder > Dribble Move > To Basket > Make 2 Pts
5,Cullen Rauls,AU@WWW - 11/18/2025 QTR: 2,,Not cutting off RHD & a Foul,,,Non Shooting Foul,0:06.0,0:08.1,0:14.1,46:23.39,46:37.53,Aurora University,AU@WWW,11/19/2025,2,,Cullen Rauls,,,,0 Cullen Rauls > Non Possession > Non Shooting Foul
6,Devon Richardson,AU@WWW - 11/18/2025 QTR: 2 CLK: 14:52,,STAY DOWN VS SHOT & GIVE UP OREB,,,Miss 2 Pts,0:12.1,0:05.2,0:17.3,47:28.46,47:45.79,Aurora University,AU@WWW,11/19/2025,2,14:52,Devon Richardson,,,,22 Devon Richardson > Post-Up > Left Block > Right Shoulder > No Dribble Move > To Jumper > Miss 2 Pts
7,Zerrick Johnson,AU@WWW - 11/18/2025 QTR: 2 CLK: 14:02,,BETTER CLOSEOUT VS A HEAVY RHD & BEING READY TO SWITCH UP,,,Make 2 Pts,0:09.7,0:09.2,0:18.9,49:13.86,49:32.73,Aurora University,AU@WWW,11/19/2025,2,14:02,Zerrick Johnson,,,,13 Zerrick Johnson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
8,Juan Madrigal,AU@WWW - 11/18/2025 QTR: 2 CLK: 11:56,,"GREAT COMMUNICATION ON BACKSIDE, BUT TOP GUY TAKES 2",,,Make 3 Pts,0:16.6,N/A,N/A,53:24.86,53:41.46,Aurora University,AU@WWW,11/19/2025,2,11:56,Juan Madrigal,,,,11 Mekhi Doby > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 2 Juan Madrigal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
9,Devon Richardson,AU@WWW - 11/18/2025 QTR: 2 CLK: 10:40,,FOUL,,,Foul,0:08.5,N/A,N/A,55:52.91,56:01.44,Aurora University,AU@WWW,11/19/2025,2,10:40,Devon Richardson,,,,22 Devon Richardson > No Play Type > Foul
10,Devon Richardson,AU@WWW - 11/18/2025 QTR: 2,,FOUL,,,Non Shooting Foul,0:21.3,N/A,N/A,54:12.06,54:33.39,Aurora University,AU@WWW,11/19/2025,2,,Devon Richardson,,,,22 Devon Richardson > Non Possession > Non Shooting Foul
