#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,Brock Marino,WWW@Law - 12/09/2025 QTR: 1 CLK: 19:24,,"SCREEN TO THE INSIDE/PAINT, BE PATIENT",,,Turnover,0:11.9,0:01.8,0:13.7,9:43.87,9:57.53,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,19:24,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Turnover
2,Brock Marino,WWW@Law - 12/09/2025 QTR: 2 CLK: 18:03,,FORCING THEM TO SLIDE UNDER @ 15 FEET,,,Make 2 Pts,0:12.5,N/A,N/A,1:08:21.85,1:08:34.33,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,18:03,Brock Marino,,,,24 Richie Warren > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Make 2 Pts
3,Brock Marino,WWW@Law - 12/09/2025 QTR: 1 CLK: 15:51,,SECONDARY - GOOD HIGH/LOW PASS/SEAL,,,Make 2 Pts,0:07.8,0:01.3,0:09.1,16:03.33,16:12.93,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,15:51,Brock Marino,,,,21 Brock Marino > Post-Up > Flash Middle > Post Pin > No Dribble Move > To Basket > Make 2 Pts
4,Jake Quast,WWW@Law - 12/09/2025 QTR: 1 CLK: 09:56,,GOOD CRASH,,,Miss 2 Pts,0:07.4,0:05.8,0:13.1,26:54.73,27:07.85,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,9:56,Jake Quast,,,,22 Joey Berezowitz > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 12 Jake Quast > Spot-Up > Drives Left > To Basket > Miss 2 Pts
5,Luke Bara,WWW@Law - 12/09/2025 QTR: 1 CLK: 05:10,,GOOD OREB,,,Miss 2 Pts,0:08.4,0:17.5,0:25.9,33:54.13,34:20.05,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,5:10,Luke Bara,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Short to < 17' > Miss 2 Pts
6,Kelton Mcewen,WWW@Law - 12/09/2025 QTR: 2 CLK: 13:59,,LATE CLOCK = GREAT OREB,,,Miss 3 Pts,0:09.8,0:30.6,0:40.5,1:16:50.38,1:17:30.85,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,13:59,Kelton Mcewen,,,,2 Kelton Mcewen > ISO > Right > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts
7,Richie Warren,WWW@Law - 12/09/2025 QTR: 1 CLK: 07:12,,P4 GOOD EXECUTION,,,Make 2 Pts,0:15.2,0:09.8,0:25.1,31:31.73,31:56.78,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,7:12,Richie Warren,,,,21 Brock Marino > Post-Up > Left Block > Face-up > Defense Commits > Ball Delivered > 24 Richie Warren > Cut > Screen > Make 2 Pts
8,Collin Madson,WWW@Law - 12/09/2025 QTR: 2 CLK: 12:50,,"GOOD BALANCE OFF OF TWO. ",,,Make 2 Pts,0:06.4,0:05.7,0:12.1,1:20:25.25,1:20:37.38,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,12:50,Collin Madson,,,,15 Collin Madson > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Make 2 Pts
9,Richie Warren,BROCK/BIGS,,TURN INTO DEFENDER TO WALK HIM UP. DO NOT DISENGAGE ON THE SKIP,,,Miss 2 Pts,0:10.5,0:03.5,0:14.0,14:43.60,15:05.73,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,16:36,Richie Warren,,,,24 Richie Warren > Spot-Up > Drives Right > To Basket > Miss 2 Pts
10,Brock Marino,BROCK/BIGS,,"BETTER PATIENCE, NOTICE HE STILL DOESN'T ALLOW US INTO THE CIRCLE",,,Make 2 Pts,0:14.2,0:08.6,0:22.8,1:34:32.85,1:34:55.65,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,6:13,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts
11,Brock Marino,BROCK/BIGS,,SMASH BACK INTO DEFENDER,,,Foul,0:06.6,0:21.1,0:27.7,1:37:20.53,1:37:53.33,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,4:50,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Foul
12,Brock Marino,WWW@Law - 12/09/2025 QTR: 1 CLK: 13:56,,"WE DON'T STEP TO DEFENDER AND BURY HIM, NOTICE HOW HE DOESN'T MOVE V. BUMP",,,Miss 2 Pts,0:12.6,0:09.8,0:22.5,19:45.67,20:12.33,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,1,13:56,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Miss 2 Pts
13,Jake Quast,QUAST,,"SLIDING, MUST GIVE DEFENDER ONE STEP",,,Turnover,0:04.8,0:16.3,0:21.1,1:28:19.45,1:28:40.58,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,8:37,Jake Quast,,,,12 Jake Quast > No Play Type > Turnover
14,Brock Marino,WWW@Law - 12/09/2025 QTR: 2 CLK: 06:57,,ITS THE LEAN,,,Turnover,0:05.8,0:06.4,0:12.2,1:33:28.85,1:33:43.53,Wisconsin-(Whitewater) Warhawks,WWW@Law,12/10/2025,2,6:57,Brock Marino,,,,21 Brock Marino > No Play Type > Turnover
15,Cameron Nash,WWW@Law - 12/09/2025 QTR: 1 CLK: 15:02,,TRANSITION DEFENSE LEADS TO A FOUL,,,Foul,0:08.3,0:03.6,0:11.9,17:16.47,17:28.40,Lawrence,WWW@Law,12/10/2025,1,15:02,Cameron Nash,,,,5 Cameron Nash > Transition > Right Wing > To Basket > Foul
16,Nathan Valentine,WWW@Law - 12/09/2025 QTR: 2 CLK: 15:32,,"TRANSITION DEF. = FLOOD THE PAINT, WALL STRAIGHT UP",,,Foul,0:12.6,0:03.9,0:16.5,1:12:53.05,1:13:09.58,Lawrence,WWW@Law,12/10/2025,2,15:32,Nathan Valentine,,,,3 Nathan Valentine > Transition > Ballhandler > To Basket > Foul
17,CJ Campbell,WWW@Law - 12/09/2025 QTR: 2 CLK: 16:12,,"IF YOU CAN, KEEP THE BALL TO ONE SIDE IN TRANSITION. PRIORITY IS GETTING IT STOPPED THOUGH",,,Make 3 Pts,0:08.0,0:04.4,0:12.4,1:12:12.13,1:12:24.53,Lawrence,WWW@Law,12/10/2025,2,16:12,CJ Campbell,,,,15 CJ Campbell > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
18,Nathan Valentine,WWW@Law - 12/09/2025 QTR: 1 CLK: 17:26,,WHAT THE BOXOUTS SHOULD LOOK LIKE,,,Make 3 Pts,0:05.8,0:14.9,0:20.7,13:40.53,14:01.20,Lawrence,WWW@Law,12/10/2025,1,17:26,Nathan Valentine,,,,15 CJ Campbell > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 3 Nathan Valentine > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
19,CJ Campbell,WWW@Law - 12/09/2025 QTR: 1 CLK: 19:44,,LAW OREB : SEAL ON THE BACKSIDE INSTEAD,,,Miss 3 Pts,0:06.1,0:17.8,0:23.9,9:17.67,9:41.53,Lawrence,WWW@Law,12/10/2025,1,19:44,CJ Campbell,,,,3 Nathan Valentine > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 CJ Campbell > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
