#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,3-2- Shoulder Screen-Stagger- BS- LW 3,AU@BEN - 11/14/2025 QTR: 1 CLK: 19:17,,,,,Make 3 Pts,0:25.5,N/A,N/A,20:37.44,21:02.98,Aurora University,AU@BEN,11/15/2025,1,19:17,Juan Madrigal,,,,2 Juan Madrigal > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
2,HiLO- RS DHO- STS- Stagger- RW 3,AU@BEN - 11/14/2025 QTR: 1 CLK: 17:42,,,,,Miss 2 Pts,0:16.5,N/A,N/A,23:22.78,23:39.31,Aurora University,AU@BEN,11/15/2025,1,17:42,Juan Madrigal,,,,2 Juan Madrigal > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
3,"HiLo- DHO-DHO-BS- LC ",AU@BEN - 11/14/2025 QTR: 1 CLK: 16:48,,,,,Make 3 Pts,0:24.6,N/A,N/A,26:15.78,26:40.38,Aurora University,AU@BEN,11/15/2025,1,16:48,Cullen Rauls,,,,0 Cullen Rauls > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
4,"OK State- DHO RS- Sci Sc- STS -RE ",AU@BEN - 11/14/2025 QTR: 1 CLK: 15:57,,,,,Miss 2 Pts,0:24.8,N/A,N/A,29:01.05,29:25.85,Aurora University,AU@BEN,11/15/2025,1,15:57,Mekhi Doby,,,,11 Mekhi Doby > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
5,4-1- BS left side,AU@BEN - 11/14/2025 QTR: 1 CLK: 14:59,,,,,Miss 2 Pts,0:27.1,N/A,N/A,29:43.31,30:10.38,Aurora University,AU@BEN,11/15/2025,1,14:59,Robert Hutson,,,,12 Robert Hutson > Cut > Basket > Miss 2 Pts
6,BLOB- 2-1-1- STS- RB,AU@BEN - 11/14/2025 QTR: 1 CLK: 14:50,,,,,Foul,0:12.9,N/A,N/A,31:03.38,31:16.32,Aurora University,AU@BEN,11/15/2025,1,14:50,Larry Carthan,,,,5 Larry Carthan > Cut > Screen > Foul
7,4-1- BS RS- LC,AU@BEN - 11/14/2025 QTR: 1 CLK: 14:35,,,,,Make 3 Pts,0:14.5,N/A,N/A,32:00.52,32:15.05,Aurora University,AU@BEN,11/15/2025,1,14:35,Gevon Grant,,,,0 Cullen Rauls > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 24 Gevon Grant > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
8,Slob- Box- DS- Flair- RIC,AU@BEN - 11/14/2025 QTR: 1 CLK: 13:38,,,,,Make 2 Pts,0:24.5,N/A,N/A,33:31.65,33:56.12,Aurora University,AU@BEN,11/15/2025,1,13:38,Mekhi Doby,,,,22 Devon Richardson > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 11 Mekhi Doby > Spot-Up > Drives Left > To Basket > Make 2 Pts
9,4-1- DD- DHO- RW,AU@BEN - 11/14/2025 QTR: 1 CLK: 12:44,,,,,Miss 3 Pts,0:14.8,N/A,N/A,35:13.72,35:28.52,Aurora University,AU@BEN,11/15/2025,1,12:44,Juan Madrigal,,,,2 Juan Madrigal > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
10,HiLo-Pass 5- Clear - DHO 4- LS,AU@BEN - 11/14/2025 QTR: 1,,,,,No Violation,0:17.9,N/A,N/A,37:14.72,37:32.59,Aurora University,AU@BEN,11/15/2025,1,,Juan Madrigal,,,,2 Juan Madrigal > Non Possession > No Violation
