#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,5 out(HI BS): m2m D(over-switch) ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 19:42,,,,,Turnover,00:21.8,N/A,N/A,00:00.0,00:21.8,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,19:42,Carter Thomas,,,,21 Carter Thomas > No Play Type > Turnover
2,5 out(Over): m2m d ,WOS@WWW - 01/02/2026 QTR: 1,,,,,Non Shooting Foul,00:18.6,N/A,N/A,00:15.1,00:33.7,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,,Collin Madson,,,,15 Collin Madson > Non Possession > Non Shooting Foul
3,blob(line)-m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 19:26,,,,,Make 2 Pts,00:09.8,N/A,N/A,00:50.3,01:00.1,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,19:26,Richie Warren,,,,24 Richie Warren > Cut > Basket > Make 2 Pts
4,5 out(bs):m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 19:10,,,,,Make 3 Pts,00:16.5,N/A,N/A,00:59.2,01:15.7,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,19:10,Brandon Beck,,,,0 Brandon Beck > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
5,::Press(RJ),WOS@WWW - 01/02/2026 QTR: 1 CLK: 18:48,,,,,Foul,00:24.7,N/A,N/A,01:15.9,01:40.6,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,18:48,Luke Bara,,,,24 Richie Warren > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Defense Commits > Ball Delivered > 32 Luke Bara > Spot-Up > Drives Left > To Basket > Foul
6,5 out(over-swing-ricky):m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 18:27,,,,,Make 3 Pts,00:19.2,N/A,N/A,02:32.6,02:51.8,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,18:27,Oskar Kangas,,,,23 Oskar Kangas > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
7,::press(rj),WOS@WWW - 01/02/2026 QTR: 1 CLK: 18:15,,,,,Turnover,00:15.3,N/A,N/A,02:51.0,03:06.3,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,18:15,Luke Bara,,,,32 Luke Bara > Transition > Ballhandler > Turnover
8,5out(pass-cut-bs):m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 17:57,,,,,Miss 2 Pts,00:17.9,N/A,N/A,03:14.0,03:31.9,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,17:57,Logan Rindfleisch,,,,5 Matt Imig > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 13 Logan Rindfleisch > Spot-Up > Drives Left > To Basket > Miss 2 Pts
9,5out(pass corner-):m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 17:41,,,,,Make 2 Pts,00:18.9,N/A,N/A,03:47.7,04:06.5,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,17:41,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Post Pin > No Dribble Move > To Basket > Make 2 Pts
10,tran,WOS@WWW - 01/02/2026 QTR: 1 CLK: 17:33,,,,,Turnover,00:10.7,N/A,N/A,04:05.7,04:16.4,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,17:33,Nate Nazos,,,,10 Nate Nazos > Transition > Left Wing > Turnover
11,5out:m2m(rj),WOS@WWW - 01/02/2026 QTR: 1,,,,,Non Shooting Foul,00:18.2,N/A,N/A,04:21.4,04:39.6,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,,Brock Marino,,,,21 Brock Marino > Non Possession > Non Shooting Foul
12,slob:m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 17:07,,,,,Miss 2 Pts,00:26.8,N/A,N/A,04:47.8,05:14.6,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,17:07,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
13,5out(doubleclear):m2m ,WOS@WWW - 01/02/2026 QTR: 1,,,,,Miss 3 Pts,00:29.9,N/A,N/A,05:33.6,06:03.5,Wisconsin-(Oshkosh) Titans,WOS@WWW,1/3/2026,1,,Aiden Hawkinson,,,,1 Aiden Hawkinson > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
14,5out(ds):m2m ,WOS@WWW - 01/02/2026 QTR: 1 CLK: 16:22,,,,,Make 3 Pts,00:18.4,N/A,N/A,06:15.6,06:34.0,Wisconsin-(Whitewater) Warhawks,WOS@WWW,1/3/2026,1,16:22,Luke Bara,,,,32 Luke Bara > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
