#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,Panther Series,,,,,,,00:10.0,N/A,N/A,00:00.0,00:10.0,,,,,,,,,,
2,Brock Marino,EC@WWW - 12/01/2025 QTR: 1,,Panther - Elmhurst,,,Non Shooting Foul,00:18.2,N/A,N/A,13:18.8,13:37.0,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,,Brock Marino,,,,21 Brock Marino > Non Possession > Non Shooting Foul
3,Brock Marino,WWW@HCD - 12/18/2025 QTR: 1 CLK: 14:10,,Panther - Hope,,,Make 2 Pts,00:15.7,00:07.3,N/A,15:53.1,16:16.1,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,1,14:10,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts
4,Brock Marino,WWW@HCD - 12/18/2025 QTR: 2 CLK: 04:20,,Panther - Hope,,,1 Pts,00:16.6,00:11.5,N/A,47:42.2,48:10.3,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,2,4:20,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts Foul > 1 Pts
5,Brock Marino,WWW@RIP - 11/06/2025 QTR: 1 CLK: 15:52,,Panther - Ripon,,,Make 2 Pts,00:17.4,N/A,N/A,41:03.4,41:20.8,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,15:52,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Make 2 Pts
6,Brock Marino,WWW@RIP - 11/06/2025 QTR: 2,,Panther - Ripon,,,Non Shooting Foul,00:14.7,N/A,N/A,31:31.5,31:46.2,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,2,,Brock Marino,,,,21 Brock Marino > Non Possession > Non Shooting Foul
7,Brock Marino,WWW@RIP - 11/06/2025 QTR: 2 CLK: 16:05,,Panther - Ripon,,,Foul,00:12.3,N/A,N/A,36:00.7,36:12.9,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,2,16:05,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Post Pin > No Dribble Move > To Basket > Foul
8,Richie Warren,EC@WWW - 12/01/2025 QTR: 2 CLK: 15:37,,P4 - Elmhurst,,,Miss 2 Pts,00:19.3,N/A,N/A,07:16.1,07:35.4,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,15:37,Richie Warren,,,,24 Richie Warren > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Miss 2 Pts
9,Tyshawn Teague-Johnson,WWW@HCD - 12/18/2025 QTR: 1,,P4 - Hope,,,Non Shooting Foul,00:15.0,00:12.2,N/A,19:21.7,19:48.9,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,1,,Tyshawn Teague-Johnson,,,,40 Tyshawn Teague-Johnson > Non Possession > Non Shooting Foul
10,Collin Madson,WWW@RIP - 11/06/2025 QTR: 1 CLK: 06:53,,P4 - Ripon,,,Make 2 Pts,00:26.6,N/A,N/A,59:16.8,59:43.3,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,6:53,Collin Madson,,,,0 Isaac Verges > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Collin Madson > Spot-Up > Drives Left > To Basket > Make 2 Pts
11,Brock Marino,EC@WWW - 12/01/2025 QTR: 2 CLK: 14:14,,P2 - Elmhurst,,,Foul,00:28.2,N/A,N/A,10:21.3,10:49.5,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,14:14,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Foul
12,Richie Warren,WWW@HCD - 12/18/2025 QTR: 1,,P2 - Hope,,,No Violation,00:14.0,00:08.4,N/A,09:33.7,09:56.0,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,1,,Richie Warren,,,,24 Richie Warren > Non Possession > No Violation
13,Richie Warren,WWW@HCD - 12/18/2025 QTR: 2 CLK: 14:52,,P2 - Hope,,,Make 2 Pts,00:18.3,N/A,N/A,18:33.1,18:51.4,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,2,14:52,Richie Warren,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 24 Richie Warren > Cut > Basket > Make 2 Pts
14,Brock Marino,WWW@RIP - 11/06/2025 QTR: 1 CLK: 04:33,,P2 - Ripon,,,Make 2 Pts,00:20.0,00:01.3,N/A,03:09.4,03:30.8,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,4:33,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Right Shoulder > Dribble Move > To Hook > Make 2 Pts
15,Isaac Verges,WWW@RIP - 11/06/2025 QTR: 2 CLK: 07:24,,P2 - Ripon,,,Miss 2 Pts,00:23.2,N/A,N/A,55:21.9,55:45.1,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,2,7:24,Isaac Verges,,,,0 Isaac Verges > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Miss 2 Pts
16,Brock Marino,WWW@AC - 12/19/2025 QTR: 1 CLK: 11:18,,P2 - Alma,,,Miss 2 Pts,00:15.6,00:04.0,N/A,20:17.9,20:37.5,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,1,11:18,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Miss 2 Pts
17,Brock Marino,WWW@AC - 12/19/2025 QTR: 2 CLK: 18:53,,P2 - Alma,,,Foul,00:24.8,00:07.3,N/A,58:46.2,59:18.3,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,2,18:53,Brock Marino,,,,21 Brock Marino > Post-Up > Left Block > Left Shoulder > Dribble Move > To Basket > Foul
18,Twins Series,,,,,,,00:10.0,N/A,N/A,00:00.0,00:10.0,,,,,,,,,,
19,Collin Madson,EC@WWW - 12/01/2025 QTR: 2,,Twins - Elmhurst,,,Non Shooting Foul,00:18.9,N/A,N/A,24:34.8,24:53.8,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,,Collin Madson,,,,15 Collin Madson > Non Possession > Non Shooting Foul
20,Jr Lukenbill,EC@WWW - 12/01/2025 QTR: 2 CLK: 08:23,,Twins - Elmhurst,,,Miss 3 Pts,00:10.8,00:06.0,00:16.8,26:19.6,26:43.4,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,2,8:23,Jr Lukenbill,,,,11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
21,Luke Bara,WWW@AC - 12/19/2025 QTR: 2 CLK: 10:18,,Twins - Alma,,,Miss 3 Pts,00:11.4,00:08.8,N/A,18:55.2,19:15.4,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,2,10:18,Luke Bara,,,,32 Luke Bara > Off Screen > To Shooter's Right > Straight > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
22,Luke Bara,EC@WWW - 12/01/2025 QTR: 1 CLK: 15:05,,Twins Right - Elmhurst,,,Miss 3 Pts,00:15.7,N/A,N/A,15:55.8,16:11.5,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,15:05,Luke Bara,,,,32 Luke Bara > ISO > Left > Early Jumper > Dribble Jumper > Long/3pt > Miss 3 Pts
23,Isaac Verges,EC@WWW - 12/01/2025 QTR: 1 CLK: 14:44,,Twins Right - Elmhurst,,,Miss 3 Pts,00:16.0,N/A,N/A,16:37.0,16:53.0,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,14:44,Isaac Verges,,,,0 Isaac Verges > Off Screen > To Shooter's Left > Straight > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
24,Collin Madson,WWW@RIP - 11/06/2025 QTR: 1 CLK: 09:44,,Twins Right - Ripon,,,Make 3 Pts,00:15.4,N/A,N/A,52:10.2,52:25.5,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,9:44,Collin Madson,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
25,Brock Marino,CAR@WWW - 12/12/2025 QTR: 2 CLK: 07:06,,Twins Swirl - Carroll,,,Miss 2 Pts,00:12.0,00:09.0,00:21.1,55:13.1,55:47.5,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,7:06,Brock Marino,,,,15 Collin Madson > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > Cut > Basket > Miss 2 Pts
26,Jake Quast,WWW@HCD - 12/18/2025 QTR: 1 CLK: 02:47,,Twins Right Swirl - Hope,,,Turnover,00:10.2,00:03.5,N/A,42:31.1,42:44.8,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,1,2:47,Jake Quast,,,,12 Jake Quast > No Play Type > Turnover
27,Brock Marino,WWW@RIP - 11/06/2025 QTR: 2 CLK: 18:57,,Twins Right Swirl - Ripon,,,Make 2 Pts,00:15.4,N/A,N/A,29:35.4,29:50.7,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,2,18:57,Brock Marino,,,,21 Brock Marino > Cut > Basket > Make 2 Pts
28,Brock Marino,CAR@WWW - 12/12/2025 QTR: 1 CLK: 08:50,,Twins Pitch - Carroll,,,Miss 3 Pts,00:13.5,00:10.3,00:23.8,34:49.2,35:20.4,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,8:50,Brock Marino,,,,21 Brock Marino > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
29,Joey Berezowitz,CAR@WWW - 12/12/2025 QTR: 2 CLK: 11:16,,Twins Pitch - Carroll,,,Make 3 Pts,00:13.6,00:12.3,00:26.0,38:22.0,38:58.3,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,11:16,Joey Berezowitz,,,,22 Joey Berezowitz > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
30,Brock Marino,CAR@WWW - 12/12/2025 QTR: 2 CLK: 10:18,,Twins Pitch - Carroll,,,0 Pts,00:19.4,00:08.2,N/A,39:25.9,39:53.4,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,10:18,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts Foul > 0 Pts
31,Luke Bara,EC@WWW - 12/01/2025 QTR: 1,,Twins Pitch Keep - Elmhurst,,,No Violation,00:10.7,N/A,N/A,39:18.0,39:28.7,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,,Luke Bara,,,,32 Luke Bara > Non Possession > No Violation
32,Over Series,,,,,,,00:10.0,N/A,N/A,00:00.0,00:10.0,,,,,,,,,,
33,Collin Madson,EC@WWW - 12/01/2025 QTR: 1 CLK: 10:47,,Over Cheetah - Elmhurst,,,1 Pts,00:12.8,N/A,00:12.8,23:04.4,23:33.8,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,10:47,Collin Madson,,,,15 Collin Madson > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Make 2 Pts Foul > 1 Pts
34,Richie Warren,EC@WWW - 12/01/2025 QTR: 1 CLK: 09:43,,Over Cheetah - Elmhurst,,,Make 2 Pts,00:13.7,N/A,N/A,26:11.8,26:25.6,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,9:43,Richie Warren,,,,24 Richie Warren > Post-Up > Right Block > Left Shoulder > Dribble Move > To Hook > Make 2 Pts
35,Kelton Mcewen,CAR@WWW - 12/12/2025 QTR: 1 CLK: 10:48,,Over Cheetah - Carroll,,,Miss 3 Pts,00:16.1,N/A,00:16.1,31:49.1,32:13.2,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,1,10:48,Kelton Mcewen,,,,11 Jr Lukenbill > Post-Up > Right Block > Left Shoulder > Dribble Move > Defense Commits > Ball Delivered > 2 Kelton Mcewen > Spot-Up > Drives Right > Dribble Jumper > Long/3pt > Miss 3 Pts
36,Brock Marino,WWW@HCD - 12/18/2025 QTR: 1 CLK: 19:12,,Over Cheetah - Hope,,,Make 2 Pts,00:18.3,00:08.9,N/A,04:47.9,05:15.1,Wisconsin-(Whitewater) Warhawks,WWW@HCD,12/19/2025,1,19:12,Brock Marino,,,,21 Brock Marino > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Make 2 Pts
37,Collin Madson,WWW@RIP - 11/06/2025 QTR: 1 CLK: 18:30,,Over Cheetah - Ripon,,,Turnover,00:12.8,00:04.4,N/A,37:59.4,38:16.6,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,1,18:30,Collin Madson,,,,15 Collin Madson > Spot-Up > Drives Left > Turnover
38,Jake Quast,WWW@RIP - 11/06/2025 QTR: 2 CLK: 11:32,,Over Cheetah - Ripon,,,Miss 2 Pts,00:20.1,N/A,N/A,44:46.3,45:06.4,Wisconsin-(Whitewater) Warhawks,WWW@RIP,11/7/2025,2,11:32,Jake Quast,,,,12 Jake Quast > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts
39,Tyshawn Teague-Johnson,WWW@AC - 12/19/2025 QTR: 2 CLK: 06:11,,Over Cheetah - Alma,,,Turnover,00:15.1,00:07.8,N/A,26:14.6,26:37.6,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,2,6:11,Tyshawn Teague-Johnson,,,,40 Tyshawn Teague-Johnson > Hand Off > From Dribble > Left > Turnover
40,Brock Marino,CAR@WWW - 12/12/2025 QTR: 2 CLK: 04:44,,Over Pin - Carroll,,,Miss 2 Pts,00:11.3,00:19.7,00:31.0,03:27.7,04:02.5,Wisconsin-(Whitewater) Warhawks,CAR@WWW,12/13/2025,2,4:44,Brock Marino,,,,21 Brock Marino > Cut > Basket > Miss 2 Pts
41,Joey Berezowitz,WWW@AC - 12/19/2025 QTR: 2 CLK: 04:23,,Over Pin - Alma,,,Make 3 Pts,00:15.0,00:04.1,N/A,31:42.7,32:01.9,Wisconsin-(Whitewater) Warhawks,WWW@AC,12/20/2025,2,4:23,Joey Berezowitz,,,,40 Tyshawn Teague-Johnson > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 22 Joey Berezowitz > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
42,Nova,,,,,,,00:10.0,N/A,N/A,00:00.0,00:10.0,,,,,,,,,,
43,Richie Warren,EC@WWW - 12/01/2025 QTR: 1 CLK: 14:03,,Nova - Elmhurst,,,Miss 3 Pts,00:15.4,N/A,N/A,17:17.8,17:33.2,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,14:03,Richie Warren,,,,15 Collin Madson > P&R Ball Handler > Right P&R > Side > Defense Commits > Ball Delivered > 24 Richie Warren > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
44,Luke Bara,EC@WWW - 12/01/2025 QTR: 1 CLK: 04:01,,Nova - Elmhurst,,,Miss 3 Pts,00:12.6,N/A,N/A,36:27.1,36:39.7,Wisconsin-(Whitewater) Warhawks,EC@WWW,12/2/2025,1,4:01,Luke Bara,,,,32 Luke Bara > P&R Ball Handler > Right P&R > Side > Go Away from Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
