#,Title,Notes,Chat,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Media In Point,Media Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Group,Synergy String
1,UWW : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:34,,,,,Make 2 Pts,0:32.0,,,10:44.00,11:16.00,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,19:34,Corey Thompson,,,,1 Corey Thompson > ISO > Top > Drives Right > To Basket > Make 2 Pts
2,Twins : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:22,,,,,Turnover,0:11.5,,,11:15.93,11:27.47,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,19:22,Isaac Verges,,,,0 Isaac Verges > No Play Type > Turnover
3,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:16,,,,,Miss 3 Pts,0:10.7,,,11:23.47,11:34.20,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,19:16,Nathan Kongolo,,,,0 Nathan Kongolo > Transition > Left Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
4,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:09,,,,,Turnover,0:04.9,,,11:35.00,11:39.93,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,19:09,Isaac Verges,,,,0 Isaac Verges > No Play Type > Turnover
5,Tran,WWW@STC - 11/13/2025 QTR: 1 CLK: 19:05,,,,,Make 2 Pts,0:07.9,,,11:35.73,11:43.60,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,19:05,Angel Johnson,,,,10 Angel Johnson > Transition > First Middle > To Basket > Make 2 Pts
6,Flow : Press(R+J) -,WWW@STC - 11/13/2025 QTR: 1 CLK: 18:34,,,,,Miss 2 Pts,0:33.6,,,11:41.60,12:15.20,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,18:34,Isaac Verges,,,,0 Isaac Verges > Spot-Up > Drives Left > To Basket > Miss 2 Pts
7,UWW : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 18:22,,,,,Miss 2 Pts,0:15.9,,,12:15.53,12:31.40,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,18:22,Corey Thompson,,,,1 Corey Thompson > P&R Ball Handler > Left P&R > Baseline > Go Away from Pick > To Basket > Miss 2 Pts
8,5 Out Flair : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 18:04,,,,,Make 2 Pts,0:18.1,,,12:40.53,12:58.67,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,18:04,Collin Madson,,,,15 Collin Madson > Cut > Basket > Make 2 Pts
9,UWW : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 17:43,,,,,Make 2 Pts,0:18.0,,,13:02.20,13:20.20,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,17:43,Angel Johnson,,,,10 Angel Johnson > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
10,Flow : Press(M2M) - M2M(),WWW@STC - 11/13/2025 QTR: 1 CLK: 17:19,,,,,Make 3 Pts,0:25.8,,,13:17.93,13:43.73,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,17:19,Jr Lukenbill,,,,11 Jr Lukenbill > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
11,UWW : - M2M,WWW@STC - 11/13/2025 QTR: 1,,,,,Non Shooting Foul,0:09.9,,,13:48.67,13:58.60,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,,Corey Thompson,,,,1 Corey Thompson > Non Possession > Non Shooting Foul
12,UWW : - M2M(BLOB),WWW@STC - 11/13/2025 QTR: 1 CLK: 16:55,,,,,Make 2 Pts,0:14.5,,,14:10.07,14:24.53,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,16:55,Angel Johnson,,,,10 Angel Johnson > ISO > Top > Drives Left > To Basket > Make 2 Pts
13,Flow : Press(R+J) -,WWW@STC - 11/13/2025 QTR: 1,,,,,No Violation,0:14.9,,,14:31.73,14:46.60,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,,Isaac Verges,,,,0 Isaac Verges > Non Possession > No Violation
14,Slob : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 16:37,,,,,Miss 3 Pts,0:10.1,,,14:59.33,15:09.40,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,16:37,Luke Bara,,,,32 Luke Bara > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
15,UWW M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 16:17,,,,,Miss 2 Pts,0:18.8,,,15:12.20,15:31.00,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,16:17,Nicholas Buffalo,,,,0 Nathan Kongolo > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Nicholas Buffalo > P&R Roll Man > Slips the Pick > To Basket > Miss 2 Pts
16,Flow : - M2M(Deny),WWW@STC - 11/13/2025 QTR: 1 CLK: 16:02,,,,,Make 3 Pts,0:12.9,,,15:31.00,15:43.93,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,16:02,Brock Marino,,,,0 Isaac Verges > ISO > Top > Drives Right > Defense Commits > Ball Delivered > 21 Brock Marino > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
17,UWW : - M2M,WWW@STC - 11/13/2025 QTR: 1 CLK: 15:32,,,,,Make 2 Pts,0:22.5,,,15:48.53,16:11.00,St. Thomas (TX) Celts,WWW@STC,11/14/2025,1,15:32,Angel Johnson,,,,10 Angel Johnson > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > To Basket > Make 2 Pts
18,5 Out : Press() - M2M(Drop+Press),WWW@STC - 11/13/2025 QTR: 1,,,,,Non Shooting Foul,0:23.5,,,16:09.00,16:32.53,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,,Luke Bara,,,,32 Luke Bara > Non Possession > Non Shooting Foul
19,Slob : - M2M(Drop),WWW@STC - 11/13/2025 QTR: 1 CLK: 15:04,,,,,Miss 2 Pts,0:14.2,,,18:26.27,18:40.47,Wisconsin-(Whitewater) Warhawks,WWW@STC,11/14/2025,1,15:04,Brock Marino,,,,32 Luke Bara > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 21 Brock Marino > P&R Roll Man > Rolls to Basket > Miss 2 Pts
